iteration,x0,x1,x2,x3,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,noise_effort,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,3.269722766055607,9.872768433379255,3.1871083848551676,7.88548935820029,-0.7451783695735681,2.258049553407097,True,3.003227922980665,qnei,0.0,False,0.75,8,b68e04a0-1d55-4cab-a2e6-5b874f6b62b8,gaussian,5.0,0,exact,value,learned,33.333333333333336,"x0,x1,x2,x3",5.402837764670362,-0.7451783695735681,6.14801613424393,6.14801613424393,6.14801613424393,6.14801613424393,-0.7451783695735681,6.14801613424393,hicks_law
2,8.69896511696216,3.9108480653919395,4.378818731227988,3.7274890308935307,-0.45245897907849875,-2.4214240196250256,True,-1.9689650405465269,qnei,0.0,False,0.75,8,b68e04a0-1d55-4cab-a2e6-5b874f6b62b8,gaussian,5.0,0,exact,value,learned,33.333333333333336,"x0,x1,x2,x3",5.402837764670362,-0.45245897907849875,5.855296743748861,12.00331287799279,5.855296743748861,6.001656438996395,-0.7451783695735681,6.14801613424393,hicks_law
3,1.0695359647277436,4.789654541627169,2.413521450846823,2.5714524855112977,1.2921019029701162,1.1175559870960046,True,-0.1745459158741116,qnei,0.0,False,0.75,8,b68e04a0-1d55-4cab-a2e6-5b874f6b62b8,gaussian,5.0,0,exact,value,learned,33.333333333333336,"x0,x1,x2,x3",5.402837764670362,1.2921019029701162,4.110735861700245,16.114048739693036,4.110735861700245,5.371349579897679,-0.7451783695735681,6.14801613424393,hicks_law
4,1.847315568344149,1.938645489043107,8.13827670155021,4.229841881442264,0.4615077489425049,7.0531990503308934,True,6.591691301388389,qnei,0.0,False,0.75,8,b68e04a0-1d55-4cab-a2e6-5b874f6b62b8,gaussian,5.0,0,exact,value,learned,33.333333333333336,"x0,x1,x2,x3",5.402837764670362,1.2921019029701162,4.941330015727857,21.055378755420893,4.110735861700245,5.263844688855223,0.4615077489425049,4.941330015727857,hicks_law
5,2.5592050515822606,5.909028517654116,6.042722960584558,6.468580270601879,-0.5066769243475129,-0.437172504787549,True,0.06950441955996389,qnei,0.0,False,0.75,8,b68e04a0-1d55-4cab-a2e6-5b874f6b62b8,gaussian,5.0,0,exact,value,learned,33.333333333333336,"x0,x1,x2,x3",5.402837764670362,1.2921019029701162,5.9095146890178745,26.96489344443877,4.110735861700245,5.392978688887753,0.4615077489425049,4.941330015727857,hicks_law
6,0.5622942735154445,1.0631276175268192,8.782725301517,3.798226152042533,1.2631285776726597,1.576742817962505,True,0.3136142402898452,qnei,0.5479205999872647,False,0.75,8,b68e04a0-1d55-4cab-a2e6-5b874f6b62b8,gaussian,5.0,0,exact,value,learned,33.333333333333336,"x0,x1,x2,x3",5.402837764670362,1.2921019029701162,4.139709186997702,31.10460263143647,4.110735861700245,5.184100438572745,0.4615077489425049,4.941330015727857,hicks_law
7,2.367816660881105,1.6629520262691995,8.217862423113216,4.062801751927953,0.42391080883837656,-3.4406783108579497,True,-3.8645891196963262,qnei,0.5613490999676287,False,0.75,8,b68e04a0-1d55-4cab-a2e6-5b874f6b62b8,gaussian,5.0,0,exact,value,learned,33.333333333333336,"x0,x1,x2,x3",5.402837764670362,1.2921019029701162,4.978926955831985,36.08352958726846,4.110735861700245,5.154789941038351,0.4615077489425049,4.941330015727857,hicks_law
8,0.0,10.0,10.0,0.0,1.4474248714720572,0.09554968087316351,True,-1.3518751905988937,qnei,0.32546939997700974,False,0.75,8,b68e04a0-1d55-4cab-a2e6-5b874f6b62b8,gaussian,5.0,0,exact,value,learned,33.333333333333336,"x0,x1,x2,x3",5.402837764670362,1.4474248714720572,3.9554128931983046,40.038942480466766,3.9554128931983046,5.004867810058346,0.4615077489425049,4.941330015727857,hicks_law
9,0.0,0.0,0.0,10.0,3.4251313180712093,3.9386755539557097,True,0.5135442358845004,qnei,0.3470043000415899,False,0.75,8,b68e04a0-1d55-4cab-a2e6-5b874f6b62b8,gaussian,5.0,0,exact,value,learned,33.333333333333336,"x0,x1,x2,x3",5.402837764670362,3.4251313180712093,1.9777064465991523,42.016648927065916,1.9777064465991523,4.668516547451769,0.4615077489425049,4.941330015727857,hicks_law
10,0.0,0.0,10.0,10.0,1.4474248714720572,4.248805979292265,True,2.801381107820208,qnei,0.3879457000293769,False,0.75,8,b68e04a0-1d55-4cab-a2e6-5b874f6b62b8,gaussian,5.0,0,exact,value,learned,33.333333333333336,"x0,x1,x2,x3",5.402837764670362,3.4251313180712093,3.9554128931983046,45.97206182026422,1.9777064465991523,4.597206182026422,0.4615077489425049,4.941330015727857,hicks_law
