iteration,x0,x1,x2,x3,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,noise_effort,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.12857020276919962,0.49927786244011496,0.6014983576233575,0.028689008371944547,-0.4634780554781292,9.937184667040237,True,10.400662722518366,logei,0.0,False,0.75,11,baee3d6c-e216-4ab3-9e8a-fd457594b32e,gaussian,5.0,0,exact,value,learned,33.333333333333336,"x0,x1,x2,x3",1.290375177799024,-0.4634780554781292,1.7538532332771533,1.7538532332771533,1.7538532332771533,1.7538532332771533,-0.4634780554781292,1.7538532332771533,steering_law
2,0.14792608457745593,0.9282110229603695,0.07042057615419683,0.12977394939929798,-5.277783987635228,0.07315225190878039,True,5.3509362395440085,logei,0.0,False,0.75,11,baee3d6c-e216-4ab3-9e8a-fd457594b32e,gaussian,5.0,0,exact,value,learned,33.333333333333336,"x0,x1,x2,x3",1.290375177799024,-0.4634780554781292,6.568159165434253,8.322012398711406,1.7538532332771533,4.161006199355703,-0.4634780554781292,1.7538532332771533,steering_law
3,0.9483284532917751,0.6218835927963828,0.368993123729791,0.5113900218032627,0.18928051892034975,1.6782536443491634,True,1.4889731254288137,logei,0.0,False,0.75,11,baee3d6c-e216-4ab3-9e8a-fd457594b32e,gaussian,5.0,0,exact,value,learned,33.333333333333336,"x0,x1,x2,x3",1.290375177799024,0.18928051892034975,1.1010946588786743,9.42310705759008,1.1010946588786743,3.14103568586336,-0.4634780554781292,1.7538532332771533,steering_law
4,0.6628429525167993,0.2753088157611293,0.13796807286695534,0.7880395945039919,0.7141022450632034,2.5246848847978165,True,1.810582639734613,logei,0.0,False,0.75,11,baee3d6c-e216-4ab3-9e8a-fd457594b32e,gaussian,5.0,0,exact,value,learned,33.333333333333336,"x0,x1,x2,x3",1.290375177799024,0.7141022450632034,0.5762729327358206,9.9993799903259,0.5762729327358206,2.499844997581475,-0.4634780554781292,1.7538532332771533,steering_law
5,0.6703605841024838,0.5123823134831604,0.8167364359696581,0.5490752688700263,0.3945429821486804,-14.361463605262761,True,-14.756006587411441,logei,0.0,False,0.75,11,baee3d6c-e216-4ab3-9e8a-fd457594b32e,gaussian,5.0,0,exact,value,learned,33.333333333333336,"x0,x1,x2,x3",1.290375177799024,0.7141022450632034,0.8958321956503437,10.895212185976245,0.5762729327358206,2.179042437195249,-0.4634780554781292,1.7538532332771533,steering_law
6,0.0,0.2580005382463991,0.541763236633862,0.0,-0.2930173409395806,-5.89271671544823,True,-5.599699374508649,logei,0.25681059999624267,False,0.75,11,baee3d6c-e216-4ab3-9e8a-fd457594b32e,gaussian,5.0,0,exact,value,learned,33.333333333333336,"x0,x1,x2,x3",1.290375177799024,0.7141022450632034,1.5833925187386046,12.478604704714849,0.5762729327358206,2.079767450785808,-0.4634780554781292,1.7538532332771533,steering_law
7,0.09325748700611851,0.5795074626725508,0.5871992146587796,0.0,-0.7990532284391249,-6.574662556217799,True,-5.775609327778674,logei,0.33403710002312437,False,0.75,11,baee3d6c-e216-4ab3-9e8a-fd457594b32e,gaussian,5.0,0,exact,value,learned,33.333333333333336,"x0,x1,x2,x3",1.290375177799024,0.7141022450632034,2.0894284062381487,14.568033110952998,0.5762729327358206,2.0811475872789997,-0.4634780554781292,1.7538532332771533,steering_law
8,0.14306914723084196,0.48200335398870064,0.5895160197621768,0.043296096090437323,-0.40317472852900893,2.5634660720149767,True,2.9666408005439857,logei,0.2781420999672264,False,0.75,11,baee3d6c-e216-4ab3-9e8a-fd457594b32e,gaussian,5.0,0,exact,value,learned,33.333333333333336,"x0,x1,x2,x3",1.290375177799024,0.7141022450632034,1.693549906328033,16.26158301728103,0.5762729327358206,2.0326978771601287,-0.4634780554781292,1.7538532332771533,steering_law
9,0.09657186502178894,0.5123294657709898,0.6066595463942469,0.0,-0.579493228055995,-9.47826163068276,True,-8.898768402626764,logei,0.3214568999828771,False,0.75,11,baee3d6c-e216-4ab3-9e8a-fd457594b32e,gaussian,5.0,0,exact,value,learned,33.333333333333336,"x0,x1,x2,x3",1.290375177799024,0.7141022450632034,1.869868405855019,18.13145142313605,0.5762729327358206,2.0146057136817834,-0.4634780554781292,1.7538532332771533,steering_law
10,0.12718450154462627,0.6102555796226433,0.5947193745011433,0.02813382951439088,-0.745700624733301,4.273506086936698,True,5.019206711669999,logei,0.5410290000145324,False,0.75,11,baee3d6c-e216-4ab3-9e8a-fd457594b32e,gaussian,5.0,0,exact,value,learned,33.333333333333336,"x0,x1,x2,x3",1.290375177799024,0.7141022450632034,2.036075802532325,20.167527225668373,0.5762729327358206,2.0167527225668374,-0.4634780554781292,1.7538532332771533,steering_law
