iteration,x0,x1,x2,x3,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,noise_effort,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.8702492039700847,0.28681720908755537,0.6031481500515619,0.7775340829201788,0.8287115000495673,2.710027733873079,True,1.8813162338235117,qnei,0.0,False,0.75,9,e22df5d8-37ed-4827-bff9-c9613aa5409e,gaussian,1.0,0,exact,value,learned,1.3333333333333333,"x0,x1,x2,x3",1.290375177799024,0.8287115000495673,0.4616636777494567,0.4616636777494567,0.4616636777494567,0.4616636777494567,0.8287115000495673,0.4616636777494567,steering_law
2,0.7160746296035653,0.9153801204905075,0.8603936491828846,0.9182376290487624,0.05299718569918348,-0.08890499927564581,True,-0.1419021849748293,qnei,0.0,False,0.75,9,e22df5d8-37ed-4827-bff9-c9613aa5409e,gaussian,1.0,0,exact,value,learned,1.3333333333333333,"x0,x1,x2,x3",1.290375177799024,0.8287115000495673,1.2373779920998405,1.6990416698492972,0.4616636777494567,0.8495208349246486,0.8287115000495673,0.4616636777494567,steering_law
3,0.026587734467597213,0.4372480001295087,0.48494432697728806,0.06515419737010752,-0.8379527487344092,0.1406133406077006,True,0.9785660893421098,qnei,0.0,False,0.75,9,e22df5d8-37ed-4827-bff9-c9613aa5409e,gaussian,1.0,0,exact,value,learned,1.3333333333333333,"x0,x1,x2,x3",1.290375177799024,0.8287115000495673,2.128327926533433,3.8273695963827303,0.4616636777494567,1.27578986546091,0.8287115000495673,0.4616636777494567,steering_law
4,0.005626050679392924,0.830621436971257,0.9833022442861755,0.7846098526726796,-0.003691210985130886,-1.8573372852894436,True,-1.8536460743043128,qnei,0.0,False,0.75,9,e22df5d8-37ed-4827-bff9-c9613aa5409e,gaussian,1.0,0,exact,value,learned,1.3333333333333333,"x0,x1,x2,x3",1.290375177799024,0.8287115000495673,1.2940663887841548,5.121435985166885,0.4616636777494567,1.2803589962917212,0.8287115000495673,0.4616636777494567,steering_law
5,0.31560348997827314,0.7053337045894538,0.2991810731982467,0.7407484828757487,-0.2670631786253216,0.05078711119926116,True,0.31785028982458274,qnei,0.0,False,0.75,9,e22df5d8-37ed-4827-bff9-c9613aa5409e,gaussian,1.0,0,exact,value,learned,1.3333333333333333,"x0,x1,x2,x3",1.290375177799024,0.8287115000495673,1.5574383564243455,6.67887434159123,0.4616636777494567,1.335774868318246,0.8287115000495673,0.4616636777494567,steering_law
6,1.0,0.19170190383425117,0.09183412158040295,0.7004634162420915,0.8985661829604412,0.39133343829451417,True,-0.507232744665927,qnei,0.2710588999907486,False,0.75,9,e22df5d8-37ed-4827-bff9-c9613aa5409e,gaussian,1.0,0,exact,value,learned,1.3333333333333333,"x0,x1,x2,x3",1.290375177799024,0.8985661829604412,0.3918089948385828,7.070683336429813,0.3918089948385828,1.178447222738302,0.8287115000495673,0.4616636777494567,steering_law
7,1.0,0.18700056891623273,0.7318418377493902,0.8020396569366136,0.9559445357195654,1.1039732134646487,True,0.14802867774508333,qnei,0.30102790001546964,False,0.75,9,e22df5d8-37ed-4827-bff9-c9613aa5409e,gaussian,1.0,0,exact,value,learned,1.3333333333333333,"x0,x1,x2,x3",1.290375177799024,0.9559445357195654,0.3344306420794586,7.405113978509271,0.3344306420794586,1.0578734255013245,0.8287115000495673,0.4616636777494567,steering_law
8,0.7849070403416066,0.2575882030649789,0.5766098136664631,0.7513422285372241,0.8585082627202879,1.7142051894216674,True,0.8556969267013795,qnei,0.5017720999894664,False,0.75,9,e22df5d8-37ed-4827-bff9-c9613aa5409e,gaussian,1.0,0,exact,value,learned,1.3333333333333333,"x0,x1,x2,x3",1.290375177799024,0.9559445357195654,0.4318669150787361,7.836980893588007,0.3344306420794586,0.9796226116985008,0.8287115000495673,0.4616636777494567,steering_law
9,0.8731500832288838,0.291047217910997,0.9178075523923724,0.9091781278603952,0.8410428132777558,1.8343207009435678,True,0.993277887665812,qnei,0.4935185000067577,False,0.75,9,e22df5d8-37ed-4827-bff9-c9613aa5409e,gaussian,1.0,0,exact,value,learned,1.3333333333333333,"x0,x1,x2,x3",1.290375177799024,0.9559445357195654,0.44933236452126823,8.286313258109274,0.3344306420794586,0.9207014731232527,0.8287115000495673,0.4616636777494567,steering_law
10,0.8788108505399139,0.3450921849893667,0.6749266118860664,0.5905173610544872,0.6636011630903421,0.11220919152028286,True,-0.5513919715700593,qnei,0.4369719999958761,False,0.75,9,e22df5d8-37ed-4827-bff9-c9613aa5409e,gaussian,1.0,0,exact,value,learned,1.3333333333333333,"x0,x1,x2,x3",1.290375177799024,0.9559445357195654,0.6267740147086819,8.913087272817956,0.3344306420794586,0.8913087272817956,0.8287115000495673,0.4616636777494567,steering_law
11,0.8724935155493806,0.3872430536445484,0.30675174672564354,0.819421797010629,0.7013001264856078,1.387742435498013,True,0.6864423090124052,qnei,0.45339829998556525,False,0.75,9,e22df5d8-37ed-4827-bff9-c9613aa5409e,gaussian,1.0,0,exact,value,learned,1.3333333333333333,"x0,x1,x2,x3",1.290375177799024,0.9559445357195654,0.5890750513134162,9.502162324131373,0.3344306420794586,0.8638329385573975,0.8287115000495673,0.4616636777494567,steering_law
