iteration,x0,x1,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,noise_effort,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,9.560017096289753,2.076818100791469,1.2331847136995135,7.167774692016244,True,5.934589978316731,qnei,0.0,False,2.0,10,3f70100b-e9ba-4132-a776-fb46c12c5c8a,gaussian,5.0,0,exact,value,learned,12.5,"x0,x1",1.2500554659000687,1.2331847136995135,0.016870752200555117,0.016870752200555117,0.016870752200555117,0.016870752200555117,1.2331847136995135,0.016870752200555117,branin
2,8.284448852745307,1.4928212308202027,0.980580217349636,0.5549185493008757,True,-0.42566166804876027,qnei,0.0,False,2.0,10,3f70100b-e9ba-4132-a776-fb46c12c5c8a,gaussian,5.0,0,exact,value,learned,12.5,"x0,x1",1.2500554659000687,1.2331847136995135,0.2694752485504327,0.2863460007509878,0.016870752200555117,0.1431730003754939,1.2331847136995135,0.016870752200555117,branin
3,5.1280461643656485,1.3591960402050662,0.6042195728302557,-4.908114942847544,True,-5.5123345156778,qnei,0.0,False,2.0,10,3f70100b-e9ba-4132-a776-fb46c12c5c8a,gaussian,5.0,0,exact,value,learned,12.5,"x0,x1",1.2500554659000687,1.2331847136995135,0.6458358930698129,0.9321818938208007,0.016870752200555117,0.31072729794026693,1.2331847136995135,0.016870752200555117,branin
4,6.890364797811311,8.41747724312279,-2.1028324465741894,-2.7803834585066114,True,-0.677551011932422,qnei,0.0,False,2.0,10,3f70100b-e9ba-4132-a776-fb46c12c5c8a,gaussian,5.0,0,exact,value,learned,12.5,"x0,x1",1.2500554659000687,1.2331847136995135,3.352887912474258,4.285069806295058,0.016870752200555117,1.0712674515737646,1.2331847136995135,0.016870752200555117,branin
5,4.255089974049766,9.569260034533663,-2.071428512488231,-3.023669962737067,True,-0.9522414502488359,qnei,0.0,False,2.0,10,3f70100b-e9ba-4132-a776-fb46c12c5c8a,gaussian,5.0,0,exact,value,learned,12.5,"x0,x1",1.2500554659000687,1.2331847136995135,3.3214839783883,7.606553784683358,0.016870752200555117,1.5213107569366717,1.2331847136995135,0.016870752200555117,branin
6,10.0,4.379478743102943,1.0854182990993768,-0.6516249131870362,True,-1.737043212286413,qnei,0.26448559999698773,False,2.0,10,3f70100b-e9ba-4132-a776-fb46c12c5c8a,gaussian,5.0,0,exact,value,learned,12.5,"x0,x1",1.2500554659000687,1.2331847136995135,0.16463716680069185,7.77119095148405,0.016870752200555117,1.2951984919140083,1.2331847136995135,0.016870752200555117,branin
7,10.0,2.4049687890928024,1.1589878476743136,0.36077324995700466,True,-0.798214597717309,qnei,0.2940156999975443,False,2.0,10,3f70100b-e9ba-4132-a776-fb46c12c5c8a,gaussian,5.0,0,exact,value,learned,12.5,"x0,x1",1.2500554659000687,1.2331847136995135,0.09106761822575504,7.862258569709804,0.016870752200555117,1.123179795672829,1.2331847136995135,0.016870752200555117,branin
8,9.65318536456337,0.27720519801662596,0.9630967378268781,10.605886889752272,True,9.642790151925393,qnei,0.24333220004336908,False,2.0,10,3f70100b-e9ba-4132-a776-fb46c12c5c8a,gaussian,5.0,0,exact,value,learned,12.5,"x0,x1",1.2500554659000687,1.2331847136995135,0.28695872807319056,8.149217297782995,0.016870752200555117,1.0186521622228744,0.9630967378268781,0.28695872807319056,branin
9,9.70499912671428,0.0,0.87765774204611,7.78362782498851,True,6.9059700829424,qnei,0.34527029999298975,False,2.0,10,3f70100b-e9ba-4132-a776-fb46c12c5c8a,gaussian,5.0,0,exact,value,learned,12.5,"x0,x1",1.2500554659000687,1.2331847136995135,0.37239772385395864,8.521615021636954,0.016870752200555117,0.9468461135152171,0.9630967378268781,0.28695872807319056,branin
10,9.483436588567628,0.9046726072760698,1.123625633845114,8.33565152795319,True,7.212025894108077,qnei,0.3932842999929562,False,2.0,10,3f70100b-e9ba-4132-a776-fb46c12c5c8a,gaussian,5.0,0,exact,value,learned,12.5,"x0,x1",1.2500554659000687,1.2331847136995135,0.12642983205495462,8.648044853691909,0.016870752200555117,0.8648044853691909,0.9630967378268781,0.28695872807319056,branin
