iteration,x0,x1,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,noise_effort,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,466.94575066007076,-299.3338264789536,2.331166856074644,1.9882880663107008,True,-0.34287878976394337,logei,0.0,False,2.0,10,ebcfa630-566c-46f3-b7c5-27d1b482cd91,gaussian,1.0,0,exact,value,learned,0.5,"x0,x1",3.2050455310550587,2.331166856074644,0.8738786749804146,0.8738786749804146,0.8738786749804146,0.8738786749804146,2.331166856074644,0.8738786749804146,eggholder
2,336.3275625211195,-359.13510596401125,0.9168162679127149,0.33546264352763644,True,-0.5813536243850784,logei,0.0,False,2.0,10,ebcfa630-566c-46f3-b7c5-27d1b482cd91,gaussian,1.0,0,exact,value,learned,0.5,"x0,x1",3.2050455310550587,2.331166856074644,2.2882292631423438,3.1621079381227584,0.8738786749804146,1.5810539690613792,2.331166856074644,0.8738786749804146,eggholder
3,13.111927231042387,-372.8183254830012,0.8759976497847213,-0.9270873138707416,True,-1.803084963655463,logei,0.0,False,2.0,10,ebcfa630-566c-46f3-b7c5-27d1b482cd91,gaussian,1.0,0,exact,value,learned,0.5,"x0,x1",3.2050455310550587,2.331166856074644,2.3290478812703377,5.4911558193930965,0.8738786749804146,1.8303852731310322,2.331166856074644,0.8738786749804146,eggholder
4,193.5733552958783,349.94966969577365,0.3280943587556729,0.23462995398628755,True,-0.09346440476938533,logei,0.0,False,2.0,10,ebcfa630-566c-46f3-b7c5-27d1b482cd91,gaussian,1.0,0,exact,value,learned,0.5,"x0,x1",3.2050455310550587,2.331166856074644,2.876951172299386,8.368106991692482,0.8738786749804146,2.0920267479231205,2.331166856074644,0.8738786749804146,eggholder
5,-76.27878665730395,467.892227536247,0.4420618529814177,1.3403078139556914,True,0.8982459609742737,logei,0.0,False,2.0,10,ebcfa630-566c-46f3-b7c5-27d1b482cd91,gaussian,1.0,0,exact,value,learned,0.5,"x0,x1",3.2050455310550587,2.331166856074644,2.762983678073641,11.131090669766124,0.8738786749804146,2.2262181339532248,2.331166856074644,0.8738786749804146,eggholder
6,512.0,-182.00793974218405,0.9523694922335136,0.23129754110232048,True,-0.7210719511311932,logei,0.20233300002291799,False,2.0,10,ebcfa630-566c-46f3-b7c5-27d1b482cd91,gaussian,1.0,0,exact,value,learned,0.5,"x0,x1",3.2050455310550587,2.331166856074644,2.252676038821545,13.383766708587668,0.8738786749804146,2.230627784764611,2.331166856074644,0.8738786749804146,eggholder
7,512.0,-275.2820244128799,2.1413064923480936,2.577380702054965,True,0.4360742097068715,logei,0.33692330005578697,False,2.0,10,ebcfa630-566c-46f3-b7c5-27d1b482cd91,gaussian,1.0,0,exact,value,learned,0.5,"x0,x1",3.2050455310550587,2.331166856074644,1.0637390387069652,14.447505747294633,0.8738786749804146,2.0639293924706617,2.1413064923480936,1.0637390387069652,eggholder
8,379.7264881715595,-258.44081338416345,-0.23656011013010705,-1.148097275163536,True,-0.9115371650334291,logei,0.2727589000132866,False,2.0,10,ebcfa630-566c-46f3-b7c5-27d1b482cd91,gaussian,1.0,0,exact,value,learned,0.5,"x0,x1",3.2050455310550587,2.331166856074644,3.441605641185166,17.889111388479797,0.8738786749804146,2.2361389235599747,2.1413064923480936,1.0637390387069652,eggholder
9,512.0,-313.09865007731133,0.6552900475851655,0.019651716199622582,True,-0.6356383313855429,logei,0.22295850003138185,False,2.0,10,ebcfa630-566c-46f3-b7c5-27d1b482cd91,gaussian,1.0,0,exact,value,learned,0.5,"x0,x1",3.2050455310550587,2.331166856074644,2.5497554834698932,20.438866871949692,0.8738786749804146,2.27098520799441,2.1413064923480936,1.0637390387069652,eggholder
10,-301.1039382439864,512.0,2.6975640796294917,3.2475713537509843,True,0.5500072741214925,logei,0.17292079998878762,False,2.0,10,ebcfa630-566c-46f3-b7c5-27d1b482cd91,gaussian,1.0,0,exact,value,learned,0.5,"x0,x1",3.2050455310550587,2.6975640796294917,0.507481451425567,20.946348323375258,0.507481451425567,2.0946348323375257,2.6975640796294917,0.507481451425567,eggholder
