iteration,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,noise_effort,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,2.501909332093339,7.944276019391509,5.513713804903871,-5.495856200188163,-3.9966743017754913,7.471068907925236,-9.894693908688506,6.424568367655326,5.941388575040925,-0.641300943125584,-3.939351463613729,-0.44983930380907383,-7.139349566677133,True,-6.689510262868059,qnei,0.0,False,1.5,7,3d89ec48-6210-4610-bdd7-0b04f33d4dc3,gaussian,5.0,0,exact,value,learned,16.666666666666668,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,-0.44983930380907383,3.074319635587686,3.074319635587686,3.074319635587686,3.074319635587686,-0.44983930380907383,3.074319635587686,levy_10
2,-4.4314877579845335,-4.902608246917508,-1.0984738823470686,0.09096517915906688,1.0699470414898489,9.910005668687852,5.853238384275061,2.443584588823253,9.779202953637697,-5.693826035288021,-6.795759322843109,-0.6193893504772024,0.8730372324912788,True,1.4924265829684813,qnei,0.0,False,1.5,7,3d89ec48-6210-4610-bdd7-0b04f33d4dc3,gaussian,5.0,0,exact,value,learned,16.666666666666668,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,-0.44983930380907383,3.2438696822558146,6.318189317843501,3.074319635587686,3.1590946589217506,-0.6193893504772024,3.2438696822558146,levy_10
3,2.250792085460615,-9.121159840772332,-9.286394424528076,0.29777640542740613,-0.675879493494218,8.343355463857044,2.5845250898202092,0.2823529319902782,-0.06253129212991482,-5.049701559453384,-9.764119489149882,0.48461625305099937,-4.518648192067191,True,-5.003264445118191,qnei,0.0,False,1.5,7,3d89ec48-6210-4610-bdd7-0b04f33d4dc3,gaussian,5.0,0,exact,value,learned,16.666666666666668,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,0.48461625305099937,2.139864078727613,8.458053396571113,2.139864078727613,2.8193511321903713,-0.6193893504772024,3.2438696822558146,levy_10
4,-6.151957120293787,3.840642417636783,-5.987865520260096,-2.609273787955866,-9.925315158958481,6.60095459603491,-6.910778378771203,-4.648013908724291,7.606643079616575,0.19581619736846356,6.943004927317386,-1.5068566253412978,1.8167732855805396,True,3.3236299109218375,qnei,0.0,False,1.5,7,3d89ec48-6210-4610-bdd7-0b04f33d4dc3,gaussian,5.0,0,exact,value,learned,16.666666666666668,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,0.48461625305099937,4.13133695711991,12.589390353691023,2.139864078727613,3.1473475884227557,-1.5068566253412978,4.13133695711991,levy_10
5,2.794343338850524,4.835418947237143,-8.170087898739087,0.8228764275297742,0.15544472600699955,7.426787533857613,-2.774718819716848,1.9636813441442609,-8.814967153089928,-2.247363977785426,-3.539273074835867,1.5853975188741656,5.766887681348029,True,4.181490162473864,qnei,0.0,False,1.5,7,3d89ec48-6210-4610-bdd7-0b04f33d4dc3,gaussian,5.0,0,exact,value,learned,16.666666666666668,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,1.5853975188741656,1.0390828129044467,13.62847316659547,1.0390828129044467,2.725694633319094,1.5853975188741656,1.0390828129044467,levy_10
6,-2.967733323041349,6.731585928204591,-9.644694812670169,2.6161664495026264,-0.08365274214979602,7.810390006333443,0.1831586637161228,-0.8445957654422133,-6.757392269005117,-2.229688446382857,1.9742873313362026,0.045223816047571794,6.276057889030718,True,6.230834072983146,qnei,0.5277958000078797,False,1.5,7,3d89ec48-6210-4610-bdd7-0b04f33d4dc3,gaussian,5.0,0,exact,value,learned,16.666666666666668,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,1.5853975188741656,2.5792565157310405,16.20772968232651,1.0390828129044467,2.7012882803877516,0.045223816047571794,2.5792565157310405,levy_10
7,8.498904479362603,7.634775866309072,-10.0,5.723066778971409,-0.7712286114363471,4.641665175637833,-5.854535328192083,-4.983450716915762,-10.0,0.01741564043434809,1.210828992401918,-2.019670517733664,-3.908424302633591,True,-1.8887537848999272,qnei,0.8180635999888182,False,1.5,7,3d89ec48-6210-4610-bdd7-0b04f33d4dc3,gaussian,5.0,0,exact,value,learned,16.666666666666668,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,1.5853975188741656,4.644150849512276,20.851880531838784,1.0390828129044467,2.978840075976969,0.045223816047571794,2.5792565157310405,levy_10
8,-3.5006544823831134,4.752204161212754,-8.194000227259828,0.03234601423319432,-0.2425796847664699,8.645333915377044,0.12164897765475051,2.229964841100808,-5.734205235535211,-2.9640264494432507,-1.1922146561572582,1.20207645596095,-2.1263447838693983,True,-3.328421239830348,qnei,0.457305499992799,False,1.5,7,3d89ec48-6210-4610-bdd7-0b04f33d4dc3,gaussian,5.0,0,exact,value,learned,16.666666666666668,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,1.5853975188741656,1.4224038758176623,22.274284407656445,1.0390828129044467,2.7842855509570557,0.045223816047571794,2.5792565157310405,levy_10
9,0.8981034252683382,6.646957567778926,-9.301793646310484,2.5653909164690964,0.16321621661966446,7.208042458051668,-1.758737182598429,-0.29722130219700904,-8.690153223155168,-1.8834655346365754,-0.075460935518496,0.9719141969638698,1.9247958333320825,True,0.9528816363682127,qnei,0.8441344000166282,False,1.5,7,3d89ec48-6210-4610-bdd7-0b04f33d4dc3,gaussian,5.0,0,exact,value,learned,16.666666666666668,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,1.5853975188741656,1.6525661348147425,23.926850542471186,1.0390828129044467,2.6585389491634652,0.045223816047571794,2.5792565157310405,levy_10
10,-3.9491545436151267,6.690964041407032,-9.384003239773028,2.2916911935179614,-1.3697988399939023,7.64131802800712,-0.42401405987351226,-1.8228191138977643,-4.710005319845779,-1.8663574271815098,3.3975866837782096,0.9853441033498023,-3.557771672709311,True,-4.543115776059113,qnei,0.6401844999636523,False,1.5,7,3d89ec48-6210-4610-bdd7-0b04f33d4dc3,gaussian,5.0,0,exact,value,learned,16.666666666666668,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,1.5853975188741656,1.63913622842881,25.565986770899997,1.0390828129044467,2.5565986770899998,0.045223816047571794,2.5792565157310405,levy_10
