iteration,x0,x1,x2,x3,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,noise_effort,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.8702492039700847,0.28681720908755537,0.6031481500515619,0.7775340829201788,0.7634498140369953,-4.090657272120006,True,-4.8541070861570015,logei,0.0,False,1.5,9,1fd9031e-f2c3-47a5-8f57-873a9fc0e29d,gaussian,5.0,0,exact,value,learned,16.666666666666668,"x0,x1,x2,x3",1.7175746997911816,0.7634498140369953,0.9541248857541863,0.9541248857541863,0.9541248857541863,0.9541248857541863,0.7634498140369953,0.9541248857541863,power_law_practice
2,0.7160746296035653,0.9153801204905075,0.8603936491828846,0.9182376290487624,1.3297853342314006,3.5526647770399538,True,2.222879442808553,logei,0.0,False,1.5,9,1fd9031e-f2c3-47a5-8f57-873a9fc0e29d,gaussian,5.0,0,exact,value,learned,16.666666666666668,"x0,x1,x2,x3",1.7175746997911816,1.3297853342314006,0.38778936555978105,1.3419142513139675,0.38778936555978105,0.6709571256569837,1.3297853342314006,0.38778936555978105,power_law_practice
3,0.026587734467597213,0.4372480001295087,0.48494432697728806,0.06515419737010752,-1.1380886799766226,4.328315007337088,True,5.4664036873137105,logei,0.0,False,1.5,9,1fd9031e-f2c3-47a5-8f57-873a9fc0e29d,gaussian,5.0,0,exact,value,learned,16.666666666666668,"x0,x1,x2,x3",1.7175746997911816,1.3297853342314006,2.855663379767804,4.197577631081772,0.38778936555978105,1.3991925436939239,-1.1380886799766226,2.855663379767804,power_law_practice
4,0.005626050679392924,0.830621436971257,0.9833022442861755,0.7846098526726796,0.8002486987201438,-1.6738997855222975,True,-2.4741484842424413,logei,0.0,False,1.5,9,1fd9031e-f2c3-47a5-8f57-873a9fc0e29d,gaussian,5.0,0,exact,value,learned,16.666666666666668,"x0,x1,x2,x3",1.7175746997911816,1.3297853342314006,0.9173260010710378,5.114903632152809,0.38778936555978105,1.2787259080382023,-1.1380886799766226,2.855663379767804,power_law_practice
5,0.31560348997827314,0.7053337045894538,0.2991810731982467,0.7407484828757487,0.5536630991002472,0.6207054523546379,True,0.06704235325439067,logei,0.0,False,1.5,9,1fd9031e-f2c3-47a5-8f57-873a9fc0e29d,gaussian,5.0,0,exact,value,learned,16.666666666666668,"x0,x1,x2,x3",1.7175746997911816,1.3297853342314006,1.1639116006909345,6.278815232843744,0.38778936555978105,1.2557630465687488,-1.1380886799766226,2.855663379767804,power_law_practice
6,0.0,0.3577283091725825,0.11176048783302461,0.0,-0.8799790663982263,0.14656020700587513,True,1.0265392734041014,logei,0.48747009999351576,False,1.5,9,1fd9031e-f2c3-47a5-8f57-873a9fc0e29d,gaussian,5.0,0,exact,value,learned,16.666666666666668,"x0,x1,x2,x3",1.7175746997911816,1.3297853342314006,2.597553766189408,8.876368999033152,0.38778936555978105,1.479394833172192,-1.1380886799766226,2.855663379767804,power_law_practice
7,0.0,0.36876356137331945,0.6315810028592104,0.0,-2.4751994509568336,-4.214470170886883,True,-1.7392707199300492,logei,0.49884620000375435,False,1.5,9,1fd9031e-f2c3-47a5-8f57-873a9fc0e29d,gaussian,5.0,0,exact,value,learned,16.666666666666668,"x0,x1,x2,x3",1.7175746997911816,1.3297853342314006,4.192774150748015,13.069143149781167,0.38778936555978105,1.8670204499687382,-1.1380886799766226,2.855663379767804,power_law_practice
8,0.0,0.48187481538817645,0.4434543788216049,0.0,-2.2497784330396597,2.0217596766572403,True,4.2715381096969,logei,0.6325522999977693,False,1.5,9,1fd9031e-f2c3-47a5-8f57-873a9fc0e29d,gaussian,5.0,0,exact,value,learned,16.666666666666668,"x0,x1,x2,x3",1.7175746997911816,1.3297853342314006,3.9673531328308416,17.03649628261201,0.38778936555978105,2.1295620353265012,-1.1380886799766226,2.855663379767804,power_law_practice
9,0.0,0.1346740714778075,0.49171880244831323,0.0,-1.3514754640571442,-8.724247408890442,True,-7.372771944833297,logei,0.674502499983646,False,1.5,9,1fd9031e-f2c3-47a5-8f57-873a9fc0e29d,gaussian,5.0,0,exact,value,learned,16.666666666666668,"x0,x1,x2,x3",1.7175746997911816,1.3297853342314006,3.069050163848326,20.105546446460338,0.38778936555978105,2.23394960516226,-1.1380886799766226,2.855663379767804,power_law_practice
10,0.07213700100884855,0.4395663816096277,0.4865800182775852,0.3761412776682925,0.046136682066480736,1.2678440014712358,True,1.221707319404755,logei,0.7913513000239618,False,1.5,9,1fd9031e-f2c3-47a5-8f57-873a9fc0e29d,gaussian,5.0,0,exact,value,learned,16.666666666666668,"x0,x1,x2,x3",1.7175746997911816,1.3297853342314006,1.6714380177247008,21.776984464185038,0.38778936555978105,2.177698446418504,-1.1380886799766226,2.855663379767804,power_law_practice
