iteration,x0,x1,x2,x3,x4,x5,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,444.2990447641016,-255.81934909493356,123.77778006187418,333.0408995042145,259.2895555242783,498.45614458860905,0.057472194418865245,-4.5525256036614286,True,-4.609997798080294,qnei,0.0,False,9,3532ef91-ba80-4c51-b61a-9291009ea330,gaussian,7.0711,0,exact,value,learned,50.000455210000005,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.057472194418865245,2.6963836212401056,2.6963836212401056,2.6963836212401056,2.6963836212401056,0.057472194418865245,2.6963836212401056,griewank
2,432.47237901946164,501.88515485851485,-568.0947186388834,-75.30239984458956,-18.06680762725432,-521.8149631558709,-1.21653991397448,-16.07288834962908,True,-14.8563484356546,qnei,0.0,False,9,3532ef91-ba80-4c51-b61a-9291009ea330,gaussian,7.0711,0,exact,value,learned,50.000455210000005,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.057472194418865245,3.9703957296334504,6.666779350873556,2.6963836212401056,3.333389675436778,0.057472194418865245,2.6963836212401056,griewank
3,-593.2487391847285,396.7457243655084,579.9626931434107,341.53182320721544,-221.27581202607223,246.40044550734456,-1.3389954932437236,6.6683353736628685,True,8.007330866906592,qnei,0.0,False,9,3532ef91-ba80-4c51-b61a-9291009ea330,gaussian,7.0711,0,exact,value,learned,50.000455210000005,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.057472194418865245,4.092851308902694,10.75963065977625,2.6963836212401056,3.5865435532587497,-1.3389954932437236,4.092851308902694,griewank
4,-240.98271216210395,288.8981794508984,-264.30333630205564,339.1090983937578,585.2888962734921,583.4862591362862,-1.0998450984185968,5.674205868191968,True,6.774050966610565,qnei,0.0,False,9,3532ef91-ba80-4c51-b61a-9291009ea330,gaussian,7.0711,0,exact,value,learned,50.000455210000005,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.057472194418865245,3.8537009140775673,14.613331573853817,2.6963836212401056,3.653332893463454,-1.3389954932437236,4.092851308902694,griewank
5,459.435080396011,495.3720621407015,249.84829692380697,65.39625271621048,507.8858496842647,-492.32306417482494,-1.15444362565057,0.8577913742809733,True,2.012234999931543,qnei,0.0,False,9,3532ef91-ba80-4c51-b61a-9291009ea330,gaussian,7.0711,0,exact,value,learned,50.000455210000005,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.057472194418865245,3.9082994413095404,18.521631015163358,2.6963836212401056,3.7043262030326716,-1.3389954932437236,4.092851308902694,griewank
6,-504.0676994254672,407.87911551585375,185.92114329161643,344.00554586468024,189.96722955335756,401.3199439407021,-0.19103528552437465,-15.410500225084972,True,-15.219464939560597,qnei,0.2803104000049643,False,9,3532ef91-ba80-4c51-b61a-9291009ea330,gaussian,7.0711,0,exact,value,learned,50.000455210000005,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.057472194418865245,2.9448911011833454,21.466522116346702,2.6963836212401056,3.577753686057784,-1.3389954932437236,4.092851308902694,griewank
7,-600.0,392.1684901429587,600.0,318.8661977318265,-600.0,30.422071425708506,-2.345866987903685,7.223741444303439,True,9.569608432207124,qnei,0.45070029998896644,False,9,3532ef91-ba80-4c51-b61a-9291009ea330,gaussian,7.0711,0,exact,value,learned,50.000455210000005,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.057472194418865245,5.099722803562656,26.56624491990936,2.6963836212401056,3.7951778457013368,-2.345866987903685,5.099722803562656,griewank
8,-600.0,-227.43015609232376,600.0,447.2703487027383,-449.7736524927961,-31.39621922313422,-1.7376938133243722,-4.039851923322919,True,-2.3021581099985466,qnei,0.4161154999746941,False,9,3532ef91-ba80-4c51-b61a-9291009ea330,gaussian,7.0711,0,exact,value,learned,50.000455210000005,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.057472194418865245,4.491549628983343,31.0577945488927,2.6963836212401056,3.8822243186115877,-2.345866987903685,5.099722803562656,griewank
9,-600.0,600.0,600.0,-24.06220820397549,-359.1348626774355,75.99285896088833,-1.8914985250373706,4.864103542913045,True,6.755602067950416,qnei,0.41758070001378655,False,9,3532ef91-ba80-4c51-b61a-9291009ea330,gaussian,7.0711,0,exact,value,learned,50.000455210000005,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.057472194418865245,4.645354340696342,35.703148889589045,2.6963836212401056,3.967016543287672,-2.345866987903685,5.099722803562656,griewank
10,-379.1248077395047,497.6072439630452,600.0,600.0,-600.0,-3.6604413653255214,-2.857933774954589,-0.15309898867053695,True,2.704834786284052,qnei,0.5079521000152454,False,9,3532ef91-ba80-4c51-b61a-9291009ea330,gaussian,7.0711,0,exact,value,learned,50.000455210000005,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.057472194418865245,5.61178959061356,41.314938480202606,2.6963836212401056,4.131493848020261,-2.345866987903685,5.099722803562656,griewank
11,-390.9194327874748,138.308140087175,-364.62177397905964,464.5709995818206,600.0,600.0,-1.9814306201966552,-8.909436140257919,True,-6.928005520061263,qnei,0.6385900999885052,False,9,3532ef91-ba80-4c51-b61a-9291009ea330,gaussian,7.0711,0,exact,value,learned,50.000455210000005,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.057472194418865245,4.735286435855626,46.050224916058234,2.6963836212401056,4.186384083278021,-2.345866987903685,5.099722803562656,griewank
12,-145.00894944272167,380.80946816602375,-208.00140755573,262.12723998710135,581.6401429886331,575.986512264008,-0.8647011444960181,-3.9988137944654083,True,-3.1341126499693903,qnei,0.6175298999878578,False,9,3532ef91-ba80-4c51-b61a-9291009ea330,gaussian,7.0711,0,exact,value,learned,50.000455210000005,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.057472194418865245,3.6185569601549887,49.668781876213224,2.6963836212401056,4.139065156351102,-2.345866987903685,5.099722803562656,griewank
13,-433.8177054314704,172.35062033418976,-255.58583336059357,441.5954472915156,507.19782256004044,552.4150520245194,-1.2150010279769399,-5.118217799824507,True,-3.9032167718475668,qnei,0.9560661999857984,False,9,3532ef91-ba80-4c51-b61a-9291009ea330,gaussian,7.0711,0,exact,value,learned,50.000455210000005,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.057472194418865245,3.9688568436359106,53.637638719849136,2.6963836212401056,4.125972209219165,-2.345866987903685,5.099722803562656,griewank
14,-266.2821037335262,346.06215055217865,-122.62920690228466,245.26041075212686,496.59411636616113,505.58807415374224,-0.18248765417445745,2.9324134433342737,True,3.114901097508731,qnei,0.709929300006479,False,9,3532ef91-ba80-4c51-b61a-9291009ea330,gaussian,7.0711,0,exact,value,learned,50.000455210000005,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.057472194418865245,2.936343469833428,56.57398218968257,2.6963836212401056,4.040998727834469,-2.345866987903685,5.099722803562656,griewank
