iteration,x0,x1,x2,x3,x4,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,1.0272137021115593,3.101621678089748,1.0012596288055424,2.477299543768252,2.73286049052822,0.15323094724110708,-2.2467887696393074,True,-2.4000197168804145,qnei,0.0,False,8,aa6f7338-293a-4644-b6a9-ed508fb38c3b,gaussian,7.0711,0,exact,value,learned,50.000455210000005,"x0,x1,x2,x3,x4",8.047721166688978,0.15323094724110708,7.894490219447871,7.894490219447871,7.894490219447871,7.894490219447871,0.15323094724110708,7.894490219447871,michalewicz
2,1.2286291551541173,1.3756464757427227,1.1710252155791652,0.3360046329538751,1.5047143521208903,0.32604765500876154,-8.776748116818135,True,-9.102795771826896,qnei,0.0,False,8,aa6f7338-293a-4644-b6a9-ed508fb38c3b,gaussian,7.0711,0,exact,value,learned,50.000455210000005,"x0,x1,x2,x3,x4",8.047721166688978,0.32604765500876154,7.721673511680216,15.616163731128086,7.721673511680216,7.808081865564043,0.15323094724110708,7.894490219447871,michalewicz
3,0.7582301259261758,0.8078456237537506,0.5803513018372032,0.6090434426292817,2.5567150298471115,-1.0282202964532643,0.36883430346689705,True,1.3970545999201613,qnei,0.0,False,8,aa6f7338-293a-4644-b6a9-ed508fb38c3b,gaussian,7.0711,0,exact,value,learned,50.000455210000005,"x0,x1,x2,x3,x4",8.047721166688978,0.32604765500876154,9.075941463142243,24.69210519427033,7.721673511680216,8.230701731423443,-1.0282202964532643,9.075941463142243,michalewicz
4,1.3288440180585444,0.8039979789080718,1.8563760580914754,1.898377406065081,2.032164425727874,0.5224310245244812,-0.06162021233067616,True,-0.5840512368551574,qnei,0.0,False,8,aa6f7338-293a-4644-b6a9-ed508fb38c3b,gaussian,7.0711,0,exact,value,learned,50.000455210000005,"x0,x1,x2,x3,x4",8.047721166688978,0.5224310245244812,7.525290142164497,32.217395336434826,7.525290142164497,8.054348834108707,-1.0282202964532643,9.075941463142243,michalewicz
5,2.863110509619268,0.4718864178640059,1.1667470743524408,0.8941621038640123,0.052722372294653944,-0.1443543065132659,9.0420915926875,True,9.186445899200766,qnei,0.0,False,8,aa6f7338-293a-4644-b6a9-ed508fb38c3b,gaussian,7.0711,0,exact,value,learned,50.000455210000005,"x0,x1,x2,x3,x4",8.047721166688978,0.5224310245244812,8.192075473202244,40.40947080963707,7.525290142164497,8.081894161927414,-0.1443543065132659,8.192075473202244,michalewicz
6,3.141592653589793,0.0,1.2065715797659853,1.6332014035811242,0.0,0.2530659609849405,-3.7211668960480426,True,-3.974232857032983,qnei,0.6856508000055328,False,8,aa6f7338-293a-4644-b6a9-ed508fb38c3b,gaussian,7.0711,0,exact,value,learned,50.000455210000005,"x0,x1,x2,x3,x4",8.047721166688978,0.5224310245244812,7.7946552057040375,48.20412601534111,7.525290142164497,8.034021002556852,-0.1443543065132659,8.192075473202244,michalewicz
7,3.141592653589793,0.22165015252834083,1.1335259902126684,0.7173940372248604,0.0,-0.5273733029649137,5.693843317341469,True,6.221216620306382,qnei,0.7118835999863222,False,8,aa6f7338-293a-4644-b6a9-ed508fb38c3b,gaussian,7.0711,0,exact,value,learned,50.000455210000005,"x0,x1,x2,x3,x4",8.047721166688978,0.5224310245244812,8.575094469653893,56.779220484995,7.525290142164497,8.111317212142144,-0.1443543065132659,8.192075473202244,michalewicz
8,2.500853900980962,1.2045065014194298,1.2163526618323248,0.9158349305719666,0.0,0.681072398303891,-13.192778144410598,True,-13.87385054271449,qnei,0.7747861000243574,False,8,aa6f7338-293a-4644-b6a9-ed508fb38c3b,gaussian,7.0711,0,exact,value,learned,50.000455210000005,"x0,x1,x2,x3,x4",8.047721166688978,0.681072398303891,7.366648768385088,64.14586925338008,7.366648768385088,8.01823365667251,-0.1443543065132659,8.192075473202244,michalewicz
9,2.7861043325709725,0.42036731841433983,1.1805458502936785,0.0,1.7623344430227479,1.064451791266696,1.419845621935707,True,0.355393830669011,qnei,0.7765838999766856,False,8,aa6f7338-293a-4644-b6a9-ed508fb38c3b,gaussian,7.0711,0,exact,value,learned,50.000455210000005,"x0,x1,x2,x3,x4",8.047721166688978,1.064451791266696,6.9832693754222825,71.12913862880237,6.9832693754222825,7.903237625422485,-0.1443543065132659,8.192075473202244,michalewicz
10,2.1596303372567593,0.41547248436235995,0.0,0.0,0.0,0.444934487066348,-3.0972802979221834,True,-3.5422147849885315,qnei,0.6983553000027314,False,8,aa6f7338-293a-4644-b6a9-ed508fb38c3b,gaussian,7.0711,0,exact,value,learned,50.000455210000005,"x0,x1,x2,x3,x4",8.047721166688978,1.064451791266696,7.60278667962263,78.73192530842499,6.9832693754222825,7.873192530842499,-0.1443543065132659,8.192075473202244,michalewicz
11,1.8460165487913271,0.4387175324326432,1.5608253258669538,0.9739490855479846,1.0006184539095497,1.1520100288262982,15.645421304211117,True,14.493411275384819,qnei,0.8161416000220925,False,8,aa6f7338-293a-4644-b6a9-ed508fb38c3b,gaussian,7.0711,0,exact,value,learned,50.000455210000005,"x0,x1,x2,x3,x4",8.047721166688978,1.1520100288262982,6.89571113786268,85.62763644628767,6.89571113786268,7.784330586026152,1.1520100288262982,6.89571113786268,michalewicz
12,1.248867984071187,0.4062054824724428,2.0911233480949143,0.9401578185388553,1.0977167706952238,-0.2655744207480444,-2.1509240868086477,True,-1.8853496660606033,qnei,0.602837200043723,False,8,aa6f7338-293a-4644-b6a9-ed508fb38c3b,gaussian,7.0711,0,exact,value,learned,50.000455210000005,"x0,x1,x2,x3,x4",8.047721166688978,1.1520100288262982,8.313295587437022,93.94093203372469,6.89571113786268,7.828411002810391,1.1520100288262982,6.89571113786268,michalewicz
13,1.2168836405034298,0.41660305827545707,1.443125712091813,0.9654429332315081,0.4144312321891172,-0.3838664411700974,-3.1364939768408444,True,-2.7526275356707472,qnei,0.7476595000480302,False,8,aa6f7338-293a-4644-b6a9-ed508fb38c3b,gaussian,7.0711,0,exact,value,learned,50.000455210000005,"x0,x1,x2,x3,x4",8.047721166688978,1.1520100288262982,8.431587607859075,102.37251964158376,6.89571113786268,7.874809203198751,1.1520100288262982,6.89571113786268,michalewicz
14,1.9277030448147914,0.39410123988127327,2.0903062353135926,1.163384200128011,1.5294156363969886,0.824279760882422,-4.670781023514215,True,-5.495060784396637,qnei,0.6870132000185549,False,8,aa6f7338-293a-4644-b6a9-ed508fb38c3b,gaussian,7.0711,0,exact,value,learned,50.000455210000005,"x0,x1,x2,x3,x4",8.047721166688978,1.1520100288262982,7.223441405806557,109.59596104739032,6.89571113786268,7.828282931956451,1.1520100288262982,6.89571113786268,michalewicz
