iteration,x0,x1,x2,x3,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,-24.517721760929252,-0.3104965058851315,7.85002552859949,-31.07889293259994,-0.44644377431129745,-0.44644377431129745,-0.44644377431129745,1.2539474230902665,True,True,0.0,random,0.0,False,11,e05a8244-4b11-43a8-9b03-01df646b5be6,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",20.102447153853433,-0.44644377431129745,20.54889092816473,20.54889092816473,20.54889092816473,20.54889092816473,-0.44644377431129745,20.54889092816473,ackley
2,-21.76217553684917,27.926956791407985,-28.149307260622788,-24.505152905950915,-0.5534897246258401,-0.5534897246258401,-0.5534897246258401,1.3404374472690863,True,True,0.0,random,0.0,False,11,e05a8244-4b11-43a8-9b03-01df646b5be6,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",20.102447153853433,-0.44644377431129745,20.655936878479274,41.204827806644005,20.54889092816473,20.602413903322002,-0.44644377431129745,20.54889092816473,ackley
3,28.106488956687468,7.395288387219661,-8.10043816246412,0.5386086072068181,0.09021054756399662,0.09021054756399662,0.09021054756399662,1.5019049212555695,True,True,0.0,random,0.0,False,11,e05a8244-4b11-43a8-9b03-01df646b5be6,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",20.102447153853433,0.09021054756399662,20.012236606289438,61.21706441293344,20.012236606289438,20.40568813764448,0.09021054756399662,20.012236606289438,ackley
4,10.646828570520286,-14.163563604060936,-23.404714139628823,18.766008016768414,-0.3980013067761011,-0.3980013067761011,-0.3980013067761011,0.6571679832803914,True,True,0.0,random,0.0,False,11,e05a8244-4b11-43a8-9b03-01df646b5be6,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",20.102447153853433,0.09021054756399662,20.500448460629535,81.71751287356298,20.012236606289438,20.429378218390745,0.09021054756399662,20.012236606289438,ackley
5,11.449141893677371,0.3072207382905151,21.201617997566235,4.510148234062549,0.46861333572559766,0.46861333572559766,0.46861333572559766,1.4854596447215516,True,True,0.0,random,0.0,False,11,e05a8244-4b11-43a8-9b03-01df646b5be6,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",20.102447153853433,0.46861333572559766,19.633833818127837,101.35134669169082,19.633833818127837,20.270269338338164,0.46861333572559766,19.633833818127837,ackley
6,31.219204401431448,-20.07499040423316,2.145021477162373,-1.2597071922569087,0.14119242004700136,0.14119242004700136,0.14119242004700136,1.5878744083106342,True,True,0.0,random,0.0,False,11,e05a8244-4b11-43a8-9b03-01df646b5be6,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",20.102447153853433,0.46861333572559766,19.96125473380643,121.31260142549725,19.633833818127837,20.21876690424954,0.46861333572559766,19.633833818127837,ackley
7,-9.281663045631271,6.1328149611657565,-16.444523529726066,18.950524000654134,0.5504273460193112,0.5504273460193112,0.5504273460193112,1.2938071616078906,True,True,0.0,random,0.0,False,11,e05a8244-4b11-43a8-9b03-01df646b5be6,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",20.102447153853433,0.5504273460193112,19.55201980783412,140.86462123333138,19.55201980783412,20.12351731904734,0.5504273460193112,19.55201980783412,ackley
8,24.41369853567211,-23.733853688600725,-2.0508929498614834,-13.979202677659051,-0.06091141735187067,-0.06091141735187067,-0.06091141735187067,0.9347291144345259,True,True,0.0,random,0.0,False,11,e05a8244-4b11-43a8-9b03-01df646b5be6,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",20.102447153853433,0.5504273460193112,20.163358571205304,161.02797980453667,19.55201980783412,20.128497475567084,0.5504273460193112,19.55201980783412,ackley
9,-26.459359054784215,25.564022975260837,-5.185837772682539,-23.786540284670384,-0.8397358643366163,-0.8397358643366163,-0.8397358643366163,1.315572458036759,True,True,0.0,random,0.0,False,11,e05a8244-4b11-43a8-9b03-01df646b5be6,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",20.102447153853433,0.5504273460193112,20.94218301819005,181.9701628227267,19.55201980783412,20.218906980302968,0.5504273460193112,19.55201980783412,ackley
10,11.935712686873842,-18.693528282097255,26.731471687149416,-19.28684360496363,-0.3933382094103553,-0.3933382094103553,-0.3933382094103553,1.3217333913468154,True,True,0.0,random,0.0,False,11,e05a8244-4b11-43a8-9b03-01df646b5be6,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",20.102447153853433,0.5504273460193112,20.49578536326379,202.4659481859905,19.55201980783412,20.24659481859905,0.5504273460193112,19.55201980783412,ackley
