dataset,objective,oracle_model,error_model,jitter_iteration,jitter_std,acquisition,n_seeds,n_acquisitions,mean_rank,mean_rank_normalized,mean_rank_absolute,mean_auc_simple_regret_excess_true,median_auc_simple_regret_excess_true,mean_auc_excess_postonset_per_iter,mean_auc_simple_regret_true_jitter,mean_response_l2_excess,condition_win
ackley,value,exact,slip,0,0.01,pi,5,8,2.6,0.2285714285714286,4.6,-142.31546707745548,-162.80647257396004,-2.904397287295011,567.877195817849,-0.19759994453741,True
ackley,value,exact,slip,0,0.01,sobol,5,8,3.4,0.34285714285714286,7.2,-8.815076674503075,-6.262424220439698,-0.17989952396944986,876.6322185583209,-0.4519830408308323,False
ackley,value,exact,slip,0,0.01,qnei,5,8,4.2,0.4571428571428572,4.2,54.635542825561835,11.010852609279368,1.1150110780726907,621.8955416574815,-0.42258036927565995,False
ackley,value,exact,slip,0,0.01,random,5,8,4.8,0.5428571428571428,7.4,14.650131817255897,22.564575468926478,0.29898228198481397,855.4108992067062,0.035655722994766846,False
ackley,value,exact,slip,0,0.01,qucb,5,8,5.0,0.5714285714285714,3.2,10.158009559171841,28.958873917262906,0.207306317534119,499.2294719286898,-0.3810887682984543,False
ackley,value,exact,slip,0,0.01,ei,5,8,5.0,0.5714285714285714,3.4,-0.24036814817221738,5.7779570256735155,-0.004905472411677536,512.6256263042725,0.029730544870632515,False
ackley,value,exact,slip,0,0.01,logei,5,8,5.2,0.6,3.0,-8.946700363401476,28.86815121823696,-0.18258572170207082,503.7126031438693,0.41669265079887197,False
ackley,value,exact,slip,0,0.01,ucb,5,8,5.8,0.6857142857142857,3.0,20.79727016597469,27.527661635168442,0.4244340850198922,500.3884142268656,-0.10923761417540163,False
ackley,value,exact,slip,0,0.05,sobol,5,8,2.4,0.19999999999999998,7.0,-7.7999773265449,-5.992367602632385,-0.15918321074581457,877.647317906279,0.6174263974569982,True
ackley,value,exact,slip,0,0.05,pi,5,8,3.2,0.31428571428571433,5.0,-34.635639696988584,47.86079975273026,-0.7068497897344616,675.557023198316,0.2008844545734533,False
ackley,value,exact,slip,0,0.05,random,5,8,3.2,0.31428571428571433,6.4,-10.175702349803055,3.4853973228684936,-0.20766739489394048,830.5850650396472,-0.451201466060094,False
ackley,value,exact,slip,0,0.05,qnei,5,8,3.8,0.39999999999999997,3.8,80.99633330339736,27.175748058243926,1.652986393946885,648.2563321353172,2.7619629786925786,False
ackley,value,exact,slip,0,0.05,qucb,5,8,5.2,0.6,3.0,80.76430083282011,104.75453554274213,1.648251037404492,569.8357632023381,-1.608332755421617,False
ackley,value,exact,slip,0,0.05,ei,5,8,5.6,0.6571428571428571,3.2,41.97665184166666,52.5823611592084,0.8566663641156463,554.8426462941113,0.05675003538868424,False
ackley,value,exact,slip,0,0.05,ucb,5,8,6.0,0.7142857142857143,3.0,80.28412607725988,54.92964770630647,1.6384515525971406,559.8752701381508,1.093739322851512,False
ackley,value,exact,slip,0,0.05,logei,5,8,6.6,0.7999999999999999,4.6,98.89192475019915,56.687945579973984,2.0182025459224318,611.5512282574698,1.884892926911236,False
ackley,value,exact,slip,0,0.15,random,5,8,2.0,0.14285714285714285,5.8,-15.270836440135941,0.4827393937406441,-0.31164972326808105,825.4899309493143,1.4102419004489959,True
ackley,value,exact,slip,0,0.15,sobol,5,8,2.2,0.17142857142857146,6.8,-7.2070260243261375,-14.80092552640076,-0.14708216376175826,878.2402692084977,4.03849024953045,False
ackley,value,exact,slip,0,0.15,pi,5,8,3.2,0.31428571428571433,3.6,18.443657754245077,-86.65712053634138,0.37640117865806244,728.6363206495496,6.244449121781196,False
ackley,value,exact,slip,0,0.15,logei,5,8,4.6,0.5142857142857142,2.2,137.32024559685743,131.3197394763382,2.8024539917726004,649.9795491041282,-5.0530900921080795,False
ackley,value,exact,slip,0,0.15,qnei,5,8,5.2,0.6,4.6,181.6475364127732,230.0176745536353,3.707092579852515,748.907535244693,-0.7570496240747658,False
ackley,value,exact,slip,0,0.15,ei,5,8,5.6,0.6571428571428571,3.4,187.70557580830956,159.7842793823488,3.8307260369042764,700.5715702607542,-1.5106095267157031,False
ackley,value,exact,slip,0,0.15,qucb,5,8,6.2,0.7428571428571429,4.2,260.6943529908666,257.82179557171776,5.320292918180952,749.7658153603845,-0.51508607769035,False
ackley,value,exact,slip,0,0.15,ucb,5,8,7.0,0.8571428571428571,5.4,322.41017205400874,338.61692287596395,6.579799429673647,802.0013161148997,5.0167885191239545,False
ackley,value,exact,slip,0,0.4,random,5,8,2.0,0.14285714285714285,2.8,37.839722659390965,26.06310671389315,0.772239237946754,878.6004900488413,14.833702336796739,True
ackley,value,exact,slip,0,0.4,sobol,5,8,2.2,0.17142857142857146,4.6,45.817416760431186,53.988441476061894,0.9350493216414527,931.2647119932551,4.8104036913792125,False
ackley,value,exact,slip,0,0.4,pi,5,8,3.0,0.2857142857142857,3.4,178.3925461828617,113.52003303138088,3.640664207813503,888.5852090781661,13.430125871541446,False
ackley,value,exact,slip,0,0.4,qnei,5,8,5.2,0.6,5.0,345.7197029382176,411.8973918632,7.055504141596276,912.9797017701374,17.09235451786676,False
ackley,value,exact,slip,0,0.4,ei,5,8,5.4,0.6285714285714287,4.8,400.2128946875823,402.16920547732275,8.167610095664944,913.0788891400271,6.925124410273545,False
ackley,value,exact,slip,0,0.4,logei,5,8,5.6,0.6571428571428571,4.4,389.28662761147524,444.5308201203473,7.944625053295411,901.9459311187459,22.11661807683599,False
ackley,value,exact,slip,0,0.4,qucb,5,8,5.8,0.6857142857142857,4.2,411.6574320962176,437.839147662178,8.401172083596279,900.7288944657355,11.565621788321838,False
ackley,value,exact,slip,0,0.4,ucb,5,8,6.8,0.8285714285714285,6.8,470.10708712353124,447.7617429512236,9.594022186194513,949.6982311844222,7.723812765067767,False
ackley,value,exact,slip,20,0.01,pi,5,8,2.0,0.14285714285714285,5.0,-65.92916413887045,-36.43951243316246,-2.271910320416065,644.263498756434,0.265270462181148,True
ackley,value,exact,slip,20,0.01,sobol,5,8,3.7,0.38571428571428573,7.4,-0.6449542665284298,0.0,-0.02223980229408511,884.8023409662956,-0.8984551161754311,False
ackley,value,exact,slip,20,0.01,random,5,8,4.1,0.4428571428571428,6.6,1.3038829987053078,0.0,0.04691504535322437,842.0646503881555,0.44313581236179045,False
ackley,value,exact,slip,20,0.01,ucb,5,8,4.2,0.4571428571428572,2.6,5.627320749556259,12.267595127036884,0.1980151620425646,485.21846481044713,-1.1048651201818251,False
ackley,value,exact,slip,20,0.01,ei,5,8,5.0,0.5714285714285714,3.8,27.00283868823383,6.303858136689541,0.9267622386506522,539.8688331406786,1.9143158070394162,False
ackley,value,exact,slip,20,0.01,qucb,5,8,5.2,0.6,3.4,18.763327436079898,27.80141169896467,0.6494223556911706,507.8347898055978,0.6503572886895672,False
ackley,value,exact,slip,20,0.01,logei,5,8,5.6,0.6571428571428571,3.4,12.381209045257856,21.178593501828345,0.42961990939632677,525.0405125525286,2.1278035556482937,False
ackley,value,exact,slip,20,0.01,qnei,5,8,6.2,0.7428571428571429,3.8,10.87802239865631,12.187596318540102,0.37396984401925515,578.1380212305761,-7.71529811981312,False
ackley,value,exact,slip,20,0.05,pi,5,8,2.2,0.17142857142857146,4.8,-60.230271424801614,-99.23574156096959,-2.0769059112000563,649.9623914705029,3.090247040089962,True
ackley,value,exact,slip,20,0.05,sobol,5,8,2.4,0.19999999999999998,7.6,-6.877345464537825,-3.8332924523728025,-0.2371498436047524,878.5699497682863,-2.3465498406929184,False
