iteration,x0,x1,x2,x3,x4,x5,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,485.515342541152,-536.8735791696929,600.0,-557.1596288256615,192.71937523058838,-333.53011111978094,-2.3688670219783696,-2.3688670219783696,-2.3688670219783696,376.20797135080346,True,True,0.0,sobol,0.0,False,10,e9ba0481-66ff-4929-be44-86535987afca,slip,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,-2.3688670219783696,5.12272283763734,5.12272283763734,5.12272283763734,5.12272283763734,-2.3688670219783696,5.12272283763734,griewank
2,299.5945614443374,511.69994771138033,16.76569462230907,600.0,382.71493320384576,-252.1376551502381,-0.7680376177533499,-0.7680376177533499,-0.7680376177533499,181.60112038118822,True,True,0.0,sobol,0.0,False,10,e9ba0481-66ff-4929-be44-86535987afca,slip,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,-0.7680376177533499,3.5218934334123206,8.64461627104966,3.5218934334123206,4.32230813552483,-0.7680376177533499,3.5218934334123206,griewank
3,366.44487795734494,566.9432622839997,322.46570600660357,600.0,-600.0,452.73671053561264,-2.908524725811845,-2.908524725811845,-2.908524725811845,460.01705421625655,True,True,0.0,sobol,0.0,False,10,e9ba0481-66ff-4929-be44-86535987afca,slip,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,-0.7680376177533499,5.6623805414708155,14.306996812520476,3.5218934334123206,4.768998937506825,-0.7680376177533499,3.5218934334123206,griewank
4,-81.6556857323892,13.648865617793149,-293.4920549488098,493.4709747391064,-7.207772663793946,600.0,0.08743680826777073,0.08743680826777073,0.08743680826777073,637.3762893451653,True,True,0.0,sobol,0.0,False,10,e9ba0481-66ff-4929-be44-86535987afca,slip,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.08743680826777073,2.6664190073912,16.973415819911676,2.6664190073912,4.243353954977919,0.08743680826777073,2.6664190073912,griewank
5,-35.76797465687149,-117.2453978667398,-164.96377891136223,223.27921660294214,-15.485751840560397,171.554846132058,2.2754394129221693,2.2754394129221693,2.2754394129221693,258.1326690373492,True,True,0.0,sobol,0.0,False,10,e9ba0481-66ff-4929-be44-86535987afca,slip,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,2.2754394129221693,0.4784164027368014,17.451832222648477,0.4784164027368014,3.4903664445296956,2.2754394129221693,0.4784164027368014,griewank
6,-203.46924605589533,-313.2908261634046,-248.63677373949537,-48.19175718160817,209.64541689296803,239.54038919974067,1.5783025259529404,1.5783025259529404,1.5783025259529404,380.71741777743114,True,True,0.0,sobol,0.0,False,10,e9ba0481-66ff-4929-be44-86535987afca,slip,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,2.2754394129221693,1.1755532897060303,18.627385512354508,0.4784164027368014,3.1045642520590846,2.2754394129221693,0.4784164027368014,griewank
7,359.57833308479053,393.73495099718474,193.70552205018234,-80.15217484536782,-233.6186499656866,-600.0,-0.08701951320252353,-0.08701951320252353,-0.08701951320252353,140.76950643795104,True,True,0.0,sobol,0.0,False,10,e9ba0481-66ff-4929-be44-86535987afca,slip,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,2.2754394129221693,2.840875328861494,21.468260841216,0.4784164027368014,3.066894405888,2.2754394129221693,0.4784164027368014,griewank
8,-81.46126723887308,-97.63368984074617,-600.0,273.0479881479394,-457.7995073304244,-272.9330449316052,-0.05639781862558857,-0.05639781862558857,-0.05639781862558857,431.92288317827547,True,True,0.0,sobol,0.0,False,10,e9ba0481-66ff-4929-be44-86535987afca,slip,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,2.2754394129221693,2.8102536342845594,24.27851447550056,0.4784164027368014,3.03481430943757,2.2754394129221693,0.4784164027368014,griewank
9,-99.75084565885618,-48.83946336999314,600.0,-549.8834165623182,600.0,-17.093086154484354,-1.198073094549621,-1.198073094549621,-1.198073094549621,487.09261026038007,True,True,0.0,sobol,0.0,False,10,e9ba0481-66ff-4929-be44-86535987afca,slip,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,2.2754394129221693,3.9519289102085917,28.23044338570915,0.4784164027368014,3.1367159317454614,2.2754394129221693,0.4784164027368014,griewank
10,-170.62728080301966,-600.0,-20.082061825445557,-440.2817032496544,417.94984806485644,195.35053342045276,-0.2898921056767865,-0.2898921056767865,-0.2898921056767865,245.65222847184407,True,True,0.0,sobol,0.0,False,10,e9ba0481-66ff-4929-be44-86535987afca,slip,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5",2.7538558156589708,2.2754394129221693,3.0437479213357572,31.27419130704491,0.4784164027368014,3.127419130704491,2.2754394129221693,0.4784164027368014,griewank
