iteration,x0,x1,x2,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.0,0.736861834257972,0.28840101474391366,-0.6726373342265841,-0.6726373342265841,-0.6726373342265841,0.4129615379867519,True,True,0.0,pi,0.0,False,8,a241f4a0-c81b-404e-9aa4-db881b395622,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,-0.6726373342265841,3.7275382763823117,3.7275382763823117,3.7275382763823117,3.7275382763823117,-0.6726373342265841,3.7275382763823117,hartmann_3
2,1.0,1.0,0.2119636150191081,-0.9799727877132427,-0.9799727877132427,-0.9799727877132427,0.30614191392756135,True,True,0.0,pi,0.0,False,8,a241f4a0-c81b-404e-9aa4-db881b395622,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,-0.6726373342265841,4.03487372986897,7.762412006251282,3.7275382763823117,3.881206003125641,-0.6726373342265841,3.7275382763823117,hartmann_3
3,0.8130779786181762,1.0,0.0,-0.9872921020967574,-0.9872921020967574,-0.9872921020967574,0.738684728387537,True,True,0.0,pi,0.0,False,8,a241f4a0-c81b-404e-9aa4-db881b395622,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,-0.6726373342265841,4.042193044252485,11.804605050503767,3.7275382763823117,3.9348683501679225,-0.6726373342265841,3.7275382763823117,hartmann_3
4,0.9979321650157473,0.0,0.3775847517062738,-0.7924839094714622,-0.7924839094714622,-0.7924839094714622,0.5848786017891647,True,True,0.0,pi,0.0,False,8,a241f4a0-c81b-404e-9aa4-db881b395622,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,-0.6726373342265841,3.84738485162719,15.651989902130957,3.7275382763823117,3.9129974755327392,-0.6726373342265841,3.7275382763823117,hartmann_3
5,0.4745400911760408,0.5582660693538537,1.0,1.1567726241365137,1.1567726241365137,1.1567726241365137,0.5014355303357428,True,True,0.0,pi,0.0,False,8,a241f4a0-c81b-404e-9aa4-db881b395622,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,1.1567726241365137,1.898128318019214,17.55011822015017,1.898128318019214,3.510023644030034,1.1567726241365137,1.898128318019214,hartmann_3
6,0.4335574392853351,0.14119453992603853,1.0,-0.6198543075654768,-0.6198543075654768,-0.6198543075654768,0.40420324374913685,True,True,0.0,pi,0.2218595000449568,False,8,a241f4a0-c81b-404e-9aa4-db881b395622,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,1.1567726241365137,3.6747552497212044,21.224873469871376,1.898128318019214,3.537478911645229,1.1567726241365137,1.898128318019214,hartmann_3
7,0.8604791934821863,0.0,0.6628139066573557,-0.8210365487999635,-0.8210365487999635,-0.8210365487999635,0.7299110537933494,True,True,0.0,pi,0.1956987000303343,False,8,a241f4a0-c81b-404e-9aa4-db881b395622,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,1.1567726241365137,3.875937490955691,25.10081096082707,1.898128318019214,3.5858301372610097,1.1567726241365137,1.898128318019214,hartmann_3
8,0.9610120384260481,0.0,1.0,-0.8980805264530993,-0.8980805264530993,-0.8980805264530993,0.7150063327213323,True,True,0.0,pi,0.3214115999871865,False,8,a241f4a0-c81b-404e-9aa4-db881b395622,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,1.1567726241365137,3.9529814686088267,29.053792429435894,1.898128318019214,3.631724053679487,1.1567726241365137,1.898128318019214,hartmann_3
9,0.4986921746516118,0.6264810247893065,0.713006640982484,1.534229714991787,1.534229714991787,1.534229714991787,0.2972354527165304,True,True,0.0,pi,0.33290639996994287,False,8,a241f4a0-c81b-404e-9aa4-db881b395622,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,1.534229714991787,1.5206712271639407,30.574463656599836,1.5206712271639407,3.3971626285110927,1.534229714991787,1.5206712271639407,hartmann_3
10,0.67215527358276,0.5933241415197529,0.2260206077265633,-0.8875748896110551,-0.8875748896110551,-0.8875748896110551,0.563408082387053,True,True,0.0,pi,0.36858899996150285,False,8,a241f4a0-c81b-404e-9aa4-db881b395622,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2",3.0549009421557276,1.534229714991787,3.9424758317667825,34.51693948836662,1.5206712271639407,3.451693948836662,1.534229714991787,1.5206712271639407,hartmann_3
