iteration,x0,x1,x2,x3,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,9.696242687863469,2.133729085886813,8.428603693162412,1.6218464484455304,-0.13938892186873877,-0.13938892186873877,-0.13938892186873877,0.2433606312102998,True,True,0.0,random,0.0,False,10,ba57e751-5b23-4cdb-bcc8-c401c14a77ea,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,-0.13938892186873877,5.5422266865391006,5.5422266865391006,5.5422266865391006,5.5422266865391006,-0.13938892186873877,5.5422266865391006,hicks_law
2,5.084963116584749,1.3858745340072545,6.929342227023863,8.398488992547467,-0.3594058840302084,-0.3594058840302084,-0.3594058840302084,0.06669096404742833,True,True,0.0,random,0.0,False,10,ba57e751-5b23-4cdb-bcc8-c401c14a77ea,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,-0.13938892186873877,5.76224364870057,11.304470335239671,5.5422266865391006,5.6522351676198355,-0.13938892186873877,5.5422266865391006,hicks_law
3,4.272608122973072,9.543907629381707,8.207916290864437,3.415149527381546,-0.9669901241988358,-0.9669901241988358,-0.9669901241988358,0.06403680603860315,True,True,0.0,random,0.0,False,10,ba57e751-5b23-4cdb-bcc8-c401c14a77ea,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,-0.13938892186873877,6.369827888869198,17.674298224108867,5.5422266865391006,5.891432741369623,-0.13938892186873877,5.5422266865391006,hicks_law
4,5.694541501750691,7.482215726238392,8.341775100893235,9.211399280731055,-1.687908407085149,-1.687908407085149,-1.687908407085149,0.16336144308401057,True,True,0.0,random,0.0,False,10,ba57e751-5b23-4cdb-bcc8-c401c14a77ea,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,-0.13938892186873877,7.0907461717555105,24.76504439586438,5.5422266865391006,6.191261098966095,-0.13938892186873877,5.5422266865391006,hicks_law
5,1.1968271389911491,7.406386185925511,1.3355018791797126,9.035835206083254,0.3961725166169367,0.3961725166169367,0.3961725166169367,0.26597821764740215,True,True,0.0,random,0.0,False,10,ba57e751-5b23-4cdb-bcc8-c401c14a77ea,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,0.3961725166169367,5.006665248053425,29.771709643917802,5.006665248053425,5.954341928783561,0.3961725166169367,5.006665248053425,hicks_law
6,2.3171139921524917,8.696574518191056,3.013791169954017,9.852932094055214,-0.5726362755273129,-0.5726362755273129,-0.5726362755273129,0.23756212965142226,True,True,0.0,random,0.0,False,10,ba57e751-5b23-4cdb-bcc8-c401c14a77ea,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,0.3961725166169367,5.975474040197675,35.74718368411548,5.006665248053425,5.957863947352579,0.3961725166169367,5.006665248053425,hicks_law
7,5.294345546020417,3.1498189623771875,2.7681482928127283,6.004486054822118,0.012279360573117208,0.012279360573117208,0.012279360573117208,0.15862371845181578,True,True,0.0,random,0.0,False,10,ba57e751-5b23-4cdb-bcc8-c401c14a77ea,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,0.3961725166169367,5.390558404097244,41.13774208821272,5.006665248053425,5.876820298316103,0.3961725166169367,5.006665248053425,hicks_law
8,3.46707284226023,6.768490901738327,1.562687409190246,2.5218185525868155,0.6630273759238815,0.6630273759238815,0.6630273759238815,0.13414366068228337,True,True,0.0,random,0.0,False,10,ba57e751-5b23-4cdb-bcc8-c401c14a77ea,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,0.6630273759238815,4.73981038874648,45.877552476959195,4.73981038874648,5.734694059619899,0.6630273759238815,4.73981038874648,hicks_law
9,8.869774013144303,5.888889736980644,2.6002241166102045,1.4894382211018202,0.11406465491643447,0.11406465491643447,0.11406465491643447,0.2068004248170505,True,True,0.0,random,0.0,False,10,ba57e751-5b23-4cdb-bcc8-c401c14a77ea,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,0.6630273759238815,5.288773109753927,51.16632558671312,4.73981038874648,5.685147287412569,0.6630273759238815,4.73981038874648,hicks_law
10,1.2952672787816737,2.3842259681238342,3.7494703536598393,6.434323903348221,0.7724971191735743,0.7724971191735743,0.7724971191735743,0.16028095341982715,True,True,0.0,random,0.0,False,10,ba57e751-5b23-4cdb-bcc8-c401c14a77ea,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",5.402837764670362,0.7724971191735743,4.630340645496787,55.79666623220991,4.630340645496787,5.579666623220991,0.7724971191735743,4.630340645496787,hicks_law
