iteration,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,-3.9988346785568343,-3.8348301473788906,-10.0,6.079311199274527,9.761374837535776,3.8959702308852213,-1.4748738872591378,10.0,-10.0,5.832062373193835,3.1209668523225367,-3.444345708514502,-3.444345708514502,-3.444345708514502,21.572316998337026,True,True,0.0,ei,0.0,False,9,725109d6-ad58-40c6-bbaa-9513f09642ba,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,-3.444345708514502,6.068826040293114,6.068826040293114,6.068826040293114,6.068826040293114,-3.444345708514502,6.068826040293114,levy_10
2,-10.0,-10.0,10.0,-4.855187279800365,10.0,-4.805459034420172,-1.1367363180328773,-2.1404261541010365,10.0,4.62669162327348,1.2496108919347382,-4.167239736287491,-4.167239736287491,-4.167239736287491,20.067573997848122,True,True,0.0,ei,0.0,False,9,725109d6-ad58-40c6-bbaa-9513f09642ba,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,-3.444345708514502,6.791720068066104,12.860546108359218,6.068826040293114,6.430273054179609,-3.444345708514502,6.068826040293114,levy_10
3,10.0,6.343149174530945,10.0,-1.6476906331521057,2.516045517789567,5.810489736905683,7.824122800987929,-7.340774740027764,2.2363977080785844,-0.467147319721259,3.522404281778826,-0.7739643314209018,-0.7739643314209018,-0.7739643314209018,13.67569450527632,True,True,0.0,ei,0.0,False,9,725109d6-ad58-40c6-bbaa-9513f09642ba,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,-0.7739643314209018,3.398444663199514,16.258990771558732,3.398444663199514,5.419663590519577,-0.7739643314209018,3.398444663199514,levy_10
4,-9.93980571561231,-9.233867622442688,-4.600839330637957,-9.027775488620632,5.8249993966945555,-10.0,-4.651744678687314,1.1930619786349914,2.1616642626787184,10.0,-3.084765301853672,-3.2678529329861203,-3.2678529329861203,-3.2678529329861203,18.96120229226671,True,True,0.0,ei,0.0,False,9,725109d6-ad58-40c6-bbaa-9513f09642ba,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,-0.7739643314209018,5.892333264764733,22.151324036323466,3.398444663199514,5.5378310090808665,-0.7739643314209018,3.398444663199514,levy_10
5,6.852776944267806,6.589098471566474,-10.0,-10.0,-6.973341568460505,1.7753251202692606,1.9350713486731568,-7.869486876564664,5.084191220516536,10.0,10.0,-3.312665795408423,-3.312665795408423,-3.312665795408423,15.600684097621215,True,True,0.0,ei,0.0,False,9,725109d6-ad58-40c6-bbaa-9513f09642ba,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,-0.7739643314209018,5.937146127187035,28.0884701635105,3.398444663199514,5.6176940327021,-0.7739643314209018,3.398444663199514,levy_10
6,0.42837586478193224,10.0,-6.543858083714163,10.0,10.0,6.307456631687412,10.0,-10.0,-2.071489660300734,7.412179916412396,2.2766277418132996,-4.427775040225726,-4.427775040225726,-4.427775040225726,25.513325351839526,True,True,0.0,ei,0.3276190999895334,False,9,725109d6-ad58-40c6-bbaa-9513f09642ba,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,-0.7739643314209018,7.052255372004339,35.14072553551484,3.398444663199514,5.856787589252473,-0.7739643314209018,3.398444663199514,levy_10
7,9.932636050623517,-10.0,0.7246032574868266,1.7661934435969275,-10.0,4.09193945470224,7.324104171035231,-4.265124903961792,7.762593101976086,0.4822037165375388,8.150464228093925,-1.9266972608655508,-1.9266972608655508,-1.9266972608655508,24.884791719193107,True,True,0.0,ei,0.42530639993492514,False,9,725109d6-ad58-40c6-bbaa-9513f09642ba,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,-0.7739643314209018,4.551177592644163,39.691903128159005,3.398444663199514,5.670271875451286,-0.7739643314209018,3.398444663199514,levy_10
8,10.0,1.8884507335800758,7.249637705954077,-9.168659627385225,0.5350432964528257,-10.0,-5.143987214638955,10.0,3.985438281377624,-5.105195047421391,3.922647900179282,-2.3317912109136163,-2.3317912109136163,-2.3317912109136163,26.895795556857436,True,True,0.0,ei,0.29235610004980117,False,9,725109d6-ad58-40c6-bbaa-9513f09642ba,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,-0.7739643314209018,4.956271542692228,44.64817467085123,3.398444663199514,5.581021833856404,-0.7739643314209018,3.398444663199514,levy_10
9,10.0,-3.0844718435178584,10.0,-10.0,-4.137880093344611,-2.131712903483036,10.0,-10.0,3.4037907280793007,-5.908609082156364,8.757115152844735,-4.705011244791467,-4.705011244791467,-4.705011244791467,15.219978176231649,True,True,0.0,ei,0.35574880009517074,False,9,725109d6-ad58-40c6-bbaa-9513f09642ba,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,-0.7739643314209018,7.32949157657008,51.97766624742131,3.398444663199514,5.775296249713479,-0.7739643314209018,3.398444663199514,levy_10
10,5.9923831979434405,10.0,3.0076714253240473,-5.460661710159068,-3.48579206354888,9.799649380984306,-6.276213728546576,-8.696762057339939,4.727453214919475,-7.884044322278556,-0.5717953184318945,-1.5687843982946876,-1.5687843982946876,-1.5687843982946876,19.643399841942674,True,True,0.0,ei,0.4301873999647796,False,9,725109d6-ad58-40c6-bbaa-9513f09642ba,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10",2.6244803317786123,-0.7739643314209018,4.1932647300733,56.17093097749461,3.398444663199514,5.6170930977494615,-0.7739643314209018,3.398444663199514,levy_10
