iteration,x0,x1,x2,x3,x4,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.4039152044902676,1.5685276647418804,1.889662821455866,0.09012917794007706,0.46472350058283796,0.8872794804849488,0.8872794804849488,0.8872794804849488,0.0,False,False,0.0,pi,0.0,False,11,9338c6cd-2bcc-47fa-b090-38b4f85baf81,slip,0.01,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,0.8872794804849488,7.160441686204029,7.160441686204029,7.160441686204029,7.160441686204029,0.8872794804849488,7.160441686204029,michalewicz
2,2.9160609307133636,0.22123276470758535,0.4076968860601681,2.9792617020516117,1.9537049265171427,-0.9325116878672203,-0.9325116878672203,-0.9325116878672203,0.0,False,False,0.0,pi,0.0,False,11,9338c6cd-2bcc-47fa-b090-38b4f85baf81,slip,0.01,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,0.8872794804849488,8.9802328545562,16.14067454076023,7.160441686204029,8.070337270380115,0.8872794804849488,7.160441686204029,michalewicz
3,1.1592260867346609,1.606579135616254,2.0823825501105446,0.8649081530636696,0.43343948414876815,0.8650715343080728,0.8650715343080728,0.8650715343080728,0.0,False,False,0.0,pi,0.0,False,11,9338c6cd-2bcc-47fa-b090-38b4f85baf81,slip,0.01,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,0.8872794804849488,7.1826496323809055,23.323324173141135,7.160441686204029,7.774441391047045,0.8872794804849488,7.160441686204029,michalewicz
4,2.4756994008316204,2.1059998862725258,1.6096965118680393,2.5658531871613883,1.7249708309499152,1.1832821562984503,1.1832821562984503,1.1832821562984503,0.0,False,False,0.0,pi,0.0,False,11,9338c6cd-2bcc-47fa-b090-38b4f85baf81,slip,0.01,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.1832821562984503,6.864439010390528,30.187763183531665,6.864439010390528,7.546940795882916,1.1832821562984503,6.864439010390528,michalewicz
5,3.081631083022443,0.6424854213040749,1.73959524004701,1.519351794949105,1.1098456893559028,-0.6877722785634273,-0.6877722785634273,-0.6877722785634273,0.0,False,False,0.0,pi,0.0,False,11,9338c6cd-2bcc-47fa-b090-38b4f85baf81,slip,0.01,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.1832821562984503,8.735493445252406,38.923256628784074,6.864439010390528,7.784651325756815,1.1832821562984503,6.864439010390528,michalewicz
6,1.7370385960428556,2.1995392876225943,1.6249142782906558,1.958116495879989,1.5275626401969715,0.3288223642864154,0.3288223642864154,0.3288223642864154,0.0,False,False,0.0,pi,0.4355367999523878,False,11,9338c6cd-2bcc-47fa-b090-38b4f85baf81,slip,0.01,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.1832821562984503,7.718898802402563,46.64215543118664,6.864439010390528,7.77369257186444,1.1832821562984503,6.864439010390528,michalewicz
7,2.6639724902267425,2.074909931788097,1.6170689301171537,2.7126805113797823,1.756722699762412,0.23073879128030328,0.23073879128030328,0.23073879128030328,0.0,False,False,0.0,pi,0.5184289999306202,False,11,9338c6cd-2bcc-47fa-b090-38b4f85baf81,slip,0.01,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.1832821562984503,7.816982375408675,54.459137806595315,6.864439010390528,7.779876829513617,1.1832821562984503,6.864439010390528,michalewicz
8,0.8613048069837277,1.6862250592583152,2.0123936218068526,0.6246578042845626,0.49186423519529715,0.02816157758907577,0.02816157758907577,0.02816157758907577,0.0,False,False,0.0,pi,0.3881006999872625,False,11,9338c6cd-2bcc-47fa-b090-38b4f85baf81,slip,0.01,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.1832821562984503,8.019559589099902,62.47869739569522,6.864439010390528,7.809837174461903,1.1832821562984503,6.864439010390528,michalewicz
9,0.1908834679953339,1.4440944233524533,1.8866183144755717,0.0,0.32464078121350814,0.005955529815477088,0.005955529815477088,0.005955529815477088,0.0,False,False,0.0,pi,0.314738400047645,False,11,9338c6cd-2bcc-47fa-b090-38b4f85baf81,slip,0.01,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.1832821562984503,8.041765636873501,70.52046303256873,6.864439010390528,7.8356070036187475,1.1832821562984503,6.864439010390528,michalewicz
10,2.159259180575467,1.9506554729116101,1.8514880487502854,1.9454324062035484,1.2328940453296087,2.0578999669201776,2.0578999669201776,2.0578999669201776,0.0,False,False,0.0,pi,0.3224523999961093,False,11,9338c6cd-2bcc-47fa-b090-38b4f85baf81,slip,0.01,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,2.0578999669201776,5.989821199768801,76.51028423233753,5.989821199768801,7.651028423233752,2.0578999669201776,5.989821199768801,michalewicz
11,2.1944312944576216,1.9620905844595598,1.8408488028333005,1.9943736071281744,1.2647224450093106,0.9993557172965322,0.9993557172965322,0.9993557172965322,0.0,False,False,0.0,pi,0.5301415000576526,False,11,9338c6cd-2bcc-47fa-b090-38b4f85baf81,slip,0.01,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,2.0578999669201776,7.048365449392446,83.55864968172997,5.989821199768801,7.5962408801572705,2.0578999669201776,5.989821199768801,michalewicz
12,2.1389451026114736,1.9440498015384264,1.8576320760975784,1.9171672692775341,1.2145116429658172,2.1909206695562284,2.1909206695562284,2.1909206695562284,0.0,False,False,0.0,pi,0.5324772999156266,False,11,9338c6cd-2bcc-47fa-b090-38b4f85baf81,slip,0.01,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,2.1909206695562284,5.85680049713275,89.41545017886273,5.85680049713275,7.451287514905228,2.1909206695562284,5.85680049713275,michalewicz
13,2.1278526093989205,1.9404454123833914,1.8609871653347185,1.9017323345232304,1.2044752058810217,1.9790183719452463,1.9790183719452463,1.9790183719452463,0.0,False,False,0.0,pi,0.5596716998843476,False,11,9338c6cd-2bcc-47fa-b090-38b4f85baf81,slip,0.01,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,2.1909206695562284,6.068702794743732,95.48415297360646,5.85680049713275,7.344934844123573,2.1909206695562284,5.85680049713275,michalewicz
14,2.1349002361979155,1.9427258998209884,1.8588518972144878,1.9115446966699945,1.2108496380587466,2.1350510246875842,2.1350510246875842,2.1350510246875842,0.0,False,False,0.0,pi,0.5752107999287546,False,11,9338c6cd-2bcc-47fa-b090-38b4f85baf81,slip,0.01,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,2.1909206695562284,5.912670142001394,101.39682311560784,5.85680049713275,7.242630222543418,2.1909206695562284,5.85680049713275,michalewicz
15,2.1378660142023693,1.8623930900558787,1.8358637619582523,1.9678374109792127,1.1873832480560818,1.5225201296202278,1.5225201296202278,1.5225201296202278,0.0,False,False,0.0,pi,1.056522099999711,False,11,9338c6cd-2bcc-47fa-b090-38b4f85baf81,slip,0.01,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,2.1909206695562284,6.525201037068751,107.9220241526766,5.85680049713275,7.19480161017844,2.1909206695562284,5.85680049713275,michalewicz
16,2.137067495008823,1.9709683864803802,1.865680472051381,1.896889800216961,1.221667472580777,1.9240477009840156,1.9240477009840156,1.9240477009840156,0.0,False,False,0.0,pi,0.9455129000125453,False,11,9338c6cd-2bcc-47fa-b090-38b4f85baf81,slip,0.01,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,2.1909206695562284,6.123673465704963,114.04569761838157,5.85680049713275,7.127856101148848,2.1909206695562284,5.85680049713275,michalewicz
17,2.47808588456959,2.2224657333759175,1.4522817107833192,2.766410162519341,1.9476166992913406,-0.5376861360039806,-0.5376861360039806,-0.5376861360039806,0.0,False,False,0.0,pi,0.9099781999830157,False,11,9338c6cd-2bcc-47fa-b090-38b4f85baf81,slip,0.01,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,2.1909206695562284,8.585407302692959,122.63110492107452,5.85680049713275,7.213594407122031,2.1909206695562284,5.85680049713275,michalewicz
18,2.0763204685820646,1.95346307428505,1.8918809586028238,1.7958740849814803,1.168212758358603,0.1641186177959835,0.1641186177959835,0.1641186177959835,0.0,False,False,0.0,pi,0.40992650005500764,False,11,9338c6cd-2bcc-47fa-b090-38b4f85baf81,slip,0.01,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,2.1909206695562284,7.883602548892995,130.5147074699675,5.85680049713275,7.250817081664861,2.1909206695562284,5.85680049713275,michalewicz
19,2.139599210108381,1.9857578726799134,1.8656583583967261,1.8978157200323225,1.2281181740740674,1.950154679213897,1.950154679213897,1.950154679213897,0.0,False,False,0.0,pi,0.688574600033462,False,11,9338c6cd-2bcc-47fa-b090-38b4f85baf81,slip,0.01,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,2.1909206695562284,6.097566487475081,136.6122739574426,5.85680049713275,7.190119681970663,2.1909206695562284,5.85680049713275,michalewicz
20,2.439552032742738,1.8406868912583252,1.907341908806944,2.0821470595632503,1.1701134421417945,-0.5382597041380264,-0.5382597041380264,-0.5382597041380264,0.0,False,False,0.0,pi,0.38497970008756965,False,11,9338c6cd-2bcc-47fa-b090-38b4f85baf81,slip,0.01,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,2.1909206695562284,8.585980870827004,145.1982548282696,5.85680049713275,7.25991274141348,2.1909206695562284,5.85680049713275,michalewicz
21,2.153541151440583,2.0008734651587776,1.8428158179983434,1.830291904043912,1.239321259467379,0.6656516610935199,0.6656516610935199,0.6656516610935199,0.10587209151778018,True,True,0.0,pi,0.7675632999744266,False,11,9338c6cd-2bcc-47fa-b090-38b4f85baf81,slip,0.01,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,2.1909206695562284,7.382069505595458,152.58032433386506,5.85680049713275,7.26572973018405,2.1909206695562284,5.85680049713275,michalewicz
22,2.1774967538775027,1.9907438406567968,1.8926083600424475,1.9541151617711598,1.2585645128048455,1.9205243119861706,1.9205243119861706,1.9205243119861706,0.045309107154187636,True,True,0.0,pi,0.6629756999900565,False,11,9338c6cd-2bcc-47fa-b090-38b4f85baf81,slip,0.01,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,2.1909206695562284,6.127196854702808,158.70752118856788,5.85680049713275,7.213978235843995,2.1909206695562284,5.85680049713275,michalewicz
23,2.219354536346227,1.9991501431986034,1.8675584465707777,1.9475790382722444,1.2297110257749675,2.067569031633265,2.067569031633265,2.067569031633265,0.0460161169861023,True,True,0.0,pi,0.789919100003317,False,11,9338c6cd-2bcc-47fa-b090-38b4f85baf81,slip,0.01,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,2.1909206695562284,5.980152135055713,164.68767332362359,5.85680049713275,7.160333622766243,2.1909206695562284,5.85680049713275,michalewicz
24,2.180808954725121,1.9501799413589656,1.8737789476040343,1.9326393179160275,1.228389349420977,2.2700161069422053,2.2700161069422053,2.2700161069422053,0.03775397075569939,True,True,0.0,pi,0.856993000023067,False,11,9338c6cd-2bcc-47fa-b090-38b4f85baf81,slip,0.01,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,2.2700161069422053,5.777705059746773,170.46537838337036,5.777705059746773,7.102724099307099,2.2700161069422053,5.777705059746773,michalewicz
25,2.207992967137104,2.013037581233565,1.8982132717257671,1.8856902544107645,1.2270575184011263,1.810506903549333,1.810506903549333,1.810506903549333,0.06290431283297473,True,True,0.0,pi,0.8010519000235945,False,11,9338c6cd-2bcc-47fa-b090-38b4f85baf81,slip,0.01,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,2.2700161069422053,6.237214263139645,176.70259264651,5.777705059746773,7.0681037058604,2.2700161069422053,5.777705059746773,michalewicz
26,2.238084249710861,1.969248089047385,1.8882764159254206,1.9078969862948525,1.268418135897084,2.187742127207986,2.187742127207986,2.187742127207986,0.03679196594215796,True,True,0.0,pi,0.7147804000414908,False,11,9338c6cd-2bcc-47fa-b090-38b4f85baf81,slip,0.01,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,2.2700161069422053,5.859979039480992,182.562571685991,5.777705059746773,7.021637372538115,2.2700161069422053,5.777705059746773,michalewicz
27,2.2721352737698446,1.8993439301158141,1.8319853301704272,1.9284394526888529,1.2426494205225338,2.168557397081009,2.168557397081009,2.168557397081009,0.10478439325740899,True,True,0.0,pi,0.754237600020133,False,11,9338c6cd-2bcc-47fa-b090-38b4f85baf81,slip,0.01,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,2.2700161069422053,5.8791637696079695,188.44173545559897,5.777705059746773,6.979323535392554,2.2700161069422053,5.777705059746773,michalewicz
28,2.248337232547253,1.9543998953423318,1.8292737881576149,1.9722416164316803,1.2292957428089624,1.4359963570224032,1.4359963570224032,1.4359963570224032,0.08715449711517202,True,True,0.0,pi,0.7455816000001505,False,11,9338c6cd-2bcc-47fa-b090-38b4f85baf81,slip,0.01,20,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,2.2700161069422053,6.611724809666575,195.05346026526556,5.777705059746773,6.96619500947377,2.2700161069422053,5.777705059746773,michalewicz
