iteration,x0,x1,x2,x3,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,1.5678061348068963,4.239176832560957,2.605392238039015,-4.229057419371157,-1.2768561458599244,-1.2768561458599244,-1.2768561458599244,1.4703225159888336,True,True,0.0,logei,0.0,False,7,45ee4c55-12a9-463f-b5ff-bd29817502b8,slip,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,-1.2768561458599244,4.915795219297976,4.915795219297976,4.915795219297976,4.915795219297976,-1.2768561458599244,4.915795219297976,rastrigin
2,-1.7746447498587967,5.12,-2.8550919940187782,3.8950688981788697,0.21039225603078596,0.21039225603078596,0.21039225603078596,2.6468240920472557,True,True,0.0,logei,0.0,False,7,45ee4c55-12a9-463f-b5ff-bd29817502b8,slip,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,0.21039225603078596,3.4285468174072657,8.344342036705243,3.4285468174072657,4.172171018352621,0.21039225603078596,3.4285468174072657,rastrigin
3,3.49451595338408,-0.2857640829619094,-2.912427253066154,-1.5373019981372917,-0.12092109119943915,-0.12092109119943915,-0.12092109119943915,1.242474435744168,True,True,0.0,logei,0.0,False,7,45ee4c55-12a9-463f-b5ff-bd29817502b8,slip,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,0.21039225603078596,3.759860164637491,12.104202201342734,3.4285468174072657,4.034734067114244,0.21039225603078596,3.4285468174072657,rastrigin
4,-1.7000667324817882,-0.9966591819789635,2.628943924488506,1.4316783155035133,0.5982296425716839,0.5982296425716839,0.5982296425716839,2.8800395448887235,True,True,0.0,logei,0.0,False,7,45ee4c55-12a9-463f-b5ff-bd29817502b8,slip,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,0.5982296425716839,3.040709430866368,15.144911632209102,3.040709430866368,3.7862279080522754,0.5982296425716839,3.040709430866368,rastrigin
5,5.12,4.309261031153221,0.720226765515468,5.12,-1.3914322670758843,-1.3914322670758843,-1.3914322670758843,1.420966992193035,True,True,0.0,logei,0.0,False,7,45ee4c55-12a9-463f-b5ff-bd29817502b8,slip,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,0.5982296425716839,5.030371340513936,20.17528297272304,3.040709430866368,4.035056594544608,0.5982296425716839,3.040709430866368,rastrigin
6,-0.27185492478453055,0.8054666009110558,-0.786378649094635,0.17898499551030178,2.030875128670787,2.030875128670787,2.030875128670787,2.7429526628942296,True,True,0.0,logei,0.3817970999516547,False,7,45ee4c55-12a9-463f-b5ff-bd29817502b8,slip,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,2.030875128670787,1.6080639447672649,21.783346917490306,1.6080639447672649,3.6305578195817176,2.030875128670787,1.6080639447672649,rastrigin
7,2.230289992681712,2.305991904464864,-1.8516432384321007,-1.1096690597143626,1.5035939816862574,1.5035939816862574,1.5035939816862574,3.9162724730296565,True,True,0.0,logei,0.28661740000825375,False,7,45ee4c55-12a9-463f-b5ff-bd29817502b8,slip,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,2.030875128670787,2.1353450917517947,23.9186920092421,1.6080639447672649,3.4169560013203,2.030875128670787,1.6080639447672649,rastrigin
8,1.014166303107228,4.440176251420965,-1.181778105391511,-0.5068317442289972,0.3205949852583333,0.3205949852583333,0.3205949852583333,1.9087149697266956,True,True,0.0,logei,0.3164866000879556,False,7,45ee4c55-12a9-463f-b5ff-bd29817502b8,slip,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,2.030875128670787,3.3183440881797184,27.237036097421818,1.6080639447672649,3.4046295121777272,2.030875128670787,1.6080639447672649,rastrigin
9,-2.5639302509743747,-0.4211141050924294,-1.0440197788943446,-1.8955169698324132,1.0905850172155784,1.0905850172155784,1.0905850172155784,2.1054165204733435,True,True,0.0,logei,0.39930659998208284,False,7,45ee4c55-12a9-463f-b5ff-bd29817502b8,slip,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,2.030875128670787,2.5483540562224736,29.785390153644293,1.6080639447672649,3.3094877948493657,2.030875128670787,1.6080639447672649,rastrigin
10,-2.43477284775211,0.7041207920288758,-0.7691506584535946,-1.0801227500248203,1.1719101623500503,1.1719101623500503,1.1719101623500503,1.9107015588832144,True,True,0.0,logei,0.36478549998719245,False,7,45ee4c55-12a9-463f-b5ff-bd29817502b8,slip,0.15,0,exact,value,learned,1e-06,"x0,x1,x2,x3",3.638939073438052,2.030875128670787,2.4670289110880015,32.252419064732294,1.6080639447672649,3.2252419064732294,2.030875128670787,1.6080639447672649,rastrigin
