iteration,x0,x1,x2,x3,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,-174.61602878749355,496.25406561947034,-176.18526978747443,292.1953789563109,-1.67062947075345,-1.67062947075345,-1.67062947075345,11.066141704362712,True,True,0.0,logei,0.0,False,8,a3961126-b631-4ee2-abc9-34e772e80795,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,-1.67062947075345,5.999019842532302,5.999019842532302,5.999019842532302,5.999019842532302,-1.67062947075345,5.999019842532302,schwefel
2,383.1614011776896,-106.83905664367587,-54.01737124455111,-114.9033120116134,1.0376618505932456,1.0376618505932456,1.0376618505932456,19.958899538097356,True,True,0.0,logei,0.0,False,8,a3961126-b631-4ee2-abc9-34e772e80795,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,1.0376618505932456,3.2907285211856063,9.289748363717909,3.2907285211856063,4.644874181858954,1.0376618505932456,3.2907285211856063,schwefel
3,-386.9948338123879,-10.587618356019249,-244.04113937724856,-241.5374892923027,-0.8871011123909605,-0.8871011123909605,-0.8871011123909605,18.996081390947975,True,True,0.0,logei,0.0,False,8,a3961126-b631-4ee2-abc9-34e772e80795,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,1.0376618505932456,5.215491484169812,14.50523984788772,3.2907285211856063,4.835079949295907,1.0376618505932456,3.2907285211856063,schwefel
4,-312.8708435988278,-297.6919550598287,317.5641167159227,-70.34685599407109,0.6506183388948623,0.6506183388948623,0.6506183388948623,11.639463655079656,True,True,0.0,logei,0.0,False,8,a3961126-b631-4ee2-abc9-34e772e80795,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,1.0376618505932456,3.67777203288399,18.18301188077171,3.2907285211856063,4.545752970192927,1.0376618505932456,3.2907285211856063,schwefel
5,-254.0441132791279,92.77855969716106,93.6650425968861,153.30033189340486,-0.03266625511264625,-0.03266625511264625,-0.03266625511264625,16.025885885321767,True,True,0.0,logei,0.0,False,8,a3961126-b631-4ee2-abc9-34e772e80795,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,1.0376618505932456,4.361056626891498,22.544068507663205,3.2907285211856063,4.508813701532641,1.0376618505932456,3.2907285211856063,schwefel
6,250.55788908447204,-353.90071448396475,179.76814769182135,-150.00930777218548,0.4234364061662341,0.4234364061662341,0.4234364061662341,9.513581951448817,True,True,0.0,logei,0.26650809997227043,False,8,a3961126-b631-4ee2-abc9-34e772e80795,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,1.0376618505932456,3.9049539656126178,26.44902247327582,3.2907285211856063,4.408170412212637,1.0376618505932456,3.2907285211856063,schwefel
7,500.0,-362.1434089606193,-150.31548103567755,-411.85203339588276,-1.572571807574252,-1.572571807574252,-1.572571807574252,14.788823438039396,True,True,0.0,logei,0.3947419000323862,False,8,a3961126-b631-4ee2-abc9-34e772e80795,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,1.0376618505932456,5.900962179353104,32.349984652628926,3.2907285211856063,4.62142637894699,1.0376618505932456,3.2907285211856063,schwefel
8,500.0,-57.99836340418002,-20.991271220047498,-17.900692687489023,-0.5172343305697263,-0.5172343305697263,-0.5172343305697263,10.662646687378661,True,True,0.0,logei,0.3472561000380665,False,8,a3961126-b631-4ee2-abc9-34e772e80795,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,1.0376618505932456,4.845624702348578,37.195609354977506,3.2907285211856063,4.649451169372188,1.0376618505932456,3.2907285211856063,schwefel
9,337.1427005855821,-36.78898445228782,13.076331700691831,-25.337034517755725,-0.3411457995358694,-0.3411457995358694,-0.3411457995358694,18.007677561849857,True,True,0.0,logei,0.3346900000469759,False,8,a3961126-b631-4ee2-abc9-34e772e80795,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,1.0376618505932456,4.669536171314721,41.865145526292224,3.2907285211856063,4.651682836254691,1.0376618505932456,3.2907285211856063,schwefel
10,-500.0,220.04375436115635,-66.97732115159633,-119.9750972365671,1.048201145782015,1.048201145782015,1.048201145782015,26.334887536181018,True,True,0.0,logei,0.47335370001383126,False,8,a3961126-b631-4ee2-abc9-34e772e80795,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,1.048201145782015,3.280189225996837,45.14533475228906,3.280189225996837,4.514533475228906,1.048201145782015,3.280189225996837,schwefel
11,-500.0,-222.30093145560127,-500.0,-113.19028574380062,0.7956244406302309,0.7956244406302309,0.7956244406302309,10.029833985116893,True,True,0.0,logei,0.40163080010097474,False,8,a3961126-b631-4ee2-abc9-34e772e80795,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,1.048201145782015,3.532765931148621,48.67810068343768,3.280189225996837,4.425281880312516,1.048201145782015,3.280189225996837,schwefel
12,500.0,500.0,327.7299950377384,-115.9610913025588,-1.2156250095199777,-1.2156250095199777,-1.2156250095199777,10.67205276385769,True,True,0.0,logei,0.3779223000165075,False,8,a3961126-b631-4ee2-abc9-34e772e80795,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,1.048201145782015,5.54401538129883,54.222116064736504,3.280189225996837,4.518509672061375,1.048201145782015,3.280189225996837,schwefel
13,-500.0,-53.12405920232763,-82.75277201941306,-109.56197995812917,0.5260874805739905,0.5260874805739905,0.5260874805739905,10.823041641566938,True,True,0.0,logei,0.37850909994449466,False,8,a3961126-b631-4ee2-abc9-34e772e80795,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,1.048201145782015,3.8023028912048615,58.024418955941364,3.280189225996837,4.463416842764721,1.048201145782015,3.280189225996837,schwefel
14,376.0131826063516,123.15922837253598,-217.80155668155862,-114.88121666886819,0.011972689307001853,0.011972689307001853,0.011972689307001853,15.45034736782094,True,True,0.0,logei,0.37880519998725504,False,8,a3961126-b631-4ee2-abc9-34e772e80795,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,1.048201145782015,4.31641768247185,62.340836638413215,3.280189225996837,4.452916902743801,1.048201145782015,3.280189225996837,schwefel
15,136.45905411327362,-192.11486654098613,-451.1505791884345,-119.35982742032579,-1.2374582954387388,-1.2374582954387388,-1.2374582954387388,21.788260740186136,True,True,0.0,logei,0.39881980000063777,False,8,a3961126-b631-4ee2-abc9-34e772e80795,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,1.048201145782015,5.56584866721759,67.9066853056308,3.280189225996837,4.52711235370872,1.048201145782015,3.280189225996837,schwefel
16,-187.14690524875957,211.92715437166524,44.760011373429315,-130.88810732563303,0.4167910815004441,0.4167910815004441,0.4167910815004441,25.158738023102917,True,True,0.0,logei,0.3638101000105962,False,8,a3961126-b631-4ee2-abc9-34e772e80795,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,1.048201145782015,3.911599290278408,71.8182845959092,3.280189225996837,4.488642787244325,1.048201145782015,3.280189225996837,schwefel
17,-500.0,364.3442303195871,-197.1897793469639,-106.22364073382897,0.39322530420739826,0.39322530420739826,0.39322530420739826,12.810464330107955,True,True,0.0,logei,0.20139910001307726,False,8,a3961126-b631-4ee2-abc9-34e772e80795,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,1.048201145782015,3.935165067571454,75.75344966348067,3.280189225996837,4.456085274322392,1.048201145782015,3.280189225996837,schwefel
18,-496.1441435497131,281.36225323476805,37.827454794338315,-95.78424565705458,-0.20329538362604688,-0.20329538362604688,-0.20329538362604688,14.336468597699083,True,True,0.0,logei,0.4054767000488937,False,8,a3961126-b631-4ee2-abc9-34e772e80795,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,1.048201145782015,4.531685755404899,80.28513541888556,3.280189225996837,4.460285301049198,1.048201145782015,3.280189225996837,schwefel
19,-114.61809353650348,178.4203705888315,-87.17034942102183,-129.55831898940744,0.9014048379153176,0.9014048379153176,0.9014048379153176,14.46060700494597,True,True,0.0,logei,0.38266569992993027,False,8,a3961126-b631-4ee2-abc9-34e772e80795,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,1.048201145782015,3.4269855338635344,83.71212095274909,3.280189225996837,4.405901102776268,1.048201145782015,3.280189225996837,schwefel
20,-500.0,185.14598950104022,-79.42888190896169,-137.52781017918306,1.0425912942585733,1.0425912942585733,1.0425912942585733,34.04717035348725,True,True,0.0,logei,0.3701349999755621,False,8,a3961126-b631-4ee2-abc9-34e772e80795,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,1.048201145782015,3.2857990775202786,86.99792003026937,3.280189225996837,4.349896001513469,1.048201145782015,3.280189225996837,schwefel
21,291.3446851842285,-107.06630535178499,4.673573517736861,-140.29664689902816,-0.26610867122637977,-0.26610867122637977,-0.26610867122637977,13.632042771441412,True,True,0.0,logei,0.3710798000684008,False,8,a3961126-b631-4ee2-abc9-34e772e80795,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,1.048201145782015,4.594499043005231,91.5924190732746,3.280189225996837,4.361543765394028,1.048201145782015,3.280189225996837,schwefel
22,416.6574991938317,-298.8708846746169,40.04576100996953,-105.31927014152107,2.0546983445153044,2.0546983445153044,2.0546983445153044,15.191710489779407,True,True,0.0,logei,0.5627737999893725,False,8,a3961126-b631-4ee2-abc9-34e772e80795,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,2.0546983445153044,2.2736920272635475,93.86611110053815,2.2736920272635475,4.266641413660825,2.0546983445153044,2.2736920272635475,schwefel
23,484.1780186384019,-330.761144285527,56.29142716742558,-129.5276166106467,0.9559502477884104,0.9559502477884104,0.9559502477884104,33.885088673210305,True,True,0.0,logei,0.47704779997002333,False,8,a3961126-b631-4ee2-abc9-34e772e80795,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",4.328390371778852,2.0546983445153044,3.3724401239904416,97.23855122452859,2.2736920272635475,4.227763096718634,2.0546983445153044,2.2736920272635475,schwefel
