iteration,x0,x1,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,6.2509546660466695,8.972138009695755,0.23955256000689942,0.23955256000689942,-2.635298307825418,3.7175839322394553,True,True,0.0,qnei,0.0,False,7,5aaf0cf2-67b5-4cc7-b471-5694904bd8e2,none,0.4,0,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,0.23955256000689942,1.0105029058931692,1.0105029058931692,1.0105029058931692,1.0105029058931692,-2.635298307825418,3.8853537737254866,branin
2,7.756856902451935,2.2520718999059186,-1.1101870541680559,-1.1101870541680559,0.7134044527822333,7.785342622269042,True,True,0.0,qnei,0.0,False,7,5aaf0cf2-67b5-4cc7-b471-5694904bd8e2,none,0.4,0,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,0.23955256000689942,2.3602425200681245,3.3707454259612937,1.0105029058931692,1.6853727129806468,-2.635298307825418,3.8853537737254866,branin
3,3.0016628491122543,8.735534453962618,-0.43477340711827467,-0.43477340711827467,-0.6835380964216702,3.2571234205747115,True,True,0.0,qnei,0.0,False,7,5aaf0cf2-67b5-4cc7-b471-5694904bd8e2,none,0.4,0,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,0.23955256000689942,1.6848288730183434,5.0555742989796375,1.0105029058931692,1.6851914329932125,-2.635298307825418,3.8853537737254866,branin
4,0.052653045655747244,8.212284183827663,0.9377256496536157,0.9377256496536157,0.07937030695160363,4.602355996357246,True,True,0.0,qnei,0.0,False,7,5aaf0cf2-67b5-4cc7-b471-5694904bd8e2,none,0.4,0,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,0.9377256496536157,0.31232981624645295,5.36790411522609,0.31232981624645295,1.3419760288065226,0.07937030695160363,1.170685158948465,branin
5,7.9706942875204625,4.679349528437208,1.2318691207650778,1.2318691207650778,0.3668038190773655,2.2660595254367317,True,True,0.0,qnei,0.0,False,7,5aaf0cf2-67b5-4cc7-b471-5694904bd8e2,none,0.4,0,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2318691207650778,0.018186345134990844,5.386090460361081,0.018186345134990844,1.0772180920722163,0.3668038190773655,0.8832516468227032,branin
6,8.031987285720083,5.43851384656147,1.1618450869411658,1.1618450869411658,0.14851133146850154,3.5723258137067835,True,True,0.0,qnei,0.17643620003946126,False,7,5aaf0cf2-67b5-4cc7-b471-5694904bd8e2,none,0.4,0,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2318691207650778,0.08821037895890282,5.474300839319984,0.018186345134990844,0.9123834732199972,0.3668038190773655,0.8832516468227032,branin
7,9.116497070953523,4.89860822182928,-0.07207592118842801,-0.07207592118842801,0.8868601569464765,9.011620611297422,True,True,0.0,qnei,0.16680120001547039,False,7,5aaf0cf2-67b5-4cc7-b471-5694904bd8e2,none,0.4,0,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2318691207650778,1.3221313870884968,6.796432226408481,0.018186345134990844,0.9709188894869258,0.3668038190773655,0.8832516468227032,branin
8,7.526249248114587,5.0972854945864565,-1.3147083139085176,-1.3147083139085176,-0.03333923609926078,6.9987069178470005,True,True,0.0,qnei,0.18501279992051423,False,7,5aaf0cf2-67b5-4cc7-b471-5694904bd8e2,none,0.4,0,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2318691207650778,2.5647637798085863,9.361196006217067,0.018186345134990844,1.1701495007771334,0.3668038190773655,0.8832516468227032,branin
9,9.531412897247405,8.987301631586664,-1.18601969876848,-1.18601969876848,-0.7256617749527081,7.453990316573126,True,True,0.0,qnei,0.15829160006251186,False,7,5aaf0cf2-67b5-4cc7-b471-5694904bd8e2,none,0.4,0,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2318691207650778,2.436075164668549,11.797271170885615,0.018186345134990844,1.3108079078761794,0.3668038190773655,0.8832516468227032,branin
10,8.119225462076276,4.210622701503749,-0.8714496040402988,-0.8714496040402988,0.5832853053357544,5.65513896832895,True,True,0.0,qnei,0.24113850004505366,False,7,5aaf0cf2-67b5-4cc7-b471-5694904bd8e2,none,0.4,0,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2318691207650778,2.1215050699403672,13.918776240825983,0.018186345134990844,1.3918776240825983,0.3668038190773655,0.8832516468227032,branin
11,8.257143504406923,5.592215547277226,0.6672972057112183,0.6672972057112183,0.2331290572898482,4.348648424014368,True,True,0.0,qnei,0.1954999000299722,False,7,5aaf0cf2-67b5-4cc7-b471-5694904bd8e2,none,0.4,0,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2318691207650778,0.5827582601888504,14.501534501014833,0.018186345134990844,1.3183213182740756,0.3668038190773655,0.8832516468227032,branin
12,8.14053426631095,4.801944535833595,0.2928987418669584,0.2928987418669584,0.43119304245900963,1.2428611285406328,True,True,0.0,qnei,0.24349789996631444,False,7,5aaf0cf2-67b5-4cc7-b471-5694904bd8e2,none,0.4,0,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2318691207650778,0.9571567240331103,15.458691225047943,0.018186345134990844,1.2882242687539953,0.3668038190773655,0.8832516468227032,branin
13,7.931071127371038,4.958213314884411,1.0045865752615757,1.0045865752615757,0.25462583009614415,5.769731725549688,True,True,0.0,qnei,0.16258949995972216,False,7,5aaf0cf2-67b5-4cc7-b471-5694904bd8e2,none,0.4,0,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2318691207650778,0.24546889063849298,15.704160115686436,0.018186345134990844,1.2080123165912644,0.3668038190773655,0.8832516468227032,branin
14,7.853443486248417,4.636181292427054,-1.1645590580064284,-1.1645590580064284,0.31004369630941314,3.319759947849613,True,True,0.0,qnei,0.19783509999979287,False,7,5aaf0cf2-67b5-4cc7-b471-5694904bd8e2,none,0.4,0,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2318691207650778,2.414614523906497,18.118774639592935,0.018186345134990844,1.2941981885423526,0.3668038190773655,0.8832516468227032,branin
15,0.0,7.520204287826741,-0.7210492558452104,-0.7210492558452104,0.22036348373205045,4.640732592940337,True,True,0.0,qnei,0.1794384999666363,False,7,5aaf0cf2-67b5-4cc7-b471-5694904bd8e2,none,0.4,0,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2318691207650778,1.971104721745279,20.089879361338213,0.018186345134990844,1.3393252907558808,0.3668038190773655,0.8832516468227032,branin
16,8.061411645567018,5.169313591659704,-1.0275927020092706,-1.0275927020092706,0.2634487723534264,7.804197392524467,True,True,0.0,qnei,0.18461270001716912,False,7,5aaf0cf2-67b5-4cc7-b471-5694904bd8e2,none,0.4,0,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2318691207650778,2.277648167909339,22.367527529247553,0.018186345134990844,1.397970470577972,0.3668038190773655,0.8832516468227032,branin
