iteration,x0,x1,x2,x3,x4,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,1.0272137021115593,3.101621678089748,1.0012596288055424,2.477299543768252,2.73286049052822,0.4854402685616262,0.4854402685616262,0.15323094724110708,3.4063231874988324,True,True,0.0,ucb,0.0,False,8,7ddc7e82-8fda-4666-92a6-1ef63e01837a,none,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,0.4854402685616262,7.562280898127352,7.562280898127352,7.562280898127352,7.562280898127352,0.15323094724110708,7.894490219447871,michalewicz
2,1.2286291551541173,1.3756464757427227,1.1710252155791652,0.3360046329538751,1.5047143521208903,-1.0528016878836493,-1.0528016878836493,0.32604765500876154,2.3072027683369636,True,True,0.0,ucb,0.0,False,8,7ddc7e82-8fda-4666-92a6-1ef63e01837a,none,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,0.4854402685616262,9.100522854572628,16.66280375269998,7.562280898127352,8.33140187634999,0.15323094724110708,7.894490219447871,michalewicz
3,0.7582301259261758,0.8078456237537506,0.5803513018372032,0.6090434426292817,2.5567150298471115,0.48073755637386667,0.48073755637386667,-1.0282202964532643,1.4964808693186278,True,True,0.0,ucb,0.0,False,8,7ddc7e82-8fda-4666-92a6-1ef63e01837a,none,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,0.4854402685616262,7.566983610315112,24.22978736301509,7.562280898127352,8.076595787671698,0.15323094724110708,7.894490219447871,michalewicz
4,1.3288440180585444,0.8039979789080718,1.8563760580914754,1.898377406065081,2.032164425727874,1.6713694415755604,1.6713694415755604,0.5224310245244812,3.0327047904694404,True,True,0.0,ucb,0.0,False,8,7ddc7e82-8fda-4666-92a6-1ef63e01837a,none,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.6713694415755604,6.376351725113418,30.606139088128508,6.376351725113418,7.651534772032127,0.5224310245244812,7.525290142164497,michalewicz
5,2.863110509619268,0.4718864178640059,1.1667470743524408,0.8941621038640123,0.052722372294653944,-1.053932895646344,-1.053932895646344,-0.1443543065132659,0.9853015037375928,True,True,0.0,ucb,0.0,False,8,7ddc7e82-8fda-4666-92a6-1ef63e01837a,none,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.6713694415755604,9.101654062335323,39.70779315046383,6.376351725113418,7.941558630092766,0.5224310245244812,7.525290142164497,michalewicz
6,0.7177531835802914,0.0,1.3725146255972624,1.7664180477515943,3.0734414283716576,0.4682887369250951,0.4682887369250951,0.07677048483601084,2.081223215156551,True,True,0.0,ucb,0.2309569000499323,False,8,7ddc7e82-8fda-4666-92a6-1ef63e01837a,none,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.6713694415755604,7.579432429763883,47.28722558022771,6.376351725113418,7.881204263371285,0.5224310245244812,7.525290142164497,michalewicz
7,1.373671195221783,0.5879080886412216,2.6775081955053284,2.5473752468122273,1.8800776775229515,0.8337869616430161,0.8337869616430161,-0.8581724591432853,1.6550574828398044,True,True,0.0,ucb,0.2811937000369653,False,8,7ddc7e82-8fda-4666-92a6-1ef63e01837a,none,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.6713694415755604,7.2139342050459625,54.50115978527367,6.376351725113418,7.78587996932481,0.5224310245244812,7.525290142164497,michalewicz
8,1.9335509936742317,0.30069318505912707,0.20912816425428052,2.010952597269196,2.0594802587258827,-0.8963026180731786,-0.8963026180731786,-0.39809093145089014,1.8540219813362864,True,True,0.0,ucb,0.3318176999455318,False,8,7ddc7e82-8fda-4666-92a6-1ef63e01837a,none,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.6713694415755604,8.944023784762157,63.44518357003583,6.376351725113418,7.930647946254479,0.5224310245244812,7.525290142164497,michalewicz
9,1.0079053076298463,2.294771791492366,2.11694493458816,2.0320431052899925,2.375612563601578,-1.0529521433408169,-1.0529521433408169,-0.7385611021019112,2.01154846077315,True,True,0.0,ucb,0.2601536000147462,False,8,7ddc7e82-8fda-4666-92a6-1ef63e01837a,none,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.6713694415755604,9.100673310029794,72.54585688006563,6.376351725113418,8.060650764451736,0.5224310245244812,7.525290142164497,michalewicz
10,1.0119371246542193,0.8672064281832674,2.4221862424384004,2.811054781567988,2.9405290851445303,-0.8607722094159355,-0.8607722094159355,-0.9623313338989825,1.3052725337734177,True,True,0.0,ucb,0.30533749994356185,False,8,7ddc7e82-8fda-4666-92a6-1ef63e01837a,none,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.6713694415755604,8.908493376104914,81.45435025617054,6.376351725113418,8.145435025617054,0.5224310245244812,7.525290142164497,michalewicz
