iteration,x0,x1,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,1.2857020276919962,4.99277862440115,-0.09961978292542367,-0.09961978292542367,0.6286520689813629,2.371121376192689,True,True,0.0,qnei,0.0,False,11,6f4547fe-8be5-4d4a-9509-d0f92567728a,slip,0.15,0,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,-0.09961978292542367,1.3496752488254924,1.3496752488254924,1.3496752488254924,1.3496752488254924,0.6286520689813629,0.6214033969187057,branin
2,6.014983576233575,0.28689008371944547,0.30585607335837484,0.30585607335837484,0.31569466412453523,1.6502210854524726,True,True,0.0,qnei,0.0,False,11,6f4547fe-8be5-4d4a-9509-d0f92567728a,slip,0.15,0,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,0.30585607335837484,0.9441993925416938,2.293874641367186,0.9441993925416938,1.146937320683593,0.31569466412453523,0.9343608017755334,branin
3,1.4792608457745593,9.282110229603695,-0.03741454719764364,-0.03741454719764364,-0.6232490171577227,1.5639662448690421,True,True,0.0,qnei,0.0,False,11,6f4547fe-8be5-4d4a-9509-d0f92567728a,slip,0.15,0,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,0.30585607335837484,1.2874700130977124,3.581344654464899,0.9441993925416938,1.1937815514882997,0.31569466412453523,0.9343608017755334,branin
4,0.7042057615419683,1.2977394939929798,-1.3919476339504895,-1.3919476339504895,-0.19576267605595013,1.4764936670565367,True,True,0.0,qnei,0.0,False,11,6f4547fe-8be5-4d4a-9509-d0f92567728a,slip,0.15,0,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,0.30585607335837484,2.642003099850558,6.223347754315457,0.9441993925416938,1.5558369385788642,0.31569466412453523,0.9343608017755334,branin
5,9.48328453291775,6.218835927963829,0.8487283459893162,0.8487283459893162,0.5961916848094132,0.7205934241389117,True,True,0.0,qnei,0.0,False,11,6f4547fe-8be5-4d4a-9509-d0f92567728a,slip,0.15,0,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,0.8487283459893162,0.40132711991075243,6.624674874226209,0.40132711991075243,1.324934974845242,0.5961916848094132,0.6538637810906555,branin
6,8.473209544394571,4.5226657134257255,1.2218123078499055,1.2218123078499055,0.6996689041313365,2.9701232055643665,True,True,0.0,qnei,0.33251889992970973,False,11,6f4547fe-8be5-4d4a-9509-d0f92567728a,slip,0.15,0,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2218123078499055,0.028243158050163197,6.652918032276372,0.028243158050163197,1.1088196720460621,0.6996689041313365,0.5503865617687321,branin
7,10.0,2.3603088585111154,1.1726967100436596,1.1726967100436596,1.15633615450296,0.37591759150972814,True,True,0.0,qnei,0.28412319999188185,False,11,6f4547fe-8be5-4d4a-9509-d0f92567728a,slip,0.15,0,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2218123078499055,0.07735875585640906,6.730276788132781,0.028243158050163197,0.9614681125903973,0.6996689041313365,0.5503865617687321,branin
8,8.599096617824413,3.3477210009745084,0.6096556166410867,0.6096556166410867,0.9971181796481641,1.1727762825766603,True,True,0.0,qnei,0.24567970004864037,False,11,6f4547fe-8be5-4d4a-9509-d0f92567728a,slip,0.15,0,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2218123078499055,0.640399849258982,7.370676637391763,0.028243158050163197,0.9213345796739704,0.6996689041313365,0.5503865617687321,branin
9,8.061763832741642,5.655948317949875,0.06354803718059189,0.06354803718059189,0.08445892408864215,2.9617660727645196,True,True,0.0,qnei,0.3414149999152869,False,11,6f4547fe-8be5-4d4a-9509-d0f92567728a,slip,0.15,0,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2218123078499055,1.1865074287194768,8.55718406611124,0.028243158050163197,0.9507982295679156,0.6996689041313365,0.5503865617687321,branin
10,9.171355081380872,4.646863110468781,1.0975224763882012,1.0975224763882012,0.9648936500196528,1.2672423375924942,True,True,0.0,qnei,0.3873697000090033,False,11,6f4547fe-8be5-4d4a-9509-d0f92567728a,slip,0.15,0,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2218123078499055,0.15253298951186745,8.709717055623107,0.028243158050163197,0.8709717055623107,0.6996689041313365,0.5503865617687321,branin
11,10.0,4.175844380921932,0.9294363849665194,0.9294363849665194,1.1102640276123905,1.2272739604316372,True,True,0.0,qnei,0.3124457000521943,False,11,6f4547fe-8be5-4d4a-9509-d0f92567728a,slip,0.15,0,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2218123078499055,0.3206190809335493,9.030336136556656,0.028243158050163197,0.8209396487778778,0.6996689041313365,0.5503865617687321,branin
12,9.308415035824959,0.1571719344030688,0.9771554431297231,0.9771554431297231,1.010778486621504,0.4949818988785667,True,True,0.0,qnei,0.3317148999776691,False,11,6f4547fe-8be5-4d4a-9509-d0f92567728a,slip,0.15,0,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2218123078499055,0.27290002277034553,9.303236159327001,0.028243158050163197,0.7752696799439168,0.6996689041313365,0.5503865617687321,branin
13,9.393259883554586,2.8289375102848373,0.48887154971181274,0.48887154971181274,1.2429020291169235,2.255396967941999,True,True,0.0,qnei,0.33418899995740503,False,11,6f4547fe-8be5-4d4a-9509-d0f92567728a,slip,0.15,0,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2218123078499055,0.7611839161882559,10.064420075515258,0.028243158050163197,0.7741861596550199,0.6996689041313365,0.5503865617687321,branin
14,10.0,10.0,-0.5605385152189531,-0.5605385152189531,-1.1669946667849285,3.650343341534654,True,True,0.0,qnei,0.2542212000116706,False,11,6f4547fe-8be5-4d4a-9509-d0f92567728a,slip,0.15,0,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2218123078499055,1.810593981119022,11.87501405663428,0.028243158050163197,0.8482152897595914,0.6996689041313365,0.5503865617687321,branin
15,10.0,0.0,0.8955241849506705,0.8955241849506705,0.7445238005749768,0.34595239244685594,True,True,0.0,qnei,0.32373820000793785,False,11,6f4547fe-8be5-4d4a-9509-d0f92567728a,slip,0.15,0,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2218123078499055,0.3545312809493981,12.229545337583678,0.028243158050163197,0.8153030225055785,0.6996689041313365,0.5503865617687321,branin
16,10.0,4.9360426074048664,0.8698651227503819,0.8698651227503819,0.9972621557830763,0.6609904720564823,True,True,0.0,qnei,0.2995676000136882,False,11,6f4547fe-8be5-4d4a-9509-d0f92567728a,slip,0.15,0,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2218123078499055,0.3801903431496868,12.609735680733365,0.028243158050163197,0.7881084800458353,0.6996689041313365,0.5503865617687321,branin
17,10.0,3.2800773731294957,0.9082261248528359,0.9082261248528359,1.1724262631303224,1.9263274497881941,True,True,0.0,qnei,0.3008385000284761,False,11,6f4547fe-8be5-4d4a-9509-d0f92567728a,slip,0.15,0,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2218123078499055,0.3418293410472327,12.951565021780597,0.028243158050163197,0.761856765987094,0.6996689041313365,0.5503865617687321,branin
