iteration,x0,x1,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,8.702492039700847,2.8681720908755537,1.2357468268802319,1.2357468268802319,1.093462604652252,1.01110910498532,True,True,0.0,ucb,0.0,False,9,93b57a92-8ff2-4f8e-8153-be02d81658d9,slip,0.15,0,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2357468268802319,0.01430863901983681,0.01430863901983681,0.01430863901983681,0.01430863901983681,1.093462604652252,0.15659286124781668,branin
2,6.031481500515619,7.775340829201788,-0.6160023674166861,-0.6160023674166861,-1.7870358936892645,2.2449662392475207,True,True,0.0,ucb,0.0,False,9,93b57a92-8ff2-4f8e-8153-be02d81658d9,slip,0.15,0,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2357468268802319,1.8660578333167548,1.8803664723365916,0.01430863901983681,0.9401832361682958,1.093462604652252,0.15659286124781668,branin
3,7.1607462960356525,9.153801204905076,-2.266830427855394,-2.266830427855394,-2.509995580323207,1.2274306207623533,True,True,0.0,ucb,0.0,False,9,93b57a92-8ff2-4f8e-8153-be02d81658d9,slip,0.15,0,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2357468268802319,3.516885893755463,5.397252366092054,0.01430863901983681,1.7990841220306848,1.093462604652252,0.15659286124781668,branin
4,8.603936491828847,9.182376290487625,-2.499280677401523,-2.499280677401523,-1.4555553772043401,0.9660428934410784,True,True,0.0,ucb,0.0,False,9,93b57a92-8ff2-4f8e-8153-be02d81658d9,slip,0.15,0,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2357468268802319,3.7493361433015915,9.146588509393645,0.01430863901983681,2.2866471273484112,1.093462604652252,0.15659286124781668,branin
5,0.2658773446759721,4.372480001295087,0.33032810937640694,0.33032810937640694,0.27663796601556684,1.5352701819101968,True,True,0.0,ucb,0.0,False,9,93b57a92-8ff2-4f8e-8153-be02d81658d9,slip,0.15,0,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2357468268802319,0.9197273565236617,10.066315865917307,0.01430863901983681,2.0132631731834616,1.093462604652252,0.15659286124781668,branin
6,1.77988916518569,1.0970653134468575,1.1562283850942785,1.1562283850942785,0.5916893406357604,1.5126996121395495,True,True,0.0,ucb,0.16020369995385408,False,9,93b57a92-8ff2-4f8e-8153-be02d81658d9,slip,0.15,0,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2357468268802319,0.09382708080579016,10.160142946723097,0.01430863901983681,1.6933571577871829,1.093462604652252,0.15659286124781668,branin
7,10.0,0.0,0.7445238005749768,0.7445238005749768,0.7445238005749768,0.0,True,True,0.0,ucb,0.14426580001600087,False,9,93b57a92-8ff2-4f8e-8153-be02d81658d9,slip,0.15,0,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2357468268802319,0.5055316653250919,10.66567461204819,0.01430863901983681,1.5236678017211698,1.093462604652252,0.15659286124781668,branin
8,10.0,1.5816043040783585,1.139367994224007,1.139367994224007,1.079415420763118,0.545256941423653,True,True,0.0,ucb,0.18787770008202642,False,9,93b57a92-8ff2-4f8e-8153-be02d81658d9,slip,0.15,0,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2357468268802319,0.11068747167606174,10.776362083724251,0.01430863901983681,1.3470452604655314,1.093462604652252,0.15659286124781668,branin
9,10.0,5.109464798694864,-0.10544237537463226,-0.10544237537463226,0.9637344829861321,2.7448211975474495,True,True,0.0,ucb,0.18224789993837476,False,9,93b57a92-8ff2-4f8e-8153-be02d81658d9,slip,0.15,0,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2357468268802319,1.355497841274701,12.131859924998952,0.01430863901983681,1.3479844361109947,1.093462604652252,0.15659286124781668,branin
10,5.7583701281061925,1.3173214438593488,1.2180911343932392,1.2180911343932392,0.3909283812890584,3.39084511639928,True,True,0.0,ucb,0.19365550007205456,False,9,93b57a92-8ff2-4f8e-8153-be02d81658d9,slip,0.15,0,exact,value,learned,1e-06,"x0,x1",1.2500554659000687,1.2357468268802319,0.031964331506829424,12.163824256505782,0.01430863901983681,1.2163824256505782,1.093462604652252,0.15659286124781668,branin
