iteration,x0,x1,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,-380.3441123643396,-0.7394688613222797,-0.10929870978044434,-0.10929870978044434,-1.3387277521627092,153.9940237121764,True,True,0.0,pi,0.0,False,11,21cf4314-d296-4dda-8adb-d93d81dd13b1,slip,0.4,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,-0.10929870978044434,3.3143442408355033,3.3143442408355033,3.3143442408355033,3.3143442408355033,-1.3387277521627092,4.543773283217768,eggholder
2,103.93431820631804,-482.6224554271288,-1.3530516692690895,-1.3530516692690895,-1.3260358375542693,282.4274663754319,True,True,0.0,pi,0.0,False,11,21cf4314-d296-4dda-8adb-d93d81dd13b1,slip,0.4,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,-0.10929870978044434,4.5580972003241484,7.872441441159651,3.3143442408355033,3.9362207205798256,-1.3387277521627092,4.543773283217768,eggholder
3,-360.5236893926851,438.48808751141837,2.159692851378006,2.159692851378006,-0.7350220338372151,73.38280556129627,True,True,0.0,pi,0.0,False,11,21cf4314-d296-4dda-8adb-d93d81dd13b1,slip,0.4,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.159692851378006,1.0453526796770527,8.917794120836703,1.0453526796770527,2.972598040278901,-0.7350220338372151,3.940067564892274,eggholder
4,-439.88933001810244,-379.11147581511887,1.671131394592818,1.671131394592818,2.3037211741727988,779.0797774790576,True,True,0.0,pi,0.0,False,11,21cf4314-d296-4dda-8adb-d93d81dd13b1,slip,0.4,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.159692851378006,1.5339141364622408,10.451708257298943,1.0453526796770527,2.6129270643247358,-0.7350220338372151,3.940067564892274,eggholder
5,459.08833617077767,124.80879902349602,-0.546083266630201,-0.546083266630201,-0.9373089677051462,572.8436462643572,True,True,0.0,pi,0.0,False,11,21cf4314-d296-4dda-8adb-d93d81dd13b1,slip,0.4,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.159692851378006,3.7511287976852596,14.202837054984203,1.0453526796770527,2.8405674109968406,-0.7350220338372151,3.940067564892274,eggholder
6,-360.15679279704665,447.11476487227077,-1.8980586335380665,-1.8980586335380665,-0.5266889047438802,295.84957716175035,True,True,0.0,pi,0.17506220005452633,False,11,21cf4314-d296-4dda-8adb-d93d81dd13b1,slip,0.4,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.159692851378006,5.103104164593125,19.305941219577328,1.0453526796770527,3.2176568699295545,-0.7350220338372151,3.940067564892274,eggholder
7,-512.0,-512.0,-0.7393540205569358,-0.7393540205569358,-2.487061888349132,313.3964426085588,True,True,0.0,pi,0.1471280000405386,False,11,21cf4314-d296-4dda-8adb-d93d81dd13b1,slip,0.4,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.159692851378006,3.9443995516119945,23.25034077118932,1.0453526796770527,3.3214772530270458,-0.7350220338372151,3.940067564892274,eggholder
8,-441.5598934639291,-358.79028308383204,-0.996200438405607,-0.996200438405607,2.2780511112511483,164.97992803934866,True,True,0.0,pi,0.20929619995877147,False,11,21cf4314-d296-4dda-8adb-d93d81dd13b1,slip,0.4,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.159692851378006,4.201245969460666,27.451586740649986,1.0453526796770527,3.4314483425812483,-0.7350220338372151,3.940067564892274,eggholder
9,-512.0,468.35121851500793,0.4857413832641052,0.4857413832641052,-1.7021046264067994,144.04612412527086,True,True,0.0,pi,0.18444540002383292,False,11,21cf4314-d296-4dda-8adb-d93d81dd13b1,slip,0.4,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.159692851378006,2.7193041477909534,30.17089088844094,1.0453526796770527,3.352321209826771,-0.7350220338372151,3.940067564892274,eggholder
10,-512.0,512.0,0.29318155941941865,0.29318155941941865,-3.533135983972524,320.77666177953,True,True,0.0,pi,0.15062630001921207,False,11,21cf4314-d296-4dda-8adb-d93d81dd13b1,slip,0.4,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.159692851378006,2.9118639716356403,33.082754860076584,1.0453526796770527,3.308275486007658,-0.7350220338372151,3.940067564892274,eggholder
11,-512.0,512.0,-1.0194877335526338,-1.0194877335526338,-3.533135983972524,726.6966357542339,True,True,0.0,pi,0.19055429997388273,False,11,21cf4314-d296-4dda-8adb-d93d81dd13b1,slip,0.4,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.159692851378006,4.224533264607692,37.30728812468428,1.0453526796770527,3.3915716476985707,-0.7350220338372151,3.940067564892274,eggholder
12,-512.0,407.3326913498834,-3.533135983972524,-3.533135983972524,2.064402369269552,104.66730865011658,True,True,0.0,pi,0.1696848999708891,False,11,21cf4314-d296-4dda-8adb-d93d81dd13b1,slip,0.4,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.159692851378006,6.738181515027582,44.04546963971186,1.0453526796770527,3.6704558033093218,-0.7350220338372151,3.940067564892274,eggholder
13,-318.16959253843595,-309.7044701850627,-0.44125244905200767,-0.44125244905200767,-1.8694156990400495,492.80453793639066,True,True,0.0,pi,0.1323266999097541,False,11,21cf4314-d296-4dda-8adb-d93d81dd13b1,slip,0.4,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.159692851378006,3.6462979801070663,47.691767619818926,1.0453526796770527,3.6685975092168404,-0.7350220338372151,3.940067564892274,eggholder
14,-512.0,-512.0,-1.2561289957438342,-1.2561289957438342,-2.487061888349132,128.44252308110447,True,True,0.0,pi,0.12138119991868734,False,11,21cf4314-d296-4dda-8adb-d93d81dd13b1,slip,0.4,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.159692851378006,4.461174526798893,52.15294214661782,1.0453526796770527,3.725210153329844,-0.7350220338372151,3.940067564892274,eggholder
15,-180.75730072157455,399.1398348237433,2.8655354217292026,2.8655354217292026,0.061530862248559165,549.6727925190027,True,True,0.0,pi,0.12323919998016208,False,11,21cf4314-d296-4dda-8adb-d93d81dd13b1,slip,0.4,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.8655354217292026,0.3395101093258561,52.492452255943675,0.3395101093258561,3.4994968170629117,0.061530862248559165,3.1435146688064997,eggholder
16,-133.11990037069063,507.8096598806338,1.506324499282236,1.506324499282236,-0.6064923358528169,56.903292615664235,True,True,0.0,pi,0.21633119997568429,False,11,21cf4314-d296-4dda-8adb-d93d81dd13b1,slip,0.4,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.8655354217292026,1.6987210317728227,54.191173287716495,0.3395101093258561,3.386948330482281,0.061530862248559165,3.1435146688064997,eggholder
17,-125.20232027647006,512.0,-0.027522710748505957,-0.027522710748505957,-0.9069485944059039,625.1920400045071,True,True,0.0,pi,0.19919239997398108,False,11,21cf4314-d296-4dda-8adb-d93d81dd13b1,slip,0.4,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.8655354217292026,3.232568241803565,57.42374152952006,0.3395101093258561,3.3778671487952976,0.061530862248559165,3.1435146688064997,eggholder
18,-170.71693099195824,512.0,-3.533135983972524,-3.533135983972524,-0.13581292228046846,341.28306900804176,True,True,0.0,pi,0.14589419995900244,False,11,21cf4314-d296-4dda-8adb-d93d81dd13b1,slip,0.4,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.8655354217292026,6.738181515027582,64.16192304454763,0.3395101093258561,3.5645512802526462,0.061530862248559165,3.1435146688064997,eggholder
19,72.41027099098335,512.0,-0.7532584564652975,-0.7532584564652975,-1.2890545781608975,294.0085044497369,True,True,0.0,pi,0.14982599997892976,False,11,21cf4314-d296-4dda-8adb-d93d81dd13b1,slip,0.4,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.8655354217292026,3.958303987520356,68.12022703206799,0.3395101093258561,3.5852751069509465,0.061530862248559165,3.1435146688064997,eggholder
20,37.84938750141021,512.0,0.40926290471147625,0.40926290471147625,-1.7731141327398425,474.1506124985898,True,True,0.0,pi,0.1510292999446392,False,11,21cf4314-d296-4dda-8adb-d93d81dd13b1,slip,0.4,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.8655354217292026,2.7957826263435823,70.91600965841157,0.3395101093258561,3.5458004829205785,0.061530862248559165,3.1435146688064997,eggholder
21,140.93805975327717,512.0,-0.8446812388820096,-0.8446812388820096,0.3770669158565038,303.2044317370651,True,True,0.0,pi,0.1529101999476552,False,11,21cf4314-d296-4dda-8adb-d93d81dd13b1,slip,0.4,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.8655354217292026,4.0497267699370685,74.96573642834863,0.3395101093258561,3.5697969727785064,0.061530862248559165,3.1435146688064997,eggholder
22,32.577428961482404,512.0,0.9831523159492398,0.9831523159492398,-1.8126646541402385,554.3677088426799,True,True,0.0,pi,0.1506268000230193,False,11,21cf4314-d296-4dda-8adb-d93d81dd13b1,slip,0.4,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.8655354217292026,2.221893215105819,77.18762964345446,0.3395101093258561,3.508528620157021,0.061530862248559165,3.1435146688064997,eggholder
23,133.46993778808877,512.0,-1.8841808439822767,-1.8841808439822767,0.2032697103339042,132.67561354904458,True,True,0.0,pi,0.16738770005758852,False,11,21cf4314-d296-4dda-8adb-d93d81dd13b1,slip,0.4,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.8655354217292026,5.089226375037335,82.2768560184918,0.3395101093258561,3.5772546094996436,0.061530862248559165,3.1435146688064997,eggholder
24,-149.30320176663156,512.0,-1.9036579873777477,-1.9036579873777477,-0.5442041648423815,313.451904228129,True,True,0.0,pi,0.13141380005981773,False,11,21cf4314-d296-4dda-8adb-d93d81dd13b1,slip,0.4,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.8655354217292026,5.108703518432806,87.3855595369246,0.3395101093258561,3.641064980705192,0.061530862248559165,3.1435146688064997,eggholder
25,-255.8349050981983,344.90257696895526,1.2929322714432756,1.2929322714432756,-0.957718457631121,775.6071484228007,True,True,0.0,pi,0.11882540001533926,False,11,21cf4314-d296-4dda-8adb-d93d81dd13b1,slip,0.4,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.8655354217292026,1.9121132596117831,89.29767279653639,0.3395101093258561,3.5719069118614555,0.061530862248559165,3.1435146688064997,eggholder
26,-296.1843866493256,300.6506153990126,-0.0774938331293081,-0.0774938331293081,0.9148504570686821,575.7822277921073,True,True,0.0,pi,0.20210219989530742,False,11,21cf4314-d296-4dda-8adb-d93d81dd13b1,slip,0.4,0,exact,value,learned,1e-06,"x0,x1",3.2050455310550587,2.8655354217292026,3.282539364184367,92.58021216072076,0.3395101093258561,3.5607773907969524,0.061530862248559165,3.1435146688064997,eggholder
