iteration,x0,x1,x2,x3,x4,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,1.0272137021115593,3.101621678089748,1.0012596288055424,2.477299543768252,2.73286049052822,0.5073607825879237,0.5073607825879237,0.15323094724110708,3.0013883431319646,True,True,0.0,sobol,0.0,False,8,01da3730-76e7-400b-b3d7-a71c840aecde,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,0.5073607825879237,7.540360384101055,7.540360384101055,7.540360384101055,7.540360384101055,0.15323094724110708,7.894490219447871,michalewicz
2,1.2286291551541173,1.3756464757427227,1.1710252155791652,0.3360046329538751,1.5047143521208903,2.142766861833389,2.142766861833389,0.32604765500876154,3.3019282616413026,True,True,0.0,sobol,0.0,False,8,01da3730-76e7-400b-b3d7-a71c840aecde,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,2.142766861833389,5.90495430485559,13.445314688956644,5.90495430485559,6.722657344478322,0.32604765500876154,7.721673511680216,michalewicz
3,0.7582301259261758,0.8078456237537506,0.5803513018372032,0.6090434426292817,2.5567150298471115,0.7421653494354318,0.7421653494354318,-1.0282202964532643,1.0574752190189671,True,True,0.0,sobol,0.0,False,8,01da3730-76e7-400b-b3d7-a71c840aecde,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,2.142766861833389,7.305555817253547,20.75087050621019,5.90495430485559,6.916956835403397,0.32604765500876154,7.721673511680216,michalewicz
4,1.3288440180585444,0.8039979789080718,1.8563760580914754,1.898377406065081,2.032164425727874,0.11401891620954573,0.11401891620954573,0.5224310245244812,2.12367612190233,True,True,0.0,sobol,0.0,False,8,01da3730-76e7-400b-b3d7-a71c840aecde,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,2.142766861833389,7.933702250479433,28.684572756689626,5.90495430485559,7.1711431891724065,0.32604765500876154,7.721673511680216,michalewicz
5,2.863110509619268,0.4718864178640059,1.1667470743524408,0.8941621038640123,0.052722372294653944,1.467290511063087,1.467290511063087,-0.1443543065132659,3.2358971357068906,True,True,0.0,sobol,0.0,False,8,01da3730-76e7-400b-b3d7-a71c840aecde,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,2.142766861833389,6.580430655625891,35.265003412315515,5.90495430485559,7.053000682463103,0.32604765500876154,7.721673511680216,michalewicz
6,1.7170717412616163,1.3220779408929344,0.40279938410828975,0.8683659501273618,1.1181550194390142,-0.9104930251439851,-0.9104930251439851,-0.5009920662466304,2.1175640255948305,True,True,0.0,sobol,0.0,False,8,01da3730-76e7-400b-b3d7-a71c840aecde,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,2.142766861833389,8.958214191832964,44.22321760414848,5.90495430485559,7.37053626735808,0.32604765500876154,7.721673511680216,michalewicz
7,0.427026767493197,3.075885860683842,2.8449222385676287,2.9916600580325157,1.6085587189501045,0.7003829940783068,0.7003829940783068,-0.46774707131781973,1.253652796859137,True,True,0.0,sobol,0.0,False,8,01da3730-76e7-400b-b3d7-a71c840aecde,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,2.142766861833389,7.347338172610671,51.57055577675915,5.90495430485559,7.367222253822736,0.32604765500876154,7.721673511680216,michalewicz
8,0.8789514497987695,0.3159475937654642,0.8786782732541557,0.657785089537838,2.5926262367636044,0.8859939740336051,0.8859939740336051,-0.6411950459327559,1.2289763904846103,True,True,0.0,sobol,0.0,False,8,01da3730-76e7-400b-b3d7-a71c840aecde,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,2.142766861833389,7.161727192655373,58.73228296941453,5.90495430485559,7.341535371176816,0.32604765500876154,7.721673511680216,michalewicz
9,2.9295625356500263,1.6766474233693738,1.5781031373928869,1.5778630286485367,0.13855766432859098,-1.0539382316982129,-1.0539382316982129,0.13869757006058783,1.9633805217306664,True,True,0.0,sobol,0.0,False,8,01da3730-76e7-400b-b3d7-a71c840aecde,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,2.142766861833389,9.101659398387191,67.83394236780171,5.90495430485559,7.537104707533524,0.32604765500876154,7.721673511680216,michalewicz
10,2.5033777301764983,0.6253230573181823,2.572897838493771,2.1644904632587125,0.5427373262738501,-1.0510963925520211,-1.0510963925520211,-0.8728780971042119,2.2171948141170477,True,True,0.0,sobol,0.0,False,8,01da3730-76e7-400b-b3d7-a71c840aecde,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,2.142766861833389,9.098817559240999,76.93275992704271,5.90495430485559,7.693275992704271,0.32604765500876154,7.721673511680216,michalewicz
11,1.213050939869289,2.011549894544422,0.2780850824227474,0.06645983876476237,2.996998219771236,-0.28529140063412045,-0.28529140063412045,-0.8362836019732363,1.574057916731735,True,True,0.0,sobol,0.0,False,8,01da3730-76e7-400b-b3d7-a71c840aecde,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,2.142766861833389,8.333012567323099,85.2657724943658,5.90495430485559,7.751433863124164,0.32604765500876154,7.721673511680216,michalewicz
12,0.09254953441959368,0.7969918476923636,2.244396546776398,2.3958759265805907,2.017197320090936,1.5640625676289346,1.5640625676289346,0.38208383302871557,0.4211802842849403,True,True,0.0,sobol,0.0,False,8,01da3730-76e7-400b-b3d7-a71c840aecde,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,2.142766861833389,6.4836585990600435,91.74943109342586,5.90495430485559,7.645785924452155,0.32604765500876154,7.721673511680216,michalewicz
13,2.143634184408126,2.576278744579223,1.3975657221534534,1.450440128287559,1.526984420207416,-0.507309229886318,-0.507309229886318,1.2790886481257564,2.3212366797842443,True,True,0.0,sobol,0.0,False,8,01da3730-76e7-400b-b3d7-a71c840aecde,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,2.142766861833389,8.555030396575296,100.30446149000115,5.90495430485559,7.715727806923165,0.32604765500876154,7.721673511680216,michalewicz
14,2.1725281096932347,0.16218387323216804,2.061775514871681,0.26021968106849946,1.961994943158931,-0.3983273274659819,-0.3983273274659819,0.4904882419317192,2.0068375434089227,True,True,0.0,sobol,0.0,False,8,01da3730-76e7-400b-b3d7-a71c840aecde,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,2.142766861833389,8.44604849415496,108.75050998415611,5.90495430485559,7.767893570296865,0.32604765500876154,7.721673511680216,michalewicz
15,0.2968206186730349,1.9163979458952587,1.3623537111575719,1.96651217378829,0.882757471100548,-1.0110604624608108,-1.0110604624608108,1.845018564723975,2.0728621505887586,True,True,0.0,sobol,0.0,False,8,01da3730-76e7-400b-b3d7-a71c840aecde,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,2.142766861833389,9.05878162914979,117.8092916133059,5.90495430485559,7.853952774220393,0.32604765500876154,7.721673511680216,michalewicz
16,1.5399446718710619,1.5609294592974035,2.543790572939327,1.2570615809520018,0.2911253820378546,-1.042825830780171,-1.042825830780171,1.127804894506369,1.879963334286219,True,True,0.0,sobol,0.0,False,8,01da3730-76e7-400b-b3d7-a71c840aecde,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,2.142766861833389,9.090546997469149,126.89983861077505,5.90495430485559,7.931239913173441,0.32604765500876154,7.721673511680216,michalewicz
17,2.605998689002773,2.9228533651232866,0.10167066187116339,2.5942399114767762,2.549060995719305,-1.053406472804409,-1.053406472804409,-1.0142748837537099,1.9856551836947631,True,True,0.0,sobol,0.0,False,8,01da3730-76e7-400b-b3d7-a71c840aecde,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,2.142766861833389,9.101127639493388,136.00096625026845,5.90495430485559,8.000056838251085,0.32604765500876154,7.721673511680216,michalewicz
18,2.9589359235581063,1.0366105086342559,1.0979514653770353,2.792914017450749,2.8565038362333732,1.0056331020205307,1.0056331020205307,-0.7723282287121264,1.792272318008479,True,True,0.0,sobol,0.0,False,8,01da3730-76e7-400b-b3d7-a71c840aecde,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,2.142766861833389,7.042088064668448,143.0430543149369,5.90495430485559,7.9468363508298285,0.32604765500876154,7.721673511680216,michalewicz
19,1.0827432586827535,2.4224791298879342,1.9447792412787026,1.0628935435424431,0.5987609415280132,1.2679501006012948,1.2679501006012948,0.3692206044343981,1.4647248124152283,True,True,0.0,sobol,0.0,False,8,01da3730-76e7-400b-b3d7-a71c840aecde,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,2.142766861833389,6.779771066087683,149.8228253810246,5.90495430485559,7.885411862159189,0.32604765500876154,7.721673511680216,michalewicz
20,0.7536327844704842,0.47232657294906627,0.7633140047378821,1.7769932666279529,1.1856470434612927,-0.13788902313875884,-0.13788902313875884,-1.0291573395579416,2.552799476886264,True,True,0.0,sobol,0.0,False,8,01da3730-76e7-400b-b3d7-a71c840aecde,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,2.142766861833389,8.185610189827738,158.00843557085233,5.90495430485559,7.900421778542617,0.32604765500876154,7.721673511680216,michalewicz
21,1.8199802278588624,2.2505332043128163,3.058123829121075,0.46364028911905025,2.265075666247585,1.4163515680128842,1.4163515680128842,-0.3827529714895077,2.196202655482178,True,True,0.0,sobol,0.0,False,8,01da3730-76e7-400b-b3d7-a71c840aecde,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,2.142766861833389,6.631369598676094,164.63980516952842,5.90495430485559,7.839990722358496,0.32604765500876154,7.721673511680216,michalewicz
