iteration,x0,x1,x2,x3,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,1.6258591994420026,4.074924208726179,2.9811712122067417,-1.9731352900846733,0.43900188490149494,0.43900188490149494,0.40567327867896574,0.26274722902774883,True,True,0.0,pi,0.0,False,7,cd123f3c-24b1-4954-9c89-d258d5d4ac3b,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",0.7642238834584598,0.43900188490149494,0.3252219985569649,0.3252219985569649,0.3252219985569649,0.3252219985569649,0.40567327867896574,0.3585506047794941,powell
2,-1.2985034357989713,3.8619810085663566,-3.9526122589098276,3.3910557654448965,-1.9145287896227974,-1.9145287896227974,-1.7864151961413364,0.18333528236575244,True,True,0.0,pi,0.0,False,7,cd123f3c-24b1-4954-9c89-d258d5d4ac3b,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",0.7642238834584598,0.43900188490149494,2.678752673081257,3.003974671638222,0.3252219985569649,1.501987335819111,0.40567327867896574,0.3585506047794941,powell
3,3.1736248587684157,0.2114145755934871,-1.2727081586261781,-1.4941694910930403,0.2663740631704709,0.2663740631704709,0.2840174372993083,0.08543451796161877,True,True,0.0,pi,0.0,False,7,cd123f3c-24b1-4954-9c89-d258d5d4ac3b,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",0.7642238834584598,0.43900188490149494,0.4978498202879889,3.501824491926211,0.3252219985569649,1.1672748306420704,0.40567327867896574,0.3585506047794941,powell
4,-1.7061737111128785,0.005686752943819151,0.5409343306215799,0.9814761686704321,0.7108717257508146,0.7108717257508146,0.7118824149892812,0.19020101283684884,True,True,0.0,pi,0.0,False,7,cd123f3c-24b1-4954-9c89-d258d5d4ac3b,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",0.7642238834584598,0.7108717257508146,0.05335215770764523,3.5551766496338564,0.05335215770764523,0.8887941624084641,0.7118824149892812,0.05234146846917864,powell
5,4.959502550909534,3.1339572729237775,1.5996130649704643,4.900641329136963,0.6308767939323089,0.6308767939323089,0.6278990617352157,0.06561760689925009,True,True,0.0,pi,0.0,False,7,cd123f3c-24b1-4954-9c89-d258d5d4ac3b,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",0.7642238834584598,0.7108717257508146,0.13334708952615093,3.6885237391600074,0.05335215770764523,0.7377047478320015,0.7118824149892812,0.05234146846917864,powell
6,0.8763332501415143,0.52839447259314,0.9407540824530591,0.9562043973578694,0.7602036140630437,0.7602036140630437,0.7601202617005108,0.23727459526668165,True,True,0.0,pi,0.18930029997136444,False,7,cd123f3c-24b1-4954-9c89-d258d5d4ac3b,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",0.7642238834584598,0.7602036140630437,0.0040202693954161095,3.6925440085554238,0.0040202693954161095,0.6154240014259039,0.7601202617005108,0.004103621757948983,powell
7,3.503779434753488,0.3075681673484187,0.7997581855283994,-1.0348884605332107,0.33795566681408634,0.33795566681408634,0.3363740052574009,0.19707403484760963,True,True,0.0,pi,0.24745919997803867,False,7,cd123f3c-24b1-4954-9c89-d258d5d4ac3b,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",0.7642238834584598,0.7602036140630437,0.4262682166443735,4.118812225199798,0.0040202693954161095,0.588401746457114,0.7601202617005108,0.004103621757948983,powell
8,0.17686973137810622,1.0761424512774844,1.1323504484349054,2.1911696779222107,0.733576961947919,0.733576961947919,0.735225054433018,0.12185608184919816,True,True,0.0,pi,0.22007249994203448,False,7,cd123f3c-24b1-4954-9c89-d258d5d4ac3b,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",0.7642238834584598,0.7602036140630437,0.030646921510540825,4.149459146710338,0.0040202693954161095,0.5186823933387923,0.7601202617005108,0.004103621757948983,powell
9,-0.9947841059018719,1.3505277396598157,1.159464644816811,2.5567592932135383,0.5990378456775141,0.5990378456775141,0.5895442016053901,0.1571455776909224,True,True,0.0,pi,0.2987042999593541,False,7,cd123f3c-24b1-4954-9c89-d258d5d4ac3b,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",0.7642238834584598,0.7602036140630437,0.16518603778094576,4.314645184491284,0.0040202693954161095,0.47940502049903155,0.7601202617005108,0.004103621757948983,powell
10,0.6588419147634913,0.34379707006854865,0.9948476505307295,1.5424066341812057,0.7613321994162999,0.7613321994162999,0.7610727332464522,0.16537666827737543,True,True,0.0,pi,0.2424739000853151,False,7,cd123f3c-24b1-4954-9c89-d258d5d4ac3b,slip,0.01,0,exact,value,learned,1e-06,"x0,x1,x2,x3",0.7642238834584598,0.7613321994162999,0.002891684042159892,4.317536868533444,0.002891684042159892,0.43175368685334437,0.7610727332464522,0.003151150212007625,powell
