iteration,x0,x1,x2,x3,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,9.560017096289753,2.076818100791469,8.284448852745307,1.4928212308202027,0.715257817365798,0.715257817365798,0.715257817365798,0.0,False,False,0.0,ucb,0.0,False,10,d894cdd1-b48a-491b-9103-175039403a59,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",56.774074038018384,0.715257817365798,56.05881622065259,56.05881622065259,56.05881622065259,56.05881622065259,0.715257817365798,56.05881622065259,shekel
2,5.1280461643656485,1.3591960402050662,6.890364797811311,8.41747724312279,-0.48337812269730146,-0.48337812269730146,-0.48337812269730146,0.0,False,False,0.0,ucb,0.0,False,10,d894cdd1-b48a-491b-9103-175039403a59,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",56.774074038018384,0.715257817365798,57.25745216071569,113.31626838136827,56.05881622065259,56.65813419068414,0.715257817365798,56.05881622065259,shekel
3,4.255089974049766,9.569260034533663,8.253329063847982,3.38215312471576,-0.6379940207411289,-0.6379940207411289,-0.6379940207411289,0.0,False,False,0.0,ucb,0.0,False,10,d894cdd1-b48a-491b-9103-175039403a59,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",56.774074038018384,0.715257817365798,57.412068058759516,170.7283364401278,56.05881622065259,56.9094454800426,0.715257817365798,56.05881622065259,shekel
4,5.757605479445136,7.533018647084769,8.271039370247955,9.334384708515813,0.011918311980180278,0.011918311980180278,0.011918311980180278,0.0,False,False,0.0,ucb,0.0,False,10,d894cdd1-b48a-491b-9103-175039403a59,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",56.774074038018384,0.715257817365798,56.7621557260382,227.490492166166,56.05881622065259,56.8726230415415,0.715257817365798,56.05881622065259,shekel
5,1.449946949362273,7.455802110439374,1.3935139386782236,9.065287561129269,0.9169438576862018,0.9169438576862018,0.9169438576862018,0.0,False,False,0.0,ucb,0.0,False,10,d894cdd1-b48a-491b-9103-175039403a59,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",56.774074038018384,0.9169438576862018,55.857130180332184,283.3476223464982,55.857130180332184,56.669524469299645,0.9169438576862018,55.857130180332184,shekel
6,0.0,0.0,0.0,3.4725656458536633,-0.5266323783650441,-0.5266323783650441,-0.5266323783650441,0.0,False,False,0.0,ucb,0.40998429991304874,False,10,d894cdd1-b48a-491b-9103-175039403a59,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",56.774074038018384,0.9169438576862018,57.30070641638343,340.64832876288165,55.857130180332184,56.77472146048027,0.9169438576862018,55.857130180332184,shekel
7,0.0,9.793687223335773,0.0,10.0,-0.6806313208936798,-0.6806313208936798,-0.6806313208936798,0.0,False,False,0.0,ucb,0.3920161999994889,False,10,d894cdd1-b48a-491b-9103-175039403a59,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",56.774074038018384,0.9169438576862018,57.454705358912065,398.1030341217937,55.857130180332184,56.8718620173991,0.9169438576862018,55.857130180332184,shekel
8,1.4274574949187657,6.4857564963667835,0.9188027999586176,8.90424412021149,0.016032427275805314,0.016032427275805314,0.016032427275805314,0.0,False,False,0.0,ucb,0.35351400007493794,False,10,d894cdd1-b48a-491b-9103-175039403a59,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",56.774074038018384,0.9169438576862018,56.75804161074258,454.8610757325363,55.857130180332184,56.857634466567035,0.9169438576862018,55.857130180332184,shekel
9,2.5412361722116654,7.777898542724443,0.0,6.777485349111503,-0.058514172627964336,-0.058514172627964336,-0.058514172627964336,0.0,False,False,0.0,ucb,0.3729835000121966,False,10,d894cdd1-b48a-491b-9103-175039403a59,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",56.774074038018384,0.9169438576862018,56.83258821064635,511.6936639431826,55.857130180332184,56.85485154924251,0.9169438576862018,55.857130180332184,shekel
10,3.2155129331946597,7.709146555402927,0.0,10.0,-0.31324706671752056,-0.31324706671752056,-0.31324706671752056,0.0,False,False,0.0,ucb,0.7679259999422356,False,10,d894cdd1-b48a-491b-9103-175039403a59,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",56.774074038018384,0.9169438576862018,57.087321104735906,568.7809850479185,55.857130180332184,56.87809850479185,0.9169438576862018,55.857130180332184,shekel
11,0.6429671487540038,7.71712658905233,1.8538306131862705,4.400420579801766,-0.36736539752453595,-0.36736539752453595,-0.36736539752453595,0.0,False,False,0.0,ucb,0.6345174999441952,False,10,d894cdd1-b48a-491b-9103-175039403a59,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",56.774074038018384,0.9169438576862018,57.14143943554292,625.9224244834614,55.857130180332184,56.902038589405585,0.9169438576862018,55.857130180332184,shekel
12,1.3517812387741288,7.677921054362423,1.8807408767680507,10.0,0.6559858490198822,0.6559858490198822,0.6559858490198822,0.0,False,False,0.0,ucb,0.7458920999197289,False,10,d894cdd1-b48a-491b-9103-175039403a59,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",56.774074038018384,0.9169438576862018,56.1180881889985,682.04051267246,55.857130180332184,56.83670938937166,0.9169438576862018,55.857130180332184,shekel
13,4.153438724340866,7.633562828859352,1.5745930835877069,8.513498042099917,0.6237792262895453,0.6237792262895453,0.6237792262895453,0.0,False,False,0.0,ucb,0.8178285000612959,False,10,d894cdd1-b48a-491b-9103-175039403a59,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",56.774074038018384,0.9169438576862018,56.15029481172884,738.1908074841888,55.857130180332184,56.78390826801452,0.9169438576862018,55.857130180332184,shekel
14,0.0,8.03126247623978,1.2397227814934928,9.488702536114149,-0.12724657182642726,-0.12724657182642726,-0.12724657182642726,0.0,False,False,0.0,ucb,0.5873449000064284,False,10,d894cdd1-b48a-491b-9103-175039403a59,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",56.774074038018384,0.9169438576862018,56.90132060984481,795.0921280940336,55.857130180332184,56.79229486385954,0.9169438576862018,55.857130180332184,shekel
15,2.317052022398481,5.106116504289512,1.6443306886784423,8.534758634601893,0.0421916954096663,0.0421916954096663,0.0421916954096663,0.0,False,False,0.0,ucb,0.6402140000136569,False,10,d894cdd1-b48a-491b-9103-175039403a59,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",56.774074038018384,0.9169438576862018,56.73188234260872,851.8240104366423,55.857130180332184,56.788267362442824,0.9169438576862018,55.857130180332184,shekel
16,3.086065808935982,7.183392088929943,2.109137767252717,9.606857293104316,0.6476831853374793,0.6476831853374793,0.6476831853374793,0.0,False,False,0.0,ucb,0.6049607000313699,False,10,d894cdd1-b48a-491b-9103-175039403a59,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",56.774074038018384,0.9169438576862018,56.126390852680906,907.9504012893232,55.857130180332184,56.7469000805827,0.9169438576862018,55.857130180332184,shekel
17,10.0,2.373060345202942,8.861215269281434,0.0,-0.20994833777299465,-0.20994833777299465,-0.20994833777299465,0.0,False,False,0.0,ucb,0.6980107999406755,False,10,d894cdd1-b48a-491b-9103-175039403a59,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",56.774074038018384,0.9169438576862018,56.984022375791376,964.9344236651145,55.857130180332184,56.76084845088909,0.9169438576862018,55.857130180332184,shekel
18,9.52838649114358,1.7942390896053528,7.7339316980135075,2.5353909285198712,0.6565966054751181,0.6565966054751181,0.6565966054751181,0.0,False,False,0.0,ucb,0.4591744999634102,False,10,d894cdd1-b48a-491b-9103-175039403a59,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",56.774074038018384,0.9169438576862018,56.11747743254327,1021.0519010976578,55.857130180332184,56.725105616536545,0.9169438576862018,55.857130180332184,shekel
19,7.193542702403208,2.1139255698598176,8.358889060040068,3.6857976952710154,1.5652648571918246,1.5652648571918246,1.5652648571918246,0.0,False,False,0.0,ucb,0.44280680001247674,False,10,d894cdd1-b48a-491b-9103-175039403a59,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",56.774074038018384,1.5652648571918246,55.208809180826556,1076.2607102784843,55.208809180826556,56.64530054097286,1.5652648571918246,55.208809180826556,shekel
20,9.062415887982823,2.3532172267878138,7.962220691001289,4.336612589690441,0.46677492473832555,0.46677492473832555,0.46677492473832555,0.0,False,False,0.0,ucb,0.3168067999649793,False,10,d894cdd1-b48a-491b-9103-175039403a59,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",56.774074038018384,1.5652648571918246,56.30729911328006,1132.5680093917645,55.208809180826556,56.62840046958822,1.5652648571918246,55.208809180826556,shekel
21,5.701427213181039,1.9330436299063758,8.735360680588752,2.9744596410114807,1.6476580076957914,1.6476580076957914,1.0327081080432594,0.6816128755959022,True,True,0.0,ucb,0.42717819998506457,False,10,d894cdd1-b48a-491b-9103-175039403a59,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",56.774074038018384,1.6476580076957914,55.126416030322595,1187.694425422087,55.126416030322595,56.556877401051764,1.0327081080432594,55.741365929975125,shekel
22,7.370503947039363,1.9401324139095006,9.19739653009071,4.284071938236261,0.5706664689334624,0.5706664689334624,0.4225244147243731,0.6626839355670594,True,True,0.0,ucb,0.35872400004882365,False,10,d894cdd1-b48a-491b-9103-175039403a59,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",56.774074038018384,1.6476580076957914,56.20340756908492,1243.897832991172,55.126416030322595,56.54081059050782,1.0327081080432594,55.741365929975125,shekel
23,4.475655148166349,2.0286929230062114,8.146144976824564,2.7472002361112104,0.5891802143287584,0.5891802143287584,0.9860233338105802,1.017186236952646,True,True,0.0,ucb,0.32385649997740984,False,10,d894cdd1-b48a-491b-9103-175039403a59,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",56.774074038018384,1.6476580076957914,56.18489382368963,1300.0827268148616,55.126416030322595,56.52533594847225,1.0327081080432594,55.741365929975125,shekel
24,6.885246075205028,1.4001451014982431,8.498724206416599,2.2724587648985266,1.1074426364974792,1.1074426364974792,1.7888927406527653,0.7514603624997203,True,True,0.0,ucb,0.2827507999027148,False,10,d894cdd1-b48a-491b-9103-175039403a59,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",56.774074038018384,1.6476580076957914,55.6666314015209,1355.7493582163825,55.126416030322595,56.48955659234927,1.0327081080432594,55.741365929975125,shekel
25,6.49001135047626,2.107016216097584,8.569467025653118,1.0395248486630486,1.4542373125201595,1.4542373125201595,1.4249373112788213,0.753209081340439,True,True,0.0,ucb,0.42285490001086146,False,10,d894cdd1-b48a-491b-9103-175039403a59,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",56.774074038018384,1.6476580076957914,55.31983672549823,1411.0691949418806,55.126416030322595,56.442767797675224,1.0327081080432594,55.741365929975125,shekel
26,5.753584745753618,2.3226972472657446,8.687427519699904,5.080040735730681,0.7116052598297163,0.7116052598297163,0.5349379909192739,0.8868247447538098,True,True,0.0,ucb,0.3838175000855699,False,10,d894cdd1-b48a-491b-9103-175039403a59,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",56.774074038018384,1.6476580076957914,56.062468778188666,1467.1316637200694,55.126416030322595,56.42814091231036,1.0327081080432594,55.741365929975125,shekel
27,6.924135630902967,1.9549324133626962,8.57270031318851,2.5037332307680904,1.0905780558184057,1.0905780558184057,1.6801136274723196,1.1359870526816818,True,True,0.0,ucb,0.3504723000805825,False,10,d894cdd1-b48a-491b-9103-175039403a59,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",56.774074038018384,1.6476580076957914,55.68349598219998,1522.8151597022693,55.126416030322595,56.40056147045442,1.0327081080432594,55.741365929975125,shekel
28,5.934931392401083,0.8131739527856017,8.520557653084804,3.7616290596224564,0.7369823850153561,0.7369823850153561,0.5429388018126582,0.5780569227000858,True,True,0.0,ucb,0.3632965999422595,False,10,d894cdd1-b48a-491b-9103-175039403a59,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",56.774074038018384,1.6476580076957914,56.037091653003024,1578.8522513552723,55.126416030322595,56.38758040554544,1.0327081080432594,55.741365929975125,shekel
29,6.443831425018699,3.443369879362778,8.456180089665411,1.932515512963524,1.6814489078132837,1.6814489078132837,1.4432645043945138,0.7122768592176475,True,True,0.0,ucb,0.25398839998524636,False,10,d894cdd1-b48a-491b-9103-175039403a59,slip,0.05,20,exact,value,learned,1e-06,"x0,x1,x2,x3",56.774074038018384,1.6814489078132837,55.0926251302051,1633.9448764854774,55.0926251302051,56.34292677536129,1.4432645043945138,55.33080953362387,shekel
