dataset,objective,oracle_model,error_model,jitter_iteration,jitter_std,acquisition,n_seeds,mean_response_l2_excess,median_response_l2_excess,mean_final_simple_regret_excess_true,median_final_simple_regret_excess_true,mean_auc_simple_regret_excess_true,median_auc_simple_regret_excess_true,std_auc_simple_regret_excess_true,ci95_low_auc_simple_regret_excess_true,ci95_high_auc_simple_regret_excess_true,mean_auc_excess_postonset_per_iter,mean_auc_simple_regret_true_jitter,mean_final_inference_simple_regret_excess_true,acq_opt_failures
stevens,value,exact,slip,0,0.01,ei,5,0.0,0.0,0.00656829415682228,0.0074378530923189,-0.12352839073156012,0.13432766782141492,0.7837645004459285,-0.8249398216981032,0.2997139204219973,-0.0025209875659502196,11.374536616494783,0.0,0
stevens,value,exact,slip,0,0.01,logei,5,0.0,0.0,0.00017595472200556,0.0,-0.40143408920126955,0.15494459879417288,1.2620461908635023,-1.5421507997845705,0.3015327279572345,-0.008192532432678982,11.095522941987722,0.0,0
stevens,value,exact,slip,0,0.01,pi,5,0.0,0.0,0.0014649244458930601,0.0012495843624407,0.013659588023102387,0.05914942586919203,0.9409720838423566,-0.7975696286750342,0.774311199770984,0.0002787671025122923,14.308900485560661,0.00046533992421789996,0
stevens,value,exact,slip,0,0.01,qnei,5,0.0,0.0,0.025174384894869943,0.0244247147217282,0.6960511701390983,0.9677451491939282,1.198040101180547,-0.37173447473269283,1.37396226339324,0.01420512592120608,12.144046604619941,0.0,0
stevens,value,exact,slip,0,0.01,qucb,5,0.0,0.0,0.0,0.0,0.732530744064929,0.15569652041081739,1.3303938882049666,0.11396274629719513,1.9236590058241574,0.014949607021733235,11.84356758005167,0.0,0
stevens,value,exact,slip,0,0.01,random,5,0.0,0.0,-0.03284850141598015,-0.03216793821186936,-1.3121974698321708,-1.5702466828801604,0.8880660584095571,-1.8273110121749667,-0.5157607705437968,-0.026779540200656583,61.072837659948696,0.002507224407870057,0
stevens,value,exact,slip,0,0.01,sobol,5,0.0,0.0,0.0009812610536647614,-0.009490164306385385,0.46173243618318904,0.7279813954156893,0.9973137389974747,-0.28968809055609623,1.2067337764202235,0.009423110942514024,55.35818897054421,0.0,0
stevens,value,exact,slip,0,0.01,ucb,5,0.0,0.0,0.0,0.0,-0.07790271747841811,0.10954995834312342,0.3288738002593723,-0.3436698285148472,0.16752343534338648,-0.0015898513771105765,11.031951534727229,0.0,0
stevens,value,exact,slip,0,0.05,ei,5,0.0,0.0,0.013756168482707897,0.0066791668122969,0.6039885778897685,0.3661033963258795,0.667506596158966,0.11225200602453497,1.1669360349839295,0.012326297507954446,12.10205358511611,0.0,0
stevens,value,exact,slip,0,0.05,logei,5,0.0,0.0,0.0,0.0,1.0224201054028321,1.227731857876119,1.2966537351740535,-0.14740955222067206,1.9678532399537645,0.020865716436792487,12.519377136591826,0.0,0
