iteration,x0,x1,x2,x3,objective_true,objective_observed,objective_true_deployed,input_error_l2,input_error_applied,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.9560017096289753,0.20768181007914688,0.8284448852745308,0.14928212308202027,0.4539929844544659,0.4539929844544659,0.11456689910784426,0.7268902190485549,True,True,0.0,qnei,0.0,False,10,e31befb2-cf51-4766-a988-fcab04215fa0,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,0.4539929844544659,1.69931229826615,1.69931229826615,1.69931229826615,1.69931229826615,0.11456689910784426,2.0387383836127717,weber_fechner
2,0.5128046164365648,0.13591960402050662,0.6890364797811311,0.841747724312279,-3.1799108286216087,-3.1799108286216087,0.38593488694636136,0.5602124260082685,True,True,0.0,qnei,0.0,False,10,e31befb2-cf51-4766-a988-fcab04215fa0,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,0.4539929844544659,5.3332161113422245,7.032528409608375,1.69931229826615,3.5162642048041874,0.11456689910784426,2.0387383836127717,weber_fechner
3,0.4255089974049766,0.9569260034533662,0.8253329063847983,0.338215312471576,-1.724920036688538,-1.724920036688538,0.9458106682149775,0.9098861064862255,True,True,0.0,qnei,0.0,False,10,e31befb2-cf51-4766-a988-fcab04215fa0,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,0.4539929844544659,3.878225319409154,10.910753729017529,1.69931229826615,3.6369179096725097,0.11456689910784426,2.0387383836127717,weber_fechner
4,0.5757605479445136,0.7533018647084769,0.8271039370247955,0.9334384708515814,1.736467978584151,1.736467978584151,1.543343358529766,0.2558625661475422,True,True,0.0,qnei,0.0,False,10,e31befb2-cf51-4766-a988-fcab04215fa0,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,1.736467978584151,0.4168373041364648,11.327591033153993,0.4168373041364648,2.8318977582884983,1.543343358529766,0.6099619241908498,weber_fechner
5,0.1449946949362273,0.7455802110439375,0.13935139386782236,0.9065287561129268,-2.32271432527888,-2.32271432527888,-0.20185079798258002,0.19961881696407527,True,True,0.0,qnei,0.0,False,10,e31befb2-cf51-4766-a988-fcab04215fa0,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,1.736467978584151,4.476019607999496,15.80361064115349,0.4168373041364648,3.160722128230698,1.543343358529766,0.6099619241908498,weber_fechner
6,0.7076000402058515,0.8210448778804471,0.9534515382261057,1.0,-0.451343214272087,-0.451343214272087,1.823712426702023,0.7313614099237548,True,True,0.0,qnei,0.3421518999384716,False,10,e31befb2-cf51-4766-a988-fcab04215fa0,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,1.736467978584151,2.604648496992703,18.408259138146192,0.4168373041364648,3.068043189691032,1.543343358529766,0.6099619241908498,weber_fechner
7,0.4972719393135481,0.7522596865813216,0.767845909325935,1.0,1.56432974703023,1.56432974703023,1.4584190908176453,0.12778393561451198,True,True,0.0,qnei,0.4253509999252856,False,10,e31befb2-cf51-4766-a988-fcab04215fa0,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,1.736467978584151,0.5889755356903859,18.99723467383658,0.4168373041364648,2.71389066769094,1.543343358529766,0.6099619241908498,weber_fechner
8,0.5433572520954268,0.6976641270076197,0.8477567698845273,0.8948895959439672,-1.1976736183353263,-1.1976736183353263,1.4587229166797833,0.7845799296659194,True,True,0.0,qnei,0.3637933999998495,False,10,e31befb2-cf51-4766-a988-fcab04215fa0,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,1.736467978584151,3.3509789010559423,22.348213574892522,0.4168373041364648,2.7935266968615653,1.543343358529766,0.6099619241908498,weber_fechner
9,0.357942674194811,0.7652025739579059,0.9563231579109363,1.0,-0.07651686695480449,-0.07651686695480449,1.4091419367616125,0.8171476219621949,True,True,0.0,qnei,0.6200489000184461,False,10,e31befb2-cf51-4766-a988-fcab04215fa0,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,1.736467978584151,2.2298221496754205,24.578035724567943,0.4168373041364648,2.730892858285327,1.543343358529766,0.6099619241908498,weber_fechner
10,0.5814033272989124,0.7650383375364146,0.3808349625900468,1.0,0.008820578226727015,0.008820578226727015,1.165979809503086,0.6196119606956353,True,True,0.0,qnei,0.4879507999867201,False,10,e31befb2-cf51-4766-a988-fcab04215fa0,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,1.736467978584151,2.144484704493889,26.72252042906183,0.4168373041364648,2.672252042906183,1.543343358529766,0.6099619241908498,weber_fechner
11,0.6394143415310319,0.7624643426949574,0.7491464725927232,1.0,-1.2691520701875125,-1.2691520701875125,1.5916046186752033,0.8959164319973402,True,True,0.0,qnei,0.5814173000399023,False,10,e31befb2-cf51-4766-a988-fcab04215fa0,slip,0.4,0,exact,value,learned,1e-06,"x0,x1,x2,x3",2.153305282720616,1.736467978584151,3.422457352908128,30.14497778196996,0.4168373041364648,2.7404525256336325,1.543343358529766,0.6099619241908498,weber_fechner
