iteration,x0,x1,x2,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.12857020276919962,0.49927786244011496,0.6014983576233575,0.5137940632577207,0.7201498640183986,True,0.20635580076067794,qnei,0.0,False,11,37ef3985-cf98-4b74-9ff0-1e5321cdcf61,spike,0.25,0,exact,value,learned,20.0625,"x0,x1,x2",3.0549009421557276,0.5137940632577207,2.541106878898007,2.541106878898007,2.541106878898007,2.541106878898007,0.5137940632577207,2.541106878898007,hartmann_3
2,0.028689008371944547,0.14792608457745593,0.9282110229603695,-0.31376576698332603,-0.6311780797757605,True,-0.3174123127924344,qnei,0.0,False,11,37ef3985-cf98-4b74-9ff0-1e5321cdcf61,spike,0.25,0,exact,value,learned,20.0625,"x0,x1,x2",3.0549009421557276,0.5137940632577207,3.3686667091390534,5.90977358803706,2.541106878898007,2.95488679401853,0.5137940632577207,2.541106878898007,hartmann_3
3,0.07042057615419683,0.12977394939929798,0.9483284532917751,-0.4727011274378231,-0.34869607089896026,True,0.12400505653886285,qnei,0.0,False,11,37ef3985-cf98-4b74-9ff0-1e5321cdcf61,spike,0.25,0,exact,value,learned,20.0625,"x0,x1,x2",3.0549009421557276,0.5137940632577207,3.527602069593551,9.43737565763061,2.541106878898007,3.14579188587687,0.5137940632577207,2.541106878898007,hartmann_3
4,0.6218835927963828,0.368993123729791,0.5113900218032627,-0.6166682040543563,-0.6093548223282862,True,0.007313381726070101,qnei,0.0,False,11,37ef3985-cf98-4b74-9ff0-1e5321cdcf61,spike,0.25,0,exact,value,learned,20.0625,"x0,x1,x2",3.0549009421557276,0.5137940632577207,3.671569146210084,13.108944803840695,2.541106878898007,3.2772362009601737,0.5137940632577207,2.541106878898007,hartmann_3
5,0.6628429525167993,0.2753088157611293,0.13796807286695534,-0.6066610395455705,-0.8336876340297418,True,-0.22702659448417128,qnei,0.0,False,11,37ef3985-cf98-4b74-9ff0-1e5321cdcf61,spike,0.25,0,exact,value,learned,20.0625,"x0,x1,x2",3.0549009421557276,0.5137940632577207,3.661561981701298,16.770506785541993,2.541106878898007,3.354101357108399,0.5137940632577207,2.541106878898007,hartmann_3
6,0.19010830635093465,0.511315929830773,0.5943259662202866,0.5106217572109015,0.6318219584579832,True,0.12120020124708164,qnei,0.2815008999896236,False,11,37ef3985-cf98-4b74-9ff0-1e5321cdcf61,spike,0.25,0,exact,value,learned,20.0625,"x0,x1,x2",3.0549009421557276,0.5137940632577207,2.544279184944826,19.31478597048682,2.541106878898007,3.219130995081137,0.5137940632577207,2.541106878898007,hartmann_3
7,0.0,0.5069660617476526,0.9559117638539378,1.9272715454563891,1.5615328691719093,True,-0.36573867628447987,qnei,0.2553858000319451,False,11,37ef3985-cf98-4b74-9ff0-1e5321cdcf61,spike,0.25,0,exact,value,learned,20.0625,"x0,x1,x2",3.0549009421557276,1.9272715454563891,1.1276293966993385,20.442415367186157,1.1276293966993385,2.9203450524551653,1.9272715454563891,1.1276293966993385,hartmann_3
8,0.0,0.5735601428540453,1.0,1.195074571909058,1.0097963253988291,True,-0.18527824651022895,qnei,0.20476250001229346,False,11,37ef3985-cf98-4b74-9ff0-1e5321cdcf61,spike,0.25,0,exact,value,learned,20.0625,"x0,x1,x2",3.0549009421557276,1.9272715454563891,1.8598263702466695,22.302241737432826,1.1276293966993385,2.7877802171791033,1.9272715454563891,1.1276293966993385,hartmann_3
9,0.0,0.4711273596056851,1.0,1.00475925975211,0.6598638009458,True,-0.34489545880631,qnei,0.21893969998927787,False,11,37ef3985-cf98-4b74-9ff0-1e5321cdcf61,spike,0.25,0,exact,value,learned,20.0625,"x0,x1,x2",3.0549009421557276,1.9272715454563891,2.0501416824036176,24.352383419836443,1.1276293966993385,2.705820379981827,1.9272715454563891,1.1276293966993385,hartmann_3
10,0.0,0.5266767569449728,1.0,1.1598221192624136,1.0077866214117752,True,-0.1520354978506384,qnei,0.2366891999845393,False,11,37ef3985-cf98-4b74-9ff0-1e5321cdcf61,spike,0.25,0,exact,value,learned,20.0625,"x0,x1,x2",3.0549009421557276,1.9272715454563891,1.895078822893314,26.247462242729757,1.1276293966993385,2.6247462242729758,1.9272715454563891,1.1276293966993385,hartmann_3
