iteration,x0,x1,x2,x3,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,8.702492039700847,2.8681720908755537,6.031481500515619,7.775340829201788,-0.9870560818342237,-1.137141099113056,True,-0.15008501727883228,qnei,0.0,False,9,c93837cf-e5f7-4640-bc7f-1f743d49542d,spike,0.25,0,exact,value,learned,3.8125,"x0,x1,x2,x3",5.402837764670362,-0.9870560818342237,6.389893846504585,6.389893846504585,6.389893846504585,6.389893846504585,-0.9870560818342237,6.389893846504585,hicks_law
2,7.1607462960356525,9.153801204905076,8.603936491828847,9.182376290487625,-2.02008364367013,-2.413198486114861,True,-0.39311484244473105,qnei,0.0,False,9,c93837cf-e5f7-4640-bc7f-1f743d49542d,spike,0.25,0,exact,value,learned,3.8125,"x0,x1,x2,x3",5.402837764670362,-0.9870560818342237,7.422921408340492,13.812815254845077,6.389893846504585,6.9064076274225386,-0.9870560818342237,6.389893846504585,hicks_law
3,0.2658773446759721,4.372480001295087,4.84944326977288,0.6515419737010752,1.95109366050156,5.284686482186262,True,3.333592821684702,qnei,0.0,False,9,c93837cf-e5f7-4640-bc7f-1f743d49542d,spike,0.25,0,exact,value,learned,3.8125,"x0,x1,x2,x3",5.402837764670362,1.95109366050156,3.4517441041688013,17.26455935901388,3.4517441041688013,5.754853119671293,1.95109366050156,3.4517441041688013,hicks_law
4,0.056260506793929244,8.30621436971257,9.833022442861756,7.846098526726796,-0.24516520307071327,0.01360490466464731,True,0.2587701077353606,qnei,0.0,False,9,c93837cf-e5f7-4640-bc7f-1f743d49542d,spike,0.25,0,exact,value,learned,3.8125,"x0,x1,x2,x3",5.402837764670362,1.95109366050156,5.648002967741075,22.912562326754955,3.4517441041688013,5.728140581688739,1.95109366050156,3.4517441041688013,hicks_law
5,3.1560348997827314,7.053337045894538,2.991810731982467,7.407484828757487,-0.39034283845424456,-0.6499670407154493,True,-0.25962420226120475,qnei,0.0,False,9,c93837cf-e5f7-4640-bc7f-1f743d49542d,spike,0.25,0,exact,value,learned,3.8125,"x0,x1,x2,x3",5.402837764670362,1.95109366050156,5.793180603124606,28.705742929879563,3.4517441041688013,5.741148585975912,1.95109366050156,3.4517441041688013,hicks_law
6,5.17226028676225,0.0,10.0,0.0,1.924000499803554,2.2656349374806544,True,0.34163443767710033,qnei,0.3870378999854438,False,9,c93837cf-e5f7-4640-bc7f-1f743d49542d,spike,0.25,0,exact,value,learned,3.8125,"x0,x1,x2,x3",5.402837764670362,1.95109366050156,3.4788372648668076,32.18458019474637,3.4517441041688013,5.364096699124395,1.95109366050156,3.4517441041688013,hicks_law
7,0.0,9.476362462894652,0.0,0.0,3.4653583270382997,3.3526881344124915,True,-0.11267019262580824,qnei,0.22199049999471754,False,9,c93837cf-e5f7-4640-bc7f-1f743d49542d,spike,0.25,0,exact,value,learned,3.8125,"x0,x1,x2,x3",5.402837764670362,3.4653583270382997,1.9374794376320619,34.12205963237843,1.9374794376320619,4.874579947482633,1.95109366050156,3.4517441041688013,hicks_law
8,0.0,1.945698577917841,0.0,0.8321151754152185,4.012430333743619,3.7627539799162264,True,-0.24967635382739228,qnei,0.25141299999086186,False,9,c93837cf-e5f7-4640-bc7f-1f743d49542d,spike,0.25,0,exact,value,learned,3.8125,"x0,x1,x2,x3",5.402837764670362,4.012430333743619,1.390407430926743,35.512467063305174,1.390407430926743,4.439058382913147,1.95109366050156,3.4517441041688013,hicks_law
9,0.0,0.0,7.076604196534772,0.0,3.6799216423955077,3.932055124278092,True,0.2521334818825842,qnei,0.45673870004247874,False,9,c93837cf-e5f7-4640-bc7f-1f743d49542d,spike,0.25,0,exact,value,learned,3.8125,"x0,x1,x2,x3",5.402837764670362,4.012430333743619,1.722916122274854,37.23538318558003,1.390407430926743,4.137264798397781,1.95109366050156,3.4517441041688013,hicks_law
10,0.0,9.180548410754481,5.2401919817954035,2.202339641072083,1.018891301203943,-2.413198486114861,True,-3.4320897873188043,qnei,0.4164183999528177,False,9,c93837cf-e5f7-4640-bc7f-1f743d49542d,spike,0.25,0,exact,value,learned,3.8125,"x0,x1,x2,x3",5.402837764670362,4.012430333743619,4.383946463466419,41.61932964904645,1.390407430926743,4.161932964904645,1.95109366050156,3.4517441041688013,hicks_law
11,0.0,10.0,7.283680935151977,0.5045476479689559,1.3444242246057037,5.144884308594374,True,3.8004600839886704,qnei,0.3880887000123039,False,9,c93837cf-e5f7-4640-bc7f-1f743d49542d,spike,0.25,0,exact,value,learned,3.8125,"x0,x1,x2,x3",5.402837764670362,4.012430333743619,4.058413540064658,45.677743189111105,1.390407430926743,4.152522108101009,1.95109366050156,3.4517441041688013,hicks_law
12,0.0,0.0,7.879166691532309,0.627738074789438,3.199966611108424,3.447832312714253,True,0.247865701605829,qnei,0.34138009999878705,False,9,c93837cf-e5f7-4640-bc7f-1f743d49542d,spike,0.25,0,exact,value,learned,3.8125,"x0,x1,x2,x3",5.402837764670362,4.012430333743619,2.2028711535619374,47.88061434267304,1.390407430926743,3.9900511952227533,1.95109366050156,3.4517441041688013,hicks_law
13,0.0,6.553652650681197,7.993282365529917,0.5096088593975031,1.5838668648697045,1.5986178489414278,True,0.014750984071723261,qnei,0.42064829997252673,False,9,c93837cf-e5f7-4640-bc7f-1f743d49542d,spike,0.25,0,exact,value,learned,3.8125,"x0,x1,x2,x3",5.402837764670362,4.012430333743619,3.8189708998006573,51.6995852424737,1.390407430926743,3.976891172497977,1.95109366050156,3.4517441041688013,hicks_law
14,0.0,3.2426001107362303,7.674234604374282,0.29490380292235635,2.215960464048175,1.7852404535093591,True,-0.4307200105388158,qnei,0.3789165000198409,False,9,c93837cf-e5f7-4640-bc7f-1f743d49542d,spike,0.25,0,exact,value,learned,3.8125,"x0,x1,x2,x3",5.402837764670362,4.012430333743619,3.1868773006221867,54.88646254309589,1.390407430926743,3.920461610221135,1.95109366050156,3.4517441041688013,hicks_law
15,0.21791905593154828,9.977734386306356,4.652588335735501,0.366404076326709,1.5781354342785814,1.834254018117807,True,0.2561185838392257,qnei,0.2848273999989033,False,9,c93837cf-e5f7-4640-bc7f-1f743d49542d,spike,0.25,0,exact,value,learned,3.8125,"x0,x1,x2,x3",5.402837764670362,4.012430333743619,3.82470233039178,58.71116487348767,1.390407430926743,3.9140776582325114,1.95109366050156,3.4517441041688013,hicks_law
16,0.2712146698420323,2.2119454320872616,4.642434067385305,0.4575631942789937,2.504660970079549,2.591107592612746,True,0.08644662253319702,qnei,0.24366819998249412,False,9,c93837cf-e5f7-4640-bc7f-1f743d49542d,spike,0.25,0,exact,value,learned,3.8125,"x0,x1,x2,x3",5.402837764670362,4.012430333743619,2.8981767945908126,61.60934166807848,1.390407430926743,3.850583854254905,1.95109366050156,3.4517441041688013,hicks_law
17,9.925992384579855,0.0,0.0,0.6478305498732838,3.018760953122399,4.314514009802629,True,1.2957530566802298,qnei,0.35402910003904253,False,9,c93837cf-e5f7-4640-bc7f-1f743d49542d,spike,0.25,0,exact,value,learned,3.8125,"x0,x1,x2,x3",5.402837764670362,4.012430333743619,2.3840768115479625,63.99341847962644,1.390407430926743,3.764318734095673,1.95109366050156,3.4517441041688013,hicks_law
18,10.0,10.0,0.0,0.6104002857384697,1.0544372951989252,1.3824066774109707,True,0.3279693822120455,qnei,0.4385844999924302,False,9,c93837cf-e5f7-4640-bc7f-1f743d49542d,spike,0.25,0,exact,value,learned,3.8125,"x0,x1,x2,x3",5.402837764670362,4.012430333743619,4.348400469471437,68.34181894909788,1.390407430926743,3.796767719394327,1.95109366050156,3.4517441041688013,hicks_law
19,0.0,0.0,0.0,0.37942076435646,5.137539971617242,5.402837764670362,True,0.2652977930531195,qnei,0.47002940002130345,False,9,c93837cf-e5f7-4640-bc7f-1f743d49542d,spike,0.25,0,exact,value,learned,3.8125,"x0,x1,x2,x3",5.402837764670362,5.137539971617242,0.2652977930531195,68.607116742151,0.2652977930531195,3.6109008811658425,5.137539971617242,0.2652977930531195,hicks_law
20,0.0,0.0,10.0,5.292013920046926,1.9081516890039019,1.770972876770375,True,-0.1371788122335269,qnei,0.34451279998756945,False,9,c93837cf-e5f7-4640-bc7f-1f743d49542d,spike,0.25,0,exact,value,learned,3.8125,"x0,x1,x2,x3",5.402837764670362,5.137539971617242,3.4946860756664595,72.10180281781747,0.2652977930531195,3.6050901408908738,5.137539971617242,0.2652977930531195,hicks_law
21,10.0,0.0,0.0,0.0,3.42513131807121,3.0839514870540046,True,-0.3411798310172056,qnei,0.4004051999654621,False,9,c93837cf-e5f7-4640-bc7f-1f743d49542d,spike,0.25,0,exact,value,learned,3.8125,"x0,x1,x2,x3",5.402837764670362,5.137539971617242,1.9777064465991514,74.07950926441663,0.2652977930531195,3.5275956792579346,5.137539971617242,0.2652977930531195,hicks_law
22,10.0,10.0,0.0,4.9004698082071405,-0.01656407841014624,0.03539628517426795,True,0.051960363584414186,qnei,0.4013939000433311,False,9,c93837cf-e5f7-4640-bc7f-1f743d49542d,spike,0.25,0,exact,value,learned,3.8125,"x0,x1,x2,x3",5.402837764670362,5.137539971617242,5.419401843080508,79.49891110749714,0.2652977930531195,3.613586868522597,5.137539971617242,0.2652977930531195,hicks_law
23,0.0,0.0,0.0,0.673823976956438,4.977991028517403,4.686287400462455,True,-0.29170362805494765,qnei,0.2812759000225924,False,9,c93837cf-e5f7-4640-bc7f-1f743d49542d,spike,0.25,0,exact,value,learned,3.8125,"x0,x1,x2,x3",5.402837764670362,5.137539971617242,0.42484673615295865,79.9237578436501,0.2652977930531195,3.474945993202178,5.137539971617242,0.2652977930531195,hicks_law
24,10.0,0.0,0.0,1.1685637717050081,2.7867074719409897,2.4254143709989973,True,-0.3612931009419924,qnei,0.3358485999633558,False,9,c93837cf-e5f7-4640-bc7f-1f743d49542d,spike,0.25,0,exact,value,learned,3.8125,"x0,x1,x2,x3",5.402837764670362,5.137539971617242,2.616130292729372,82.53988813637946,0.2652977930531195,3.4391620056824777,5.137539971617242,0.2652977930531195,hicks_law
25,10.0,0.0,4.762531105016848,0.5664057885352528,1.610510119795818,1.4353681874013247,True,-0.17514193239449338,qnei,0.364311599987559,False,9,c93837cf-e5f7-4640-bc7f-1f743d49542d,spike,0.25,0,exact,value,learned,3.8125,"x0,x1,x2,x3",5.402837764670362,5.137539971617242,3.7923276448745433,86.332215781254,0.2652977930531195,3.4532886312501603,5.137539971617242,0.2652977930531195,hicks_law
26,0.0,0.0,0.0,0.021913040250524318,5.384959770920841,5.402837764670362,True,0.01787799374952037,qnei,0.326324499968905,False,9,c93837cf-e5f7-4640-bc7f-1f743d49542d,spike,0.25,0,exact,value,learned,3.8125,"x0,x1,x2,x3",5.402837764670362,5.384959770920841,0.01787799374952037,86.35009377500353,0.01787799374952037,3.321157452884751,5.137539971617242,0.2652977930531195,hicks_law
27,0.0,3.6471385843471666,0.0,0.34213516943102124,3.8930895084012187,4.014612782799328,True,0.1215232743981094,qnei,0.3338594999513589,False,9,c93837cf-e5f7-4640-bc7f-1f743d49542d,spike,0.25,0,exact,value,learned,3.8125,"x0,x1,x2,x3",5.402837764670362,5.384959770920841,1.5097482562691429,87.85984203127268,0.01787799374952037,3.2540682233804694,5.137539971617242,0.2652977930531195,hicks_law
28,10.0,10.0,10.0,6.0892823389024935,-2.1456583899796486,-2.164720903987157,True,-0.01906251400750847,qnei,0.3001883000251837,False,9,c93837cf-e5f7-4640-bc7f-1f743d49542d,spike,0.25,0,exact,value,learned,3.8125,"x0,x1,x2,x3",5.402837764670362,5.384959770920841,7.54849615465001,95.40833818592269,0.01787799374952037,3.407440649497239,5.137539971617242,0.2652977930531195,hicks_law
29,0.0,0.0,10.0,4.212900899000833,2.0633273527738765,1.948444691978113,True,-0.11488266079576337,qnei,0.2913358999649063,False,9,c93837cf-e5f7-4640-bc7f-1f743d49542d,spike,0.25,0,exact,value,learned,3.8125,"x0,x1,x2,x3",5.402837764670362,5.384959770920841,3.339510411896485,98.74784859781917,0.01787799374952037,3.4050982275110058,5.137539971617242,0.2652977930531195,hicks_law
30,2.438491866271966,0.0,0.0,0.3343078563984658,4.146349067648782,4.328976286059131,True,0.18262721841034857,qnei,0.42207969998707995,False,9,c93837cf-e5f7-4640-bc7f-1f743d49542d,spike,0.25,0,exact,value,learned,3.8125,"x0,x1,x2,x3",5.402837764670362,5.384959770920841,1.2564886970215792,100.00433729484075,0.01787799374952037,3.333477909828025,5.137539971617242,0.2652977930531195,hicks_law
31,10.0,0.0,0.0,3.581270312617169,2.1698544864372766,2.385532863174373,True,0.21567837673709622,qnei,0.32846420002169907,False,9,c93837cf-e5f7-4640-bc7f-1f743d49542d,spike,0.25,0,exact,value,learned,3.8125,"x0,x1,x2,x3",5.402837764670362,5.384959770920841,3.232983278233085,103.23732057307383,0.01787799374952037,3.3302361475185105,5.137539971617242,0.2652977930531195,hicks_law
32,0.0,0.0,0.0,4.5686396617574,3.986587337916234,3.970595963268173,True,-0.015991374648061107,qnei,0.3206202000146732,False,9,c93837cf-e5f7-4640-bc7f-1f743d49542d,spike,0.25,0,exact,value,learned,3.8125,"x0,x1,x2,x3",5.402837764670362,5.384959770920841,1.4162504267541274,104.65357099982796,0.01787799374952037,3.270424093744624,5.137539971617242,0.2652977930531195,hicks_law
33,0.0,2.0692643168774856,0.0,0.0,4.47791206716597,4.823325990985839,True,0.34541392381986924,qnei,0.17928460001712665,False,9,c93837cf-e5f7-4640-bc7f-1f743d49542d,spike,0.25,0,exact,value,learned,3.8125,"x0,x1,x2,x3",5.402837764670362,5.384959770920841,0.924925697504392,105.57849669733235,0.01787799374952037,3.199348384767647,5.137539971617242,0.2652977930531195,hicks_law
34,5.404087983229191,7.237513386938254,3.175305691419471,6.519511086614109,-0.7106070718070664,-0.37941994590828393,True,0.33118712589878246,qnei,0.1597792999818921,False,9,c93837cf-e5f7-4640-bc7f-1f743d49542d,spike,0.25,0,exact,value,learned,3.8125,"x0,x1,x2,x3",5.402837764670362,5.384959770920841,6.113444836477428,111.69194153380978,0.01787799374952037,3.285057103935582,5.137539971617242,0.2652977930531195,hicks_law
35,2.322429443503486,0.0,2.066429210815571,0.0,3.488378820084165,3.5444035619017074,True,0.056024741817542356,qnei,0.14929460000712425,False,9,c93837cf-e5f7-4640-bc7f-1f743d49542d,spike,0.25,0,exact,value,learned,3.8125,"x0,x1,x2,x3",5.402837764670362,5.384959770920841,1.9144589445861966,113.60640047839598,0.01787799374952037,3.2458971565255994,5.137539971617242,0.2652977930531195,hicks_law
36,1.1308246221498774,0.8721823506312709,1.1774186758517668,0.209590120176385,3.4629549962491577,3.6833188692584486,True,0.22036387300929094,qnei,0.15604550001444295,False,9,c93837cf-e5f7-4640-bc7f-1f743d49542d,spike,0.25,0,exact,value,learned,3.8125,"x0,x1,x2,x3",5.402837764670362,5.384959770920841,1.9398827684212039,115.54628324681718,0.01787799374952037,3.209618979078255,5.137539971617242,0.2652977930531195,hicks_law
37,0.0,0.0,0.0,10.0,3.4251313180712093,3.3584734734004917,True,-0.06665784467071756,qnei,0.2759925000136718,False,9,c93837cf-e5f7-4640-bc7f-1f743d49542d,spike,0.25,0,exact,value,learned,3.8125,"x0,x1,x2,x3",5.402837764670362,5.384959770920841,1.9777064465991523,117.52398969341634,0.01787799374952037,3.176324045768009,5.137539971617242,0.2652977930531195,hicks_law
38,2.7390373623328106,5.304999811786042,0.0,0.0,2.7964308530259285,3.030253531423786,True,0.23382267839785742,qnei,0.1773475999943912,False,9,c93837cf-e5f7-4640-bc7f-1f743d49542d,spike,0.25,0,exact,value,learned,3.8125,"x0,x1,x2,x3",5.402837764670362,5.384959770920841,2.606406911644433,120.13039660506077,0.01787799374952037,3.1613262264489674,5.137539971617242,0.2652977930531195,hicks_law
