iteration,x0,x1,x2,x3,x4,x5,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,-445.7157566769605,-0.8665650718620554,121.79802914802895,-565.5731899536665,-422.48869850705285,513.8532275524435,-0.9762267742847551,-1.0436546834161342,True,-0.06742790913137908,logei,0.0,False,11,462501a4-efa8-4a2e-bae0-4c53e78d6aa6,spike,0.25,0,exact,value,learned,1.3125,"x0,x1,x2,x3,x4,x5",2.7538558156589708,-0.9762267742847551,3.7300825899437258,3.7300825899437258,3.7300825899437258,3.7300825899437258,-0.9762267742847551,3.7300825899437258,griewank
2,-515.4953086149638,-444.2712607208424,537.9941439501301,146.26031135565938,-157.20825152425084,13.668026163915215,-0.2974490717811511,-0.23357036173986984,True,0.06387871004128126,logei,0.0,False,11,462501a4-efa8-4a2e-bae0-4c53e78d6aa6,spike,0.25,0,exact,value,learned,1.3125,"x0,x1,x2,x3,x4,x5",2.7538558156589708,-0.2974490717811511,3.051304887440122,6.781387477383848,3.051304887440122,3.390693738691924,-0.2974490717811511,3.051304887440122,griewank
3,195.41154302015912,-269.6294210866448,-434.4383125596536,345.6475134047902,204.43270092298053,14.858776179792471,0.9791977447925131,1.5040481935155288,True,0.5248504487230157,logei,0.0,False,11,462501a4-efa8-4a2e-bae0-4c53e78d6aa6,spike,0.25,0,exact,value,learned,1.3125,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.9791977447925131,1.7746580708664577,8.556045548250305,1.7746580708664577,2.8520151827501015,0.9791977447925131,1.7746580708664577,griewank
4,380.08372316358964,58.890322644031585,577.0963671567665,-354.58864640394614,64.47643543827337,-19.650363691934785,0.4139567988793983,0.5091005834359061,True,0.09514378455650785,logei,0.0,False,11,462501a4-efa8-4a2e-bae0-4c53e78d6aa6,spike,0.25,0,exact,value,learned,1.3125,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.9791977447925131,2.3398990167795723,10.895944565029877,1.7746580708664577,2.7239861412574693,0.9791977447925131,1.7746580708664577,griewank
5,-176.0701739274623,109.91436473885221,-317.63852199890334,362.64322053418016,440.8002622108977,-445.48839452657876,0.1984878307961768,0.26151536972663425,True,0.06302753893045746,logei,0.0,False,11,462501a4-efa8-4a2e-bae0-4c53e78d6aa6,spike,0.25,0,exact,value,learned,1.3125,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.9791977447925131,2.555367984862794,13.451312549892672,1.7746580708664577,2.6902625099785342,0.9791977447925131,1.7746580708664577,griewank
6,389.65715045755445,-387.1957833189902,-524.453705617847,493.2831394162155,264.09720263166696,13.357637784260731,-0.6468219273021852,-0.24245869274990745,True,0.4043632345522778,logei,1.079896799987182,False,11,462501a4-efa8-4a2e-bae0-4c53e78d6aa6,spike,0.25,0,exact,value,learned,1.3125,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.9791977447925131,3.400677742961156,16.851990292853827,1.7746580708664577,2.808665048808971,0.9791977447925131,1.7746580708664577,griewank
7,140.2623038561795,-178.36107285284592,-270.51640754356094,201.04303726521402,166.78017885224244,6.356106504563771,2.006993027486898,2.340206069099557,True,0.33321304161265886,logei,1.2314910999848507,False,11,462501a4-efa8-4a2e-bae0-4c53e78d6aa6,spike,0.25,0,exact,value,learned,1.3125,"x0,x1,x2,x3,x4,x5",2.7538558156589708,2.006993027486898,0.7468627881720726,17.5988530810259,0.7468627881720726,2.514121868717986,2.006993027486898,0.7468627881720726,griewank
8,83.20842936129095,-149.3072341697714,-214.5518170510014,64.40948652174187,76.93784858459014,99.78530331251311,2.3762177814347747,2.8752797376565478,True,0.4990619562217731,logei,1.0184797000256367,False,11,462501a4-efa8-4a2e-bae0-4c53e78d6aa6,spike,0.25,0,exact,value,learned,1.3125,"x0,x1,x2,x3,x4,x5",2.7538558156589708,2.3762177814347747,0.37763803422419606,17.9764911152501,0.37763803422419606,2.2470613894062623,2.3762177814347747,0.37763803422419606,griewank
9,72.09568448520967,-73.64144016666805,209.14253778124458,-229.58718392759914,-56.555081038200655,171.03890875344035,2.207870020078125,2.46410697209622,True,0.25623695201809493,logei,0.7395795999909751,False,11,462501a4-efa8-4a2e-bae0-4c53e78d6aa6,spike,0.25,0,exact,value,learned,1.3125,"x0,x1,x2,x3,x4,x5",2.7538558156589708,2.3762177814347747,0.5459857955808456,18.522476910830946,0.37763803422419606,2.0580529900923272,2.3762177814347747,0.37763803422419606,griewank
10,60.575905397348905,45.09487078155895,-600.0,-125.40430661276602,93.94736477125339,172.3677326079551,1.1419182311364455,0.6183053619372921,True,-0.5236128691991534,logei,0.7841450999840163,False,11,462501a4-efa8-4a2e-bae0-4c53e78d6aa6,spike,0.25,0,exact,value,learned,1.3125,"x0,x1,x2,x3,x4,x5",2.7538558156589708,2.3762177814347747,1.6119375845225252,20.13441449535347,0.37763803422419606,2.013441449535347,2.3762177814347747,0.37763803422419606,griewank
11,55.7270137873168,-190.10901996906117,144.2329937507869,-62.60696402296167,-53.36539484128674,188.70149718139814,2.3490438002671,1.5044758821071036,True,-0.8445679181599965,logei,2.8537753999698907,False,11,462501a4-efa8-4a2e-bae0-4c53e78d6aa6,spike,0.25,0,exact,value,learned,1.3125,"x0,x1,x2,x3,x4,x5",2.7538558156589708,2.3762177814347747,0.4048120153918706,20.539226510745344,0.37763803422419606,1.8672024100677584,2.3762177814347747,0.37763803422419606,griewank
12,98.99788302987007,-88.20932843986688,-151.43383254467622,-176.41882466591412,-3.7735310878429487,159.71043791511582,2.3691166739809857,2.478295546540011,True,0.10917887255902547,logei,2.419191499997396,False,11,462501a4-efa8-4a2e-bae0-4c53e78d6aa6,spike,0.25,0,exact,value,learned,1.3125,"x0,x1,x2,x3,x4,x5",2.7538558156589708,2.3762177814347747,0.38473914167798506,20.92396565242333,0.37763803422419606,1.7436638043686108,2.3762177814347747,0.37763803422419606,griewank
13,-55.10614678649983,-114.32293150478722,406.3821689622697,-154.88809952317908,-52.06805536917783,83.29345087585985,1.9213379149127148,1.9144060405308096,True,-0.006931874381905123,logei,2.918055900023319,False,11,462501a4-efa8-4a2e-bae0-4c53e78d6aa6,spike,0.25,0,exact,value,learned,1.3125,"x0,x1,x2,x3,x4,x5",2.7538558156589708,2.3762177814347747,0.832517900746256,21.756483553169588,0.37763803422419606,1.673575657936122,2.3762177814347747,0.37763803422419606,griewank
14,60.35240634596234,-107.77484097149393,55.24264184474818,331.5774406213138,71.8425875360097,267.4614932680121,1.9560549568092238,2.01629220849708,True,0.06023725168785621,logei,3.328282800037414,False,11,462501a4-efa8-4a2e-bae0-4c53e78d6aa6,spike,0.25,0,exact,value,learned,1.3125,"x0,x1,x2,x3,x4,x5",2.7538558156589708,2.3762177814347747,0.7978008588497469,22.554284412019335,0.37763803422419606,1.6110203151442382,2.3762177814347747,0.37763803422419606,griewank
15,69.28390515475422,-107.52122188675389,-64.86310634089388,390.6750967342099,175.1750319530049,111.65592738993618,1.916017631968906,1.991668441960103,True,0.075650809991197,logei,2.760169200017117,False,11,462501a4-efa8-4a2e-bae0-4c53e78d6aa6,spike,0.25,0,exact,value,learned,1.3125,"x0,x1,x2,x3,x4,x5",2.7538558156589708,2.3762177814347747,0.8378381836900648,23.3921225957094,0.37763803422419606,1.55947483971396,2.3762177814347747,0.37763803422419606,griewank
16,-13.35125582469449,-154.69966047046998,-397.5352773191175,96.02147490486077,67.3189215873645,-17.61801691205728,1.9914411397003542,1.8669320337530824,True,-0.12450910594727183,logei,3.095274499966763,False,11,462501a4-efa8-4a2e-bae0-4c53e78d6aa6,spike,0.25,0,exact,value,learned,1.3125,"x0,x1,x2,x3,x4,x5",2.7538558156589708,2.3762177814347747,0.7624146759586166,24.154537271668016,0.37763803422419606,1.509658579479251,2.3762177814347747,0.37763803422419606,griewank
17,166.80809931988426,-138.32700765766168,215.1746606716351,-135.37896776142543,82.13921555028645,104.7151063003093,2.2468805359225215,1.9742603063613018,True,-0.2726202295612197,logei,5.188146200031042,False,11,462501a4-efa8-4a2e-bae0-4c53e78d6aa6,spike,0.25,0,exact,value,learned,1.3125,"x0,x1,x2,x3,x4,x5",2.7538558156589708,2.3762177814347747,0.5069752797364493,24.661512551404464,0.37763803422419606,1.4506772089061448,2.3762177814347747,0.37763803422419606,griewank
18,72.22246236937663,-111.94436729433109,-95.43059496980138,7.529137649087802,191.4764619442573,-56.625223833212104,2.484272917307598,2.2069634228528665,True,-0.27730949445473163,logei,5.605341700022109,False,11,462501a4-efa8-4a2e-bae0-4c53e78d6aa6,spike,0.25,0,exact,value,learned,1.3125,"x0,x1,x2,x3,x4,x5",2.7538558156589708,2.484272917307598,0.2695828983513726,24.931095449755837,0.2695828983513726,1.3850608583197688,2.3762177814347747,0.37763803422419606,griewank
19,135.53912058069835,-134.87651549526527,-306.4481885122791,100.1105964222689,207.75988145926618,188.46691517138123,1.9049363420255987,1.9161467627421722,True,0.011210420716573521,logei,7.070820300024934,False,11,462501a4-efa8-4a2e-bae0-4c53e78d6aa6,spike,0.25,0,exact,value,learned,1.3125,"x0,x1,x2,x3,x4,x5",2.7538558156589708,2.484272917307598,0.8489194736333721,25.78001492338921,0.2695828983513726,1.3568428907046952,2.3762177814347747,0.37763803422419606,griewank
20,73.67469920158216,-118.61509729980092,-125.52090150321987,-187.35657620067371,34.22833122368328,-13.663213983042048,2.4666435920532845,8.437402254867504,True,5.9707586628142195,logei,5.913309499970637,False,11,462501a4-efa8-4a2e-bae0-4c53e78d6aa6,spike,0.25,0,exact,value,learned,1.3125,"x0,x1,x2,x3,x4,x5",2.7538558156589708,2.484272917307598,0.2872122236056862,26.067227146994895,0.2695828983513726,1.3033613573497447,2.4666435920532845,0.2872122236056862,griewank
21,187.76080291541984,-107.53443044191188,-222.75823666583645,49.192755165241195,-202.02989814935913,-434.60167179661545,1.4893463471301285,1.4283421692923746,True,-0.061004177837753915,logei,6.451912399963476,False,11,462501a4-efa8-4a2e-bae0-4c53e78d6aa6,spike,0.25,0,exact,value,learned,1.3125,"x0,x1,x2,x3,x4,x5",2.7538558156589708,2.484272917307598,1.2645094685288423,27.331736615523738,0.2695828983513726,1.3015112674058922,2.4666435920532845,0.2872122236056862,griewank
22,149.83489198027002,-90.85307983242222,-72.72434774623687,-596.9388289900638,40.34330127305104,-600.0,-0.1287692083552633,0.23422620164648555,True,0.36299541000174884,logei,8.576703600003384,False,11,462501a4-efa8-4a2e-bae0-4c53e78d6aa6,spike,0.25,0,exact,value,learned,1.3125,"x0,x1,x2,x3,x4,x5",2.7538558156589708,2.484272917307598,2.882625024014234,30.214361639537973,0.2695828983513726,1.3733800745244533,2.4666435920532845,0.2872122236056862,griewank
23,180.0154778528495,-104.46092997831117,-187.25915451412763,88.60816457757022,-483.83400491046854,42.8251307680032,1.5132507424230186,1.692584715596167,True,0.17933397317314848,logei,9.264458400022704,False,11,462501a4-efa8-4a2e-bae0-4c53e78d6aa6,spike,0.25,0,exact,value,learned,1.3125,"x0,x1,x2,x3,x4,x5",2.7538558156589708,2.484272917307598,1.2406050732359521,31.454966712773924,0.2695828983513726,1.367607248381475,2.4666435920532845,0.2872122236056862,griewank
24,190.18936053604284,-105.50515316214225,-189.63795066310695,186.85654939125524,-67.31408423304796,12.064071666627328,2.2713731961907273,1.9964955316218869,True,-0.27487766456884044,logei,10.477525599999353,False,11,462501a4-efa8-4a2e-bae0-4c53e78d6aa6,spike,0.25,0,exact,value,learned,1.3125,"x0,x1,x2,x3,x4,x5",2.7538558156589708,2.484272917307598,0.48248261946824345,31.937449332242167,0.2695828983513726,1.3307270555100903,2.4666435920532845,0.2872122236056862,griewank
25,55.32961107505125,-83.42044787593737,57.15153095264774,-407.78218830721585,446.27871226078724,176.96470849755775,1.178934703164015,1.3434896788579067,True,0.16455497569389177,logei,7.8655056999996305,False,11,462501a4-efa8-4a2e-bae0-4c53e78d6aa6,spike,0.25,0,exact,value,learned,1.3125,"x0,x1,x2,x3,x4,x5",2.7538558156589708,2.484272917307598,1.5749211124949558,33.51237044473712,0.2695828983513726,1.3404948177894849,2.4666435920532845,0.2872122236056862,griewank
