iteration,x0,x1,x2,x3,x4,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,3.0033679477896715,0.6524516488288785,2.6026363654825047,0.4689836211867622,1.6110232157240438,-1.0005901198454061,-1.0005901198454061,False,0.0,qnei,0.0,False,10,a360eabe-1b96-405f-bb13-f681534df4bb,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,-1.0005901198454061,9.048311286534384,9.048311286534384,9.048311286534384,9.048311286534384,-1.0005901198454061,9.048311286534384,michalewicz
2,0.4270040294696573,2.1646719429357737,2.644428466875382,1.3367759402838328,3.0062717024781365,-0.9041066659867205,-0.9041066659867205,False,0.0,qnei,0.0,False,10,a360eabe-1b96-405f-bb13-f681534df4bb,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,-0.9041066659867205,8.951827832675699,18.000139119210083,8.951827832675699,9.000069559605041,-0.9041066659867205,8.951827832675699,michalewicz
3,2.5928597954643946,1.0625347409922794,1.8088051076493177,2.3665676041036434,2.598423652312292,-0.4821873194693632,-0.4821873194693632,False,0.0,qnei,0.0,False,10,a360eabe-1b96-405f-bb13-f681534df4bb,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,-0.4821873194693632,8.529908486158341,26.530047605368424,8.529908486158341,8.843349201789474,-0.4821873194693632,8.529908486158341,michalewicz
4,2.9324834426054185,0.45551426842114484,2.3423093136775615,0.43778531524264847,2.847944080472264,-0.9783677662708578,-0.9783677662708578,False,0.0,qnei,0.0,False,10,a360eabe-1b96-405f-bb13-f681534df4bb,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,-0.4821873194693632,9.026088932959835,35.55613653832826,8.529908486158341,8.889034134582065,-0.4821873194693632,8.529908486158341,michalewicz
5,0.7103594437025119,2.680531730054245,0.9623259560190263,3.0468119599852646,1.6268241612762053,-0.1892230366634753,-0.1892230366634753,False,0.0,qnei,0.0,False,10,a360eabe-1b96-405f-bb13-f681534df4bb,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,-0.1892230366634753,8.236944203352454,43.79308074168071,8.236944203352454,8.758616148336142,-0.1892230366634753,8.236944203352454,michalewicz
6,3.141592653589793,2.057847202197583,0.0,3.141592653589793,0.0,-1.0539381476976677,-1.0539381476976677,False,0.0,qnei,0.6203154000104405,False,10,a360eabe-1b96-405f-bb13-f681534df4bb,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,-0.1892230366634753,9.101659314386646,52.894740056067356,8.236944203352454,8.815790009344559,-0.1892230366634753,8.236944203352454,michalewicz
7,1.072876068396096,1.9752365865207897,1.5621461203829072,2.8566723959644116,2.5832204285081435,-0.7964058701927946,-0.7964058701927946,False,0.0,qnei,1.8594936999725178,False,10,a360eabe-1b96-405f-bb13-f681534df4bb,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,-0.1892230366634753,8.844127036881773,61.73886709294913,8.236944203352454,8.81983815613559,-0.1892230366634753,8.236944203352454,michalewicz
8,0.5146780695920621,2.9235915317763213,0.7560694584375341,3.141592653589793,1.377838556287647,-1.0527450118303976,-1.0527450118303976,False,0.0,qnei,1.703185599995777,False,10,a360eabe-1b96-405f-bb13-f681534df4bb,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,-0.1892230366634753,9.100466178519376,70.8393332714685,8.236944203352454,8.854916658933563,-0.1892230366634753,8.236944203352454,michalewicz
9,0.7592306402102492,2.6198680977089697,1.0138086489623346,3.023134971534132,1.6890108919845108,0.7132960316428274,0.7132960316428274,False,0.0,qnei,2.161757400026545,False,10,a360eabe-1b96-405f-bb13-f681534df4bb,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,0.7132960316428274,7.334425135046151,78.17375840651465,7.334425135046151,8.685973156279406,0.7132960316428274,7.334425135046151,michalewicz
10,0.7925667813473681,2.5784915117770675,1.0489263502995638,3.0069826296209854,1.7314313682773914,1.006312903192581,1.006312903192581,False,0.0,qnei,2.561101100000087,False,10,a360eabe-1b96-405f-bb13-f681534df4bb,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.006312903192581,7.041408263496397,85.21516667001104,7.041408263496397,8.521516667001105,1.006312903192581,7.041408263496397,michalewicz
11,1.0907492209987284,2.067153466548603,1.0574336509200333,2.6595890459366105,1.8158660773263056,-0.8415920326077407,-0.8415920326077407,False,0.0,qnei,3.127208399993833,False,10,a360eabe-1b96-405f-bb13-f681534df4bb,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.006312903192581,8.88931319929672,94.10447986930777,7.041408263496397,8.554952715391615,1.006312903192581,7.041408263496397,michalewicz
12,0.8054117000613525,2.3277279499827763,1.9093697936503846,3.141592653589793,3.0742410912558897,-1.053929580538759,-1.053929580538759,False,0.0,qnei,3.777074000041466,False,10,a360eabe-1b96-405f-bb13-f681534df4bb,none,0.0,0,exact,value,learned,1e-06,"x0,x1,x2,x3,x4",8.047721166688978,1.006312903192581,9.101650747227737,103.2061306165355,7.041408263496397,8.600510884711293,1.006312903192581,7.041408263496397,michalewicz
