iteration,x0,x1,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,-380.3441123643396,-0.7394688613222797,-1.3387277521627092,-1.1323719514020312,True,0.20635580076067805,qnei,0.0,False,11,757700cd-044c-457a-8241-ad6022d6c6e3,spike,0.25,0,exact,value,learned,60.0625,"x0,x1",3.2050455310550587,-1.3387277521627092,4.543773283217768,4.543773283217768,4.543773283217768,4.543773283217768,-1.3387277521627092,4.543773283217768,eggholder
2,103.93431820631804,-482.6224554271288,-1.3260358375542693,-1.6434481503467038,True,-0.3174123127924344,qnei,0.0,False,11,757700cd-044c-457a-8241-ad6022d6c6e3,spike,0.25,0,exact,value,learned,60.0625,"x0,x1",3.2050455310550587,-1.3260358375542693,4.531081368609328,9.074854651827096,4.531081368609328,4.537427325913548,-1.3387277521627092,4.543773283217768,eggholder
3,-360.5236893926851,438.48808751141837,-0.7350220338372151,-0.6110169772983522,True,0.12400505653886285,qnei,0.0,False,11,757700cd-044c-457a-8241-ad6022d6c6e3,spike,0.25,0,exact,value,learned,60.0625,"x0,x1",3.2050455310550587,-0.7350220338372151,3.940067564892274,13.01492221671937,3.940067564892274,4.338307405573123,-0.7350220338372151,3.940067564892274,eggholder
4,-439.88933001810244,-379.11147581511887,2.3037211741727988,2.311034555898869,True,0.007313381726070212,qnei,0.0,False,11,757700cd-044c-457a-8241-ad6022d6c6e3,spike,0.25,0,exact,value,learned,60.0625,"x0,x1",3.2050455310550587,2.3037211741727988,0.90132435688226,13.91624657360163,0.90132435688226,3.4790616434004074,2.3037211741727988,0.90132435688226,eggholder
5,459.08833617077767,124.80879902349602,-0.9373089677051462,8.531680537577218,True,9.468989505282364,qnei,0.0,False,11,757700cd-044c-457a-8241-ad6022d6c6e3,spike,0.25,0,exact,value,learned,60.0625,"x0,x1",3.2050455310550587,2.3037211741727988,4.142354498760205,18.058601072361835,0.90132435688226,3.611720214472367,-0.9373089677051462,4.142354498760205,eggholder
6,512.0,484.123294579513,-1.247049473964154,-1.2140407939470759,True,0.03300868001707813,qnei,0.2308560999808833,False,11,757700cd-044c-457a-8241-ad6022d6c6e3,spike,0.25,0,exact,value,learned,60.0625,"x0,x1",3.2050455310550587,2.3037211741727988,4.4520950050192125,22.51069607738105,0.90132435688226,3.751782679563508,-0.9373089677051462,4.142354498760205,eggholder
7,486.636799781451,50.1901881360323,1.1232412926226485,3.0345501465204676,True,1.9113088538978191,qnei,0.22317980002844706,False,11,757700cd-044c-457a-8241-ad6022d6c6e3,spike,0.25,0,exact,value,learned,60.0625,"x0,x1",3.2050455310550587,2.3037211741727988,2.0818042384324102,24.59250031581346,0.90132435688226,3.513214330830494,-0.9373089677051462,4.142354498760205,eggholder
8,512.0,163.15273169524272,-1.4487619341846854,-1.7936573929909954,True,-0.34489545880631,qnei,0.2784436999936588,False,11,757700cd-044c-457a-8241-ad6022d6c6e3,spike,0.25,0,exact,value,learned,60.0625,"x0,x1",3.2050455310550587,2.3037211741727988,4.653807465239744,29.246307781053204,0.90132435688226,3.6557884726316505,-0.9373089677051462,4.142354498760205,eggholder
9,445.33731950967905,433.2923620531724,1.0266452798285415,0.8746097819779031,True,-0.1520354978506384,qnei,0.22973399999318644,False,11,757700cd-044c-457a-8241-ad6022d6c6e3,spike,0.25,0,exact,value,learned,60.0625,"x0,x1",3.2050455310550587,2.3037211741727988,2.1784002512265173,31.42470803227972,0.90132435688226,3.4916342258088577,-0.9373089677051462,4.142354498760205,eggholder
10,451.09853752826467,57.6957289660897,-0.5901680197831796,-0.4333657468166399,True,0.15680227296653965,qnei,0.2434656000114046,False,11,757700cd-044c-457a-8241-ad6022d6c6e3,spike,0.25,0,exact,value,learned,60.0625,"x0,x1",3.2050455310550587,2.3037211741727988,3.7952135508382385,35.21992158311796,0.90132435688226,3.5219921583117957,-0.9373089677051462,4.142354498760205,eggholder
