iteration,x0,x1,x2,x3,x4,x5,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,444.2990447641016,-255.81934909493356,123.77778006187418,333.0408995042145,259.2895555242783,498.45614458860905,0.057472194418865245,-0.09261282285996703,True,-0.15008501727883228,qnei,0.0,False,9,5d760197-ea8d-43ff-8c0c-0f6afcd1c09d,spike,0.25,0,exact,value,learned,60.0625,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.057472194418865245,2.6963836212401056,2.6963836212401056,2.6963836212401056,2.6963836212401056,0.057472194418865245,2.6963836212401056,griewank
2,432.47237901946164,501.88515485851485,-568.0947186388834,-75.30239984458956,-18.06680762725432,-521.8149631558709,-1.21653991397448,-19.866155530146447,True,-18.649615616171968,qnei,0.0,False,9,5d760197-ea8d-43ff-8c0c-0f6afcd1c09d,spike,0.25,0,exact,value,learned,60.0625,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.057472194418865245,3.9703957296334504,6.666779350873556,2.6963836212401056,3.333389675436778,0.057472194418865245,2.6963836212401056,griewank
3,-593.2487391847285,396.7457243655084,579.9626931434107,341.53182320721544,-221.27581202607223,246.40044550734456,-1.3389954932437236,12.392920660530582,True,13.731916153774305,qnei,0.0,False,9,5d760197-ea8d-43ff-8c0c-0f6afcd1c09d,spike,0.25,0,exact,value,learned,60.0625,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.057472194418865245,4.092851308902694,10.75963065977625,2.6963836212401056,3.5865435532587497,-1.3389954932437236,4.092851308902694,griewank
4,-240.98271216210395,288.8981794508984,-264.30333630205564,339.1090983937578,585.2888962734921,583.4862591362862,-1.0998450984185968,-0.8410749906832362,True,0.2587701077353606,qnei,0.0,False,9,5d760197-ea8d-43ff-8c0c-0f6afcd1c09d,spike,0.25,0,exact,value,learned,60.0625,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.057472194418865245,3.8537009140775673,14.613331573853817,2.6963836212401056,3.653332893463454,-1.3389954932437236,4.092851308902694,griewank
5,459.435080396011,495.3720621407015,249.84829692380697,65.39625271621048,507.8858496842647,-492.32306417482494,-1.15444362565057,-1.4140678279117747,True,-0.25962420226120475,qnei,0.0,False,9,5d760197-ea8d-43ff-8c0c-0f6afcd1c09d,spike,0.25,0,exact,value,learned,60.0625,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.057472194418865245,3.9082994413095404,18.521631015163358,2.6963836212401056,3.7043262030326716,-1.3389954932437236,4.092851308902694,griewank
6,-600.0,600.0,600.0,533.7233030570087,388.1537106558912,326.42552055414535,-3.429456458449696,-3.0878220207725957,True,0.34163443767710033,qnei,0.34492039994802326,False,9,5d760197-ea8d-43ff-8c0c-0f6afcd1c09d,spike,0.25,0,exact,value,learned,60.0625,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.057472194418865245,6.183312274108667,24.704943289272023,2.6963836212401056,4.117490548212004,-1.3389954932437236,4.092851308902694,griewank
7,-469.00135806592283,128.72227210026583,600.0,313.7079484596603,-384.47985023784804,390.1018780394604,-1.0434825097186067,-1.1561527023444151,True,-0.11267019262580846,qnei,0.2775306000257842,False,9,5d760197-ea8d-43ff-8c0c-0f6afcd1c09d,spike,0.25,0,exact,value,learned,60.0625,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.057472194418865245,3.797338325377577,28.5022816146496,2.6963836212401056,4.0717545163785145,-1.3389954932437236,4.092851308902694,griewank
8,-600.0,516.6214616083014,600.0,319.0973221028809,-306.20688893984857,153.48919441386798,-1.847358958994471,-2.097035312821863,True,-0.24967635382739206,qnei,0.33344379998743534,False,9,5d760197-ea8d-43ff-8c0c-0f6afcd1c09d,spike,0.25,0,exact,value,learned,60.0625,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.057472194418865245,4.6012147746534415,33.10349638930304,2.6963836212401056,4.13793704866288,-1.3389954932437236,4.092851308902694,griewank
9,-593.8291239546934,337.63544149514735,576.5853395403302,353.48210698079293,-185.30940066297472,294.81126893884436,-1.23942619440562,-0.9872927125230355,True,0.25213348188258444,qnei,0.3226380000123754,False,9,5d760197-ea8d-43ff-8c0c-0f6afcd1c09d,spike,0.25,0,exact,value,learned,60.0625,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.057472194418865245,3.9932820100645907,37.09677839936763,2.6963836212401056,4.121864266596403,-1.3389954932437236,4.092851308902694,griewank
10,-600.0,313.3140135486902,318.9515001024163,128.14838832276416,34.43156460008784,239.64171143489912,0.3234766740387458,-24.1428278411033,True,-24.466304515142046,qnei,0.2629190000006929,False,9,5d760197-ea8d-43ff-8c0c-0f6afcd1c09d,spike,0.25,0,exact,value,learned,60.0625,"x0,x1,x2,x3,x4,x5",2.7538558156589708,0.3234766740387458,2.430379141620225,39.52715754098786,2.430379141620225,3.9527157540987856,-1.3389954932437236,4.092851308902694,griewank
