iteration,x0,x1,x2,x3,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,8.702492039700847,2.8681720908755537,6.031481500515619,7.775340829201788,-0.28272767254561304,-0.275319905694325,True,0.007407766851288022,logei,0.0,False,9,3fc5fadd-f79d-425e-8ca3-af70eee73c2a,spike,0.25,0,exact,value,learned,60.0625,"x0,x1,x2,x3",56.774074038018384,-0.28272767254561304,57.056801710563995,57.056801710563995,57.056801710563995,57.056801710563995,-0.28272767254561304,57.056801710563995,shekel
2,7.1607462960356525,9.153801204905076,8.603936491828847,9.182376290487625,0.39788951640408987,0.16369771840787067,True,-0.2341917979962192,logei,0.0,False,9,3fc5fadd-f79d-425e-8ca3-af70eee73c2a,spike,0.25,0,exact,value,learned,60.0625,"x0,x1,x2,x3",56.774074038018384,0.39788951640408987,56.37618452161429,113.43298623217828,56.37618452161429,56.71649311608914,0.39788951640408987,56.37618452161429,shekel
3,0.2658773446759721,4.372480001295087,4.84944326977288,0.6515419737010752,-0.5141395939949889,-0.030266066563475524,True,0.48387352743151335,logei,0.0,False,9,3fc5fadd-f79d-425e-8ca3-af70eee73c2a,spike,0.25,0,exact,value,learned,60.0625,"x0,x1,x2,x3",56.774074038018384,0.39788951640408987,57.288213632013374,170.72119986419165,56.37618452161429,56.90706662139721,0.39788951640408987,56.37618452161429,shekel
4,0.056260506793929244,8.30621436971257,9.833022442861756,7.846098526726796,-1.0386986953159836,-1.5268647075189357,True,-0.4881660122029521,logei,0.0,False,9,3fc5fadd-f79d-425e-8ca3-af70eee73c2a,spike,0.25,0,exact,value,learned,60.0625,"x0,x1,x2,x3",56.774074038018384,0.39788951640408987,57.81277273333437,228.53397259752603,56.37618452161429,57.13349314938151,0.39788951640408987,56.37618452161429,shekel
5,3.1560348997827314,7.053337045894538,2.991810731982467,7.407484828757487,9.301000123128077,9.582956227104322,True,0.2819561039762455,logei,0.0,False,9,3fc5fadd-f79d-425e-8ca3-af70eee73c2a,spike,0.25,0,exact,value,learned,60.0625,"x0,x1,x2,x3",56.774074038018384,9.301000123128077,47.47307391489031,276.0070465124163,47.47307391489031,55.20140930248326,9.301000123128077,47.47307391489031,shekel
6,2.8949674219412955,7.738077243507398,1.6376707498735867,8.10981550182042,1.7862180813253838,1.839895505962835,True,0.05367742463745118,logei,0.26228980004088953,False,9,3fc5fadd-f79d-425e-8ca3-af70eee73c2a,spike,0.25,0,exact,value,learned,60.0625,"x0,x1,x2,x3",56.774074038018384,9.301000123128077,54.987855956693,330.9949024691093,47.47307391489031,55.16581707818489,9.301000123128077,47.47307391489031,shekel
7,3.6698370410589316,7.248823873274998,3.387950073054994,8.191777600916573,2.1611887578338673,2.1290651497693176,True,-0.032123608064549725,logei,0.3628993000020273,False,9,3fc5fadd-f79d-425e-8ca3-af70eee73c2a,spike,0.25,0,exact,value,learned,60.0625,"x0,x1,x2,x3",56.774074038018384,9.301000123128077,54.612885280184514,385.60778774929383,47.47307391489031,55.08682682132769,9.301000123128077,47.47307391489031,shekel
8,3.536006361876112,6.827544416686018,2.852252703010197,7.192639421422017,7.080282230286871,7.126857871252843,True,0.04657564096597255,logei,0.49101519997930154,False,9,3fc5fadd-f79d-425e-8ca3-af70eee73c2a,spike,0.25,0,exact,value,learned,60.0625,"x0,x1,x2,x3",56.774074038018384,9.301000123128077,49.693791807731515,435.3015795570253,47.47307391489031,54.412697444628165,9.301000123128077,47.47307391489031,shekel
9,2.9539835457253454,5.521312908751722,3.233934081220476,7.500895444745739,1.7678581183120843,1.770613605318137,True,0.0027554870060526593,logei,0.42709469998953864,False,9,3fc5fadd-f79d-425e-8ca3-af70eee73c2a,spike,0.25,0,exact,value,learned,60.0625,"x0,x1,x2,x3",56.774074038018384,9.301000123128077,55.0062159197063,490.3077954767316,47.47307391489031,54.47864394185907,9.301000123128077,47.47307391489031,shekel
10,4.190016635843968,7.3691338190237685,3.125280997091357,7.451307942509449,2.4813975839503386,2.5467508711033773,True,0.06535328715303867,logei,0.48629920004168525,False,9,3fc5fadd-f79d-425e-8ca3-af70eee73c2a,spike,0.25,0,exact,value,learned,60.0625,"x0,x1,x2,x3",56.774074038018384,9.301000123128077,54.292676454068044,544.6004719307996,47.47307391489031,54.46004719307996,9.301000123128077,47.47307391489031,shekel
