iteration,Trajectory,TrajectoryAlpha,TrajectorySize,EgoTrajectory,EgoTrajectoryAlpha,EgoTrajectorySize,PedestrianIntention,PedestrianIntentionSize,SemanticSegmentation,SemanticSegmentationAlpha,CarStatus,CarStatusAlpha,CoveredArea,CoveredAreaAlpha,CoveredAreaSize,OccludedCars,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.8647975870165865,0.855302514932059,0.8110233987843422,0.2614463614164766,0.0771994577184214,0.9464657804460633,0.6137916910471019,0.00263075362629972,0.9104071780658378,0.9848034752375554,0.2862966041661704,0.8136611230389795,0.08240794388130823,0.4382800473034214,0.8177037747448075,0.40873333268977363,0.2017905092592585,0.2885599801807628,True,0.08676947092150428,logei,0.0,False,13,c4087974-faf7-4ff2-9b43-aee2c42d81b0,gaussian,0.156303,0,extra_trees,composite,learned,0.024430627809,"Trajectory,TrajectoryAlpha,TrajectorySize,EgoTrajectory,EgoTrajectoryAlpha,EgoTrajectorySize,PedestrianIntention,PedestrianIntentionSize,SemanticSegmentation,SemanticSegmentationAlpha,CarStatus,CarStatusAlpha,CoveredArea,CoveredAreaAlpha,CoveredAreaSize,OccludedCars",0.997101851851852,0.2017905092592585,0.7953113425925935,0.7953113425925935,0.7953113425925935,0.7953113425925935,0.2017905092592585,0.7953113425925935,opticarvis
2,0.5177497071869771,0.11703988347506633,0.8140065192501118,0.4978674083325122,0.24827919488667194,0.7766861560008684,0.9792282891895626,0.53834323407629,0.7371502226207836,0.9927606888483627,0.03012749637532397,0.5989776523667713,0.9672952777915866,0.11733657384331686,0.2231014949939203,0.5502283889833729,0.33917083333333314,0.32223377946231385,True,-0.016937053871019292,logei,0.0,False,13,c4087974-faf7-4ff2-9b43-aee2c42d81b0,gaussian,0.156303,0,extra_trees,composite,learned,0.024430627809,"Trajectory,TrajectoryAlpha,TrajectorySize,EgoTrajectory,EgoTrajectoryAlpha,EgoTrajectorySize,PedestrianIntention,PedestrianIntentionSize,SemanticSegmentation,SemanticSegmentationAlpha,CarStatus,CarStatusAlpha,CoveredArea,CoveredAreaAlpha,CoveredAreaSize,OccludedCars",0.997101851851852,0.33917083333333314,0.6579310185185188,1.4532423611111123,0.6579310185185188,0.7266211805555561,0.33917083333333314,0.6579310185185188,opticarvis
3,0.722327310719796,0.5527524153948293,0.5477017956423661,0.0515388294743615,0.7392297121947433,0.32070150992281876,0.07396187379140517,0.9584683194126471,0.6596713208492915,0.45578296007926533,0.7326514668471766,0.4778900309019434,0.12472133330591129,0.6045798880373442,0.7469364245619166,0.7441468288332692,0.41150980750487365,0.36648590976978085,True,-0.0450238977350928,logei,0.0,False,13,c4087974-faf7-4ff2-9b43-aee2c42d81b0,gaussian,0.156303,0,extra_trees,composite,learned,0.024430627809,"Trajectory,TrajectoryAlpha,TrajectorySize,EgoTrajectory,EgoTrajectoryAlpha,EgoTrajectorySize,PedestrianIntention,PedestrianIntentionSize,SemanticSegmentation,SemanticSegmentationAlpha,CarStatus,CarStatusAlpha,CoveredArea,CoveredAreaAlpha,CoveredAreaSize,OccludedCars",0.997101851851852,0.41150980750487365,0.5855920443469783,2.0388344054580907,0.5855920443469783,0.6796114684860303,0.41150980750487365,0.5855920443469783,opticarvis
4,0.5515674012638448,0.9284915198370209,0.9457125619000804,0.8748696622696762,0.3716436351591228,0.2677700742588114,0.5298119827496722,0.6543102125920736,0.1605932683017619,0.5594645356105491,0.4389482531021668,0.0016647948525158052,0.41882978512031743,0.3998988932189942,0.9633892562820303,0.054514811423870047,0.6898067129629627,0.8857183483916659,True,0.19591163542870316,logei,0.0,False,13,c4087974-faf7-4ff2-9b43-aee2c42d81b0,gaussian,0.156303,0,extra_trees,composite,learned,0.024430627809,"Trajectory,TrajectoryAlpha,TrajectorySize,EgoTrajectory,EgoTrajectoryAlpha,EgoTrajectorySize,PedestrianIntention,PedestrianIntentionSize,SemanticSegmentation,SemanticSegmentationAlpha,CarStatus,CarStatusAlpha,CoveredArea,CoveredAreaAlpha,CoveredAreaSize,OccludedCars",0.997101851851852,0.6898067129629627,0.30729513888888926,2.34612954434698,0.30729513888888926,0.586532386086745,0.6898067129629627,0.30729513888888926,opticarvis
5,0.9285460335053835,0.9083194924222268,0.5998002500769789,0.1872290474547189,0.7913043338720918,0.16152169054797472,0.3206403846444068,0.6664230870814164,0.4252353008413222,0.4609252157924165,0.30315722537378154,0.03723728048946706,0.3607681347214251,0.8266223901229942,0.8301617250714785,0.08106201414430547,0.6094502314814826,0.5711177474890394,True,-0.038332483992443156,logei,0.0,False,13,c4087974-faf7-4ff2-9b43-aee2c42d81b0,gaussian,0.156303,0,extra_trees,composite,learned,0.024430627809,"Trajectory,TrajectoryAlpha,TrajectorySize,EgoTrajectory,EgoTrajectoryAlpha,EgoTrajectorySize,PedestrianIntention,PedestrianIntentionSize,SemanticSegmentation,SemanticSegmentationAlpha,CarStatus,CarStatusAlpha,CoveredArea,CoveredAreaAlpha,CoveredAreaSize,OccludedCars",0.997101851851852,0.6898067129629627,0.3876516203703694,2.733781164717349,0.30729513888888926,0.5467562329434699,0.6898067129629627,0.30729513888888926,opticarvis
6,0.5622379402004379,1.0,1.0,1.0,0.4379428192122156,0.0,0.5751610566290846,0.6327298331349506,0.0,0.3215877973578899,0.3315520673817579,0.0,0.4898600703104214,0.570257760618238,1.0,0.0,0.5737037037037034,0.4415561365116373,True,-0.1321475671920661,logei,1.326841300004162,False,13,c4087974-faf7-4ff2-9b43-aee2c42d81b0,gaussian,0.156303,0,extra_trees,composite,learned,0.024430627809,"Trajectory,TrajectoryAlpha,TrajectorySize,EgoTrajectory,EgoTrajectoryAlpha,EgoTrajectorySize,PedestrianIntention,PedestrianIntentionSize,SemanticSegmentation,SemanticSegmentationAlpha,CarStatus,CarStatusAlpha,CoveredArea,CoveredAreaAlpha,CoveredAreaSize,OccludedCars",0.997101851851852,0.6898067129629627,0.4233981481481486,3.1571793128654977,0.30729513888888926,0.5261965521442497,0.6898067129629627,0.30729513888888926,opticarvis
7,0.5622379402004379,1.0,1.0,1.0,0.4379428192122156,0.0,0.5751610566290846,0.6327298331349506,0.0,0.3215877973578899,0.3315520673817579,0.0,0.4898600703104214,0.570257760618238,1.0,0.0,0.5737037037037034,0.7184026051733067,True,0.1446989014696033,logei,0.0,False,13,c4087974-faf7-4ff2-9b43-aee2c42d81b0,gaussian,0.156303,0,extra_trees,composite,learned,0.024430627809,"Trajectory,TrajectoryAlpha,TrajectorySize,EgoTrajectory,EgoTrajectoryAlpha,EgoTrajectorySize,PedestrianIntention,PedestrianIntentionSize,SemanticSegmentation,SemanticSegmentationAlpha,CarStatus,CarStatusAlpha,CoveredArea,CoveredAreaAlpha,CoveredAreaSize,OccludedCars",0.997101851851852,0.6898067129629627,0.4233981481481486,3.5805774610136463,0.30729513888888926,0.5115110658590923,0.6898067129629627,0.30729513888888926,opticarvis
8,0.5489546031007573,1.0,0.9539195874289764,0.9090464030497329,0.3296690336249007,0.37047391430533544,0.5289811536973599,0.6480174598782068,0.13983931952269363,0.6904599489943342,0.46986692480026165,0.0,0.401825837117644,0.31119657939788065,1.0,0.0,0.6781354166666667,0.22090945394469735,True,-0.4572259627219693,logei,0.8075946000171825,False,13,c4087974-faf7-4ff2-9b43-aee2c42d81b0,gaussian,0.156303,0,extra_trees,composite,learned,0.024430627809,"Trajectory,TrajectoryAlpha,TrajectorySize,EgoTrajectory,EgoTrajectoryAlpha,EgoTrajectorySize,PedestrianIntention,PedestrianIntentionSize,SemanticSegmentation,SemanticSegmentationAlpha,CarStatus,CarStatusAlpha,CoveredArea,CoveredAreaAlpha,CoveredAreaSize,OccludedCars",0.997101851851852,0.6898067129629627,0.3189664351851853,3.8995438961988316,0.30729513888888926,0.48744298702485395,0.6898067129629627,0.30729513888888926,opticarvis
9,0.5489546031007573,1.0,0.9539195874289764,0.9090464030497329,0.3296690336249007,0.37047391430533544,0.5289811536973599,0.6480174598782068,0.13983931952269363,0.6904599489943342,0.46986692480026165,0.0,0.401825837117644,0.31119657939788065,1.0,0.0,0.6781354166666667,0.49336482420946437,True,-0.1847705924572023,logei,0.0,False,13,c4087974-faf7-4ff2-9b43-aee2c42d81b0,gaussian,0.156303,0,extra_trees,composite,learned,0.024430627809,"Trajectory,TrajectoryAlpha,TrajectorySize,EgoTrajectory,EgoTrajectoryAlpha,EgoTrajectorySize,PedestrianIntention,PedestrianIntentionSize,SemanticSegmentation,SemanticSegmentationAlpha,CarStatus,CarStatusAlpha,CoveredArea,CoveredAreaAlpha,CoveredAreaSize,OccludedCars",0.997101851851852,0.6898067129629627,0.3189664351851853,4.218510331384017,0.30729513888888926,0.4687233701537797,0.6898067129629627,0.30729513888888926,opticarvis
10,0.551915237202983,0.9572736465387487,0.9744948114485107,0.932326211763584,0.36237323539117383,0.22261232468751782,0.5741353424227501,0.6201364001030325,0.11491037152629167,0.5274745872154026,0.3866945164052746,0.0,0.456686255003803,0.4246170816280057,0.9746484101666948,0.0,0.6432557870370373,0.9379718954580848,True,0.29471610842104745,logei,0.7749316999688745,False,13,c4087974-faf7-4ff2-9b43-aee2c42d81b0,gaussian,0.156303,0,extra_trees,composite,learned,0.024430627809,"Trajectory,TrajectoryAlpha,TrajectorySize,EgoTrajectory,EgoTrajectoryAlpha,EgoTrajectorySize,PedestrianIntention,PedestrianIntentionSize,SemanticSegmentation,SemanticSegmentationAlpha,CarStatus,CarStatusAlpha,CoveredArea,CoveredAreaAlpha,CoveredAreaSize,OccludedCars",0.997101851851852,0.6898067129629627,0.3538460648148146,4.572356396198832,0.30729513888888926,0.4572356396198832,0.6432557870370373,0.3538460648148146,opticarvis
