iteration,x0,x1,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,3.269722766055607,9.872768433379255,-0.948972229041169,-0.948972229041169,False,0.0,qnei,0.0,False,8,67658bbf-1f8a-4d89-a6f0-ab6e06fa8574,none,0.0,0,gradient_boosting,composite,learned,1e-06,"x0,x1",2.919506240280186,-0.948972229041169,3.868478469321355,3.868478469321355,3.868478469321355,3.868478469321355,-0.948972229041169,3.868478469321355,iso_branin
2,3.1871083848551676,7.88548935820029,0.04143529659805213,0.04143529659805213,False,0.0,qnei,0.0,False,8,67658bbf-1f8a-4d89-a6f0-ab6e06fa8574,none,0.0,0,gradient_boosting,composite,learned,1e-06,"x0,x1",2.919506240280186,0.04143529659805213,2.878070943682134,6.746549413003489,2.878070943682134,3.3732747065017445,0.04143529659805213,2.878070943682134,iso_branin
3,8.69896511696216,3.9108480653919395,0.6035797788944092,0.6035797788944092,False,0.0,qnei,0.0,False,8,67658bbf-1f8a-4d89-a6f0-ab6e06fa8574,none,0.0,0,gradient_boosting,composite,learned,1e-06,"x0,x1",2.919506240280186,0.6035797788944092,2.315926461385777,9.062475874389266,2.315926461385777,3.0208252914630886,0.6035797788944092,2.315926461385777,iso_branin
4,4.378818731227988,3.7274890308935307,0.3925822733147538,0.3925822733147538,False,0.0,qnei,0.0,False,8,67658bbf-1f8a-4d89-a6f0-ab6e06fa8574,none,0.0,0,gradient_boosting,composite,learned,1e-06,"x0,x1",2.919506240280186,0.6035797788944092,2.526923966965432,11.589399841354698,2.315926461385777,2.8973499603386745,0.6035797788944092,2.315926461385777,iso_branin
5,1.0695359647277436,4.789654541627169,1.0910876364887196,1.0910876364887196,False,0.0,qnei,0.0,False,8,67658bbf-1f8a-4d89-a6f0-ab6e06fa8574,none,0.0,0,gradient_boosting,composite,learned,1e-06,"x0,x1",2.919506240280186,1.0910876364887196,1.8284186037914665,13.417818445146164,1.8284186037914665,2.6835636890292327,1.0910876364887196,1.8284186037914665,iso_branin
6,0.0,5.757988597866765,-0.08362763868607742,-0.08362763868607742,False,0.0,qnei,0.18778869998641312,False,8,67658bbf-1f8a-4d89-a6f0-ab6e06fa8574,none,0.0,0,gradient_boosting,composite,learned,1e-06,"x0,x1",2.919506240280186,1.0910876364887196,3.0031338789662634,16.420952324112427,1.8284186037914665,2.7368253873520714,1.0910876364887196,1.8284186037914665,iso_branin
7,1.5315670704039426,4.4167021787014535,1.166313760895799,1.166313760895799,False,0.0,qnei,0.27773130004061386,False,8,67658bbf-1f8a-4d89-a6f0-ab6e06fa8574,none,0.0,0,gradient_boosting,composite,learned,1e-06,"x0,x1",2.919506240280186,1.166313760895799,1.7531924793843872,18.174144803496816,1.7531924793843872,2.5963064004995453,1.166313760895799,1.7531924793843872,iso_branin
8,10.0,4.629415058052927,1.8662883868620421,1.8662883868620421,False,0.0,qnei,0.24873220000881702,False,8,67658bbf-1f8a-4d89-a6f0-ab6e06fa8574,none,0.0,0,gradient_boosting,composite,learned,1e-06,"x0,x1",2.919506240280186,1.8662883868620421,1.053217853418144,19.22736265691496,1.053217853418144,2.40342033211437,1.8662883868620421,1.053217853418144,iso_branin
9,10.0,5.7261237836060745,1.087267974503685,1.087267974503685,False,0.0,qnei,0.21463910001330078,False,8,67658bbf-1f8a-4d89-a6f0-ab6e06fa8574,none,0.0,0,gradient_boosting,composite,learned,1e-06,"x0,x1",2.919506240280186,1.8662883868620421,1.832238265776501,21.05960092269146,1.053217853418144,2.339955658076829,1.8662883868620421,1.053217853418144,iso_branin
10,10.0,3.9326822455809065,1.0050995390355455,1.0050995390355455,False,0.0,qnei,0.21407869999529794,False,8,67658bbf-1f8a-4d89-a6f0-ab6e06fa8574,none,0.0,0,gradient_boosting,composite,learned,1e-06,"x0,x1",2.919506240280186,1.8662883868620421,1.9144067012446406,22.9740076239361,1.053217853418144,2.29740076239361,1.8662883868620421,1.053217853418144,iso_branin
