iteration,x0,x1,x2,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.12857020276919962,0.49927786244011496,0.6014983576233575,0.8124370496973509,1.2055627581623398,True,0.39312570846498895,qnei,0.0,False,11,a45d0380-d7f5-43db-a7a4-a344000ae8a5,gaussian,0.230797,0,gradient_boosting,composite,learned,0.053267255209000004,"x0,x1,x2",3.961000285489023,0.8124370496973509,3.148563235791672,3.148563235791672,3.148563235791672,3.148563235791672,0.8124370496973509,3.148563235791672,iso_hartmann_3
2,0.028689008371944547,0.14792608457745593,0.9282110229603695,-0.14878929864312512,-0.1689616191001563,True,-0.020172320457031184,qnei,0.0,False,11,a45d0380-d7f5-43db-a7a4-a344000ae8a5,gaussian,0.230797,0,gradient_boosting,composite,learned,0.053267255209000004,"x0,x1,x2",3.961000285489023,0.8124370496973509,4.109789584132148,7.25835281992382,3.148563235791672,3.62917640996191,0.8124370496973509,3.148563235791672,iso_hartmann_3
3,0.07042057615419683,0.12977394939929798,0.9483284532917751,0.022533515710802636,-0.29916413876694414,True,-0.3216976544777468,qnei,0.0,False,11,a45d0380-d7f5-43db-a7a4-a344000ae8a5,gaussian,0.230797,0,gradient_boosting,composite,learned,0.053267255209000004,"x0,x1,x2",3.961000285489023,0.8124370496973509,3.9384667697782203,11.19681958970204,3.148563235791672,3.7322731965673466,0.8124370496973509,3.148563235791672,iso_hartmann_3
4,0.6218835927963828,0.368993123729791,0.5113900218032627,-0.15048918093381106,-0.2264702818000598,True,-0.07598110086624874,qnei,0.0,False,11,a45d0380-d7f5-43db-a7a4-a344000ae8a5,gaussian,0.230797,0,gradient_boosting,composite,learned,0.053267255209000004,"x0,x1,x2",3.961000285489023,0.8124370496973509,4.111489466422834,15.308309056124873,3.148563235791672,3.8270772640312183,0.8124370496973509,3.148563235791672,iso_hartmann_3
5,0.6628429525167993,0.2753088157611293,0.13796807286695534,-1.124036432264673,-1.40822514104072,True,-0.28418870877604707,qnei,0.0,False,11,a45d0380-d7f5-43db-a7a4-a344000ae8a5,gaussian,0.230797,0,gradient_boosting,composite,learned,0.053267255209000004,"x0,x1,x2",3.961000285489023,0.8124370496973509,5.085036717753696,20.39334577387857,3.148563235791672,4.078669154775714,0.8124370496973509,3.148563235791672,iso_hartmann_3
6,0.0,0.6108766934149925,0.70863095928468,1.4323428121788526,1.379880098833671,True,-0.0524627133451816,qnei,0.2700942999799736,False,11,a45d0380-d7f5-43db-a7a4-a344000ae8a5,gaussian,0.230797,0,gradient_boosting,composite,learned,0.053267255209000004,"x0,x1,x2",3.961000285489023,1.4323428121788526,2.5286574733101705,22.92200324718874,2.5286574733101705,3.820333874531457,1.4323428121788526,2.5286574733101705,iso_hartmann_3
7,0.0,0.6978671990074035,0.4573984213087981,0.11083512506708103,-0.01665849125013756,True,-0.1274936163172186,qnei,0.22625439998228103,False,11,a45d0380-d7f5-43db-a7a4-a344000ae8a5,gaussian,0.230797,0,gradient_boosting,composite,learned,0.053267255209000004,"x0,x1,x2",3.961000285489023,1.4323428121788526,3.850165160421942,26.772168407610682,2.5286574733101705,3.824595486801526,1.4323428121788526,2.5286574733101705,iso_hartmann_3
8,0.0,0.1878285254920986,0.6678707149672339,0.814861664933027,1.072600848096743,True,0.257739183163716,qnei,0.2410643000039272,False,11,a45d0380-d7f5-43db-a7a4-a344000ae8a5,gaussian,0.230797,0,gradient_boosting,composite,learned,0.053267255209000004,"x0,x1,x2",3.961000285489023,1.4323428121788526,3.146138620555996,29.918307028166677,2.5286574733101705,3.7397883785208346,1.4323428121788526,2.5286574733101705,iso_hartmann_3
9,0.21438174365582696,0.7310140251855661,0.6914297549923716,1.9702501624188455,2.1769694953378345,True,0.20671933291898892,qnei,0.2983118000556715,False,11,a45d0380-d7f5-43db-a7a4-a344000ae8a5,gaussian,0.230797,0,gradient_boosting,composite,learned,0.053267255209000004,"x0,x1,x2",3.961000285489023,1.9702501624188455,1.9907501230701774,31.909057151236855,1.9907501230701774,3.545450794581873,1.9702501624188455,1.9907501230701774,iso_hartmann_3
10,0.3302818588598608,1.0,0.7272676035034472,0.563420150699801,0.2259902055378606,True,-0.3374299451619404,qnei,0.2845725000370294,False,11,a45d0380-d7f5-43db-a7a4-a344000ae8a5,gaussian,0.230797,0,gradient_boosting,composite,learned,0.053267255209000004,"x0,x1,x2",3.961000285489023,1.9702501624188455,3.397580134789222,35.306637286026074,1.9907501230701774,3.5306637286026072,1.9702501624188455,1.9907501230701774,iso_hartmann_3
