iteration,x0,x1,x2,x3,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,9.560017096289753,2.076818100791469,8.284448852745307,1.4928212308202027,-0.32412061103632417,4.2609664923485076,True,4.585087103384832,ucb,0.0,False,10,35482641-c491-4f60-940a-c5c7a60ecdda,gaussian,5.527704,0,gradient_boosting,composite,learned,30.555511511616,"x0,x1,x2,x3",5.597234519128499,-0.32412061103632417,5.921355130164823,5.921355130164823,5.921355130164823,5.921355130164823,-0.32412061103632417,5.921355130164823,iso_hicks_law
2,5.1280461643656485,1.3591960402050662,6.890364797811311,8.41747724312279,-0.3168117582577983,3.410128909873148,True,3.7269406681309465,ucb,0.0,False,10,35482641-c491-4f60-940a-c5c7a60ecdda,gaussian,5.527704,0,gradient_boosting,composite,learned,30.555511511616,"x0,x1,x2,x3",5.597234519128499,-0.3168117582577983,5.914046277386297,11.835401407551121,5.914046277386297,5.9177007037755605,-0.32412061103632417,5.921355130164823,iso_hicks_law
3,4.255089974049766,9.569260034533663,8.253329063847982,3.38215312471576,-0.650789927940774,-2.2629157341569788,True,-1.6121258062162047,ucb,0.0,False,10,35482641-c491-4f60-940a-c5c7a60ecdda,gaussian,5.527704,0,gradient_boosting,composite,learned,30.555511511616,"x0,x1,x2,x3",5.597234519128499,-0.3168117582577983,6.248024447069272,18.083425854620394,5.914046277386297,6.027808618206798,-0.32412061103632417,5.921355130164823,iso_hicks_law
4,5.757605479445136,7.533018647084769,8.271039370247955,9.334384708515813,-1.25598814123972,-7.067429713814491,True,-5.811441572574771,ucb,0.0,False,10,35482641-c491-4f60-940a-c5c7a60ecdda,gaussian,5.527704,0,gradient_boosting,composite,learned,30.555511511616,"x0,x1,x2,x3",5.597234519128499,-0.3168117582577983,6.8532226603682185,24.93664851498861,5.914046277386297,6.234162128747153,-0.32412061103632417,5.921355130164823,iso_hicks_law
5,1.449946949362273,7.455802110439374,1.3935139386782236,9.065287561129269,0.3038710796525367,-0.9152123393306936,True,-1.2190834189832302,ucb,0.0,False,10,35482641-c491-4f60-940a-c5c7a60ecdda,gaussian,5.527704,0,gradient_boosting,composite,learned,30.555511511616,"x0,x1,x2,x3",5.597234519128499,0.3038710796525367,5.293363439475962,30.230011954464572,5.293363439475962,6.046002390892914,-0.32412061103632417,5.921355130164823,iso_hicks_law
6,10.0,1.271310547450023,2.9200162454550505,0.0,1.162945927039751,1.0612147058456445,True,-0.1017312211941066,ucb,0.29435599996941164,False,10,35482641-c491-4f60-940a-c5c7a60ecdda,gaussian,5.527704,0,gradient_boosting,composite,learned,30.555511511616,"x0,x1,x2,x3",5.597234519128499,1.162945927039751,4.434288592088747,34.66430054655332,4.434288592088747,5.777383424425554,-0.32412061103632417,5.921355130164823,iso_hicks_law
7,8.53207503700369,0.0,10.0,0.0,1.203185692736919,-2.882717640746989,True,-4.085903333483908,ucb,0.2683409000164829,False,10,35482641-c491-4f60-940a-c5c7a60ecdda,gaussian,5.527704,0,gradient_boosting,composite,learned,30.555511511616,"x0,x1,x2,x3",5.597234519128499,1.203185692736919,4.39404882639158,39.0583493729449,4.39404882639158,5.579764196134986,-0.32412061103632417,5.921355130164823,iso_hicks_law
8,6.381827260859332,2.8357570761183823,6.105053852883519,8.793322957862495,-0.898381738922581,-0.6022151515661874,True,0.29616658735639356,ucb,0.32675360003486276,False,10,35482641-c491-4f60-940a-c5c7a60ecdda,gaussian,5.527704,0,gradient_boosting,composite,learned,30.555511511616,"x0,x1,x2,x3",5.597234519128499,1.203185692736919,6.495616258051079,45.55396563099598,4.39404882639158,5.694245703874498,-0.32412061103632417,5.921355130164823,iso_hicks_law
9,1.6263544853785517,1.8009569265392218,8.740470793624967,0.0,0.9924065650306082,-1.4705174845731845,True,-2.4629240496037927,ucb,0.2970509000006132,False,10,35482641-c491-4f60-940a-c5c7a60ecdda,gaussian,5.527704,0,gradient_boosting,composite,learned,30.555511511616,"x0,x1,x2,x3",5.597234519128499,1.203185692736919,4.604827954097891,50.158793585093875,4.39404882639158,5.573199287232653,-0.32412061103632417,5.921355130164823,iso_hicks_law
10,10.0,1.548420681897066,7.766795565604795,7.935927612639576,-0.859246353240284,-4.1973444359083,True,-3.338098082668016,ucb,0.21655569999711588,False,10,35482641-c491-4f60-940a-c5c7a60ecdda,gaussian,5.527704,0,gradient_boosting,composite,learned,30.555511511616,"x0,x1,x2,x3",5.597234519128499,1.203185692736919,6.4564808723687825,56.61527445746266,4.39404882639158,5.661527445746266,-0.32412061103632417,5.921355130164823,iso_hicks_law
