iteration,x0,x1,x2,x3,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,-3.8034411236433963,-0.0073946886132230105,1.0393431820631802,-4.826224554271288,1.1751695601674321,1.059355113581514,True,-0.11581444658591811,qnei,0.0,False,11,2e9f5ec8-7943-45d3-a8cd-de5a1756025a,gaussian,0.906928,0,gradient_boosting,composite,learned,0.8225183971839999,"x0,x1,x2,x3",3.2696324236535035,1.1751695601674321,2.094462863486071,2.094462863486071,2.094462863486071,2.094462863486071,1.1751695601674321,2.094462863486071,iso_rastrigin
2,-3.6052368939268513,4.384880875114184,-4.398893300181024,-3.791114758151189,-2.621453650307846,-1.5183785177388833,True,1.1030751325689627,qnei,0.0,False,11,2e9f5ec8-7943-45d3-a8cd-de5a1756025a,gaussian,0.906928,0,gradient_boosting,composite,learned,0.8225183971839999,"x0,x1,x2,x3",3.2696324236535035,1.1751695601674321,5.8910860739613495,7.985548937447421,2.094462863486071,3.9927744687237103,1.1751695601674321,2.094462863486071,iso_rastrigin
3,4.590883361707777,1.2480879902349606,-1.3415104130069402,0.11663382326540983,0.07864182409941269,-0.11992050031542557,True,-0.19856232441483826,qnei,0.0,False,11,2e9f5ec8-7943-45d3-a8cd-de5a1756025a,gaussian,0.906928,0,gradient_boosting,composite,learned,0.8225183971839999,"x0,x1,x2,x3",3.2696324236535035,1.1751695601674321,3.1909905995540906,11.176539537001512,2.094462863486071,3.725513179000504,1.1751695601674321,2.094462863486071,iso_rastrigin
4,1.667511833772024,-2.300837726606036,-3.7072069338423774,2.949525447720876,-0.48462070928477424,0.15545640535517385,True,0.6400771146399481,qnei,0.0,False,11,2e9f5ec8-7943-45d3-a8cd-de5a1756025a,gaussian,0.906928,0,gradient_boosting,composite,learned,0.8225183971839999,"x0,x1,x2,x3",3.2696324236535035,1.1751695601674321,3.7542531329382776,14.93079266993979,2.094462863486071,3.7326981674849473,1.1751695601674321,2.094462863486071,iso_rastrigin
5,1.744492381209434,0.12679489006756306,3.2433811043292993,0.5025307532290695,0.5108282113954802,0.551510084393754,True,0.04068187299827386,qnei,0.0,False,11,2e9f5ec8-7943-45d3-a8cd-de5a1756025a,gaussian,0.906928,0,gradient_boosting,composite,learned,0.8225183971839999,"x0,x1,x2,x3",3.2696324236535035,1.1751695601674321,2.758804212258023,17.68959688219781,2.094462863486071,3.5379193764395622,1.1751695601674321,2.094462863486071,iso_rastrigin
6,-5.12,-1.0370480100004125,5.12,-5.12,0.8110226580779468,0.9744264094860031,True,0.1634037514080563,qnei,0.30868189997272566,False,11,2e9f5ec8-7943-45d3-a8cd-de5a1756025a,gaussian,0.906928,0,gradient_boosting,composite,learned,0.8225183971839999,"x0,x1,x2,x3",3.2696324236535035,1.1751695601674321,2.4586097655755568,20.148206647773367,2.094462863486071,3.3580344412955614,1.1751695601674321,2.094462863486071,iso_rastrigin
7,-5.12,-0.6727109943307519,-5.12,-5.12,0.731790784692921,0.08968989455083443,True,-0.6421008901420866,qnei,0.339316500001587,False,11,2e9f5ec8-7943-45d3-a8cd-de5a1756025a,gaussian,0.906928,0,gradient_boosting,composite,learned,0.8225183971839999,"x0,x1,x2,x3",3.2696324236535035,1.1751695601674321,2.5378416389605825,22.68604828673395,2.094462863486071,3.2408640409619927,1.1751695601674321,2.094462863486071,iso_rastrigin
8,-5.12,-1.1801981428162527,1.8387439110544272,-5.12,0.25100370077777606,-0.654973857436407,True,-0.9059775582141831,qnei,0.37520750000840053,False,11,2e9f5ec8-7943-45d3-a8cd-de5a1756025a,gaussian,0.906928,0,gradient_boosting,composite,learned,0.8225183971839999,"x0,x1,x2,x3",3.2696324236535035,1.1751695601674321,3.0186287228757274,25.70467700960968,2.094462863486071,3.21308462620121,1.1751695601674321,2.094462863486071,iso_rastrigin
9,-2.236383991972003,0.3324162225066046,1.6101863449638139,-3.5059090654092766,0.8109057765855335,0.677860044738678,True,-0.13304573184685553,qnei,0.3618354999925941,False,11,2e9f5ec8-7943-45d3-a8cd-de5a1756025a,gaussian,0.906928,0,gradient_boosting,composite,learned,0.8225183971839999,"x0,x1,x2,x3",3.2696324236535035,1.1751695601674321,2.45872664706797,28.163403656677648,2.094462863486071,3.129267072964183,1.1751695601674321,2.094462863486071,iso_rastrigin
10,-3.468259261906184,-0.5229171259704793,5.12,-3.944617035243981,-0.21175415120269472,-1.8881430158693049,True,-1.67638886466661,qnei,0.45353009999962524,False,11,2e9f5ec8-7943-45d3-a8cd-de5a1756025a,gaussian,0.906928,0,gradient_boosting,composite,learned,0.8225183971839999,"x0,x1,x2,x3",3.2696324236535035,1.1751695601674321,3.4813865748561983,31.644790231533847,2.094462863486071,3.1644790231533846,1.1751695601674321,2.094462863486071,iso_rastrigin
11,-3.205260861556206,0.17051026212153136,1.0404460981089527,-4.37136665696321,0.8548818524993892,0.9828192311125148,True,0.1279373786131256,qnei,0.34201679995749146,False,11,2e9f5ec8-7943-45d3-a8cd-de5a1756025a,gaussian,0.906928,0,gradient_boosting,composite,learned,0.8225183971839999,"x0,x1,x2,x3",3.2696324236535035,1.1751695601674321,2.4147505711541144,34.05954080268796,2.094462863486071,3.096321891153451,1.1751695601674321,2.094462863486071,iso_rastrigin
12,-3.745638269786849,2.2317589373936264,0.4814191997659032,-5.12,0.07623177225849834,0.6859397799845864,True,0.6097080077260881,qnei,0.4482063999748789,False,11,2e9f5ec8-7943-45d3-a8cd-de5a1756025a,gaussian,0.906928,0,gradient_boosting,composite,learned,0.8225183971839999,"x0,x1,x2,x3",3.2696324236535035,1.1751695601674321,3.193400651395005,37.252941454082965,2.094462863486071,3.104411787840247,1.1751695601674321,2.094462863486071,iso_rastrigin
