iteration,x0,x1,x2,x3,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,acq_opt_failed,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,observation_noise,known_noise_var,param_columns,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,inference_value_true,inference_simple_regret_true,dataset
1,0.3269722766055607,0.9872768433379255,0.31871083848551673,0.7885489358200289,0.7096374954615992,-2.555529967931308,True,-3.265167463392907,random,0.0,False,8,f3cdff23-57c3-4cbe-a381-43c067d4ade1,gaussian,5.792779,0,gradient_boosting,composite,learned,33.556288542841,"x0,x1,x2,x3",3.3768534662951084,0.7096374954615992,2.6672159708335093,2.6672159708335093,2.6672159708335093,2.6672159708335093,0.7096374954615992,2.6672159708335093,iso_weber_fechner
2,0.8698965116962161,0.391084806539194,0.4378818731227988,0.37274890308935305,1.0794540763100637,11.99290182248384,True,10.913447746173777,random,0.0,False,8,f3cdff23-57c3-4cbe-a381-43c067d4ade1,gaussian,5.792779,0,gradient_boosting,composite,learned,33.556288542841,"x0,x1,x2,x3",3.3768534662951084,1.0794540763100637,2.2973993899850447,4.964615360818554,2.2973993899850447,2.482307680409277,1.0794540763100637,2.2973993899850447,iso_weber_fechner
3,0.10695359647277436,0.47896545416271696,0.24135214508468228,0.25714524855112975,-0.7766093489707171,-6.229842302697402,True,-5.453232953726685,random,0.0,False,8,f3cdff23-57c3-4cbe-a381-43c067d4ade1,gaussian,5.792779,0,gradient_boosting,composite,learned,33.556288542841,"x0,x1,x2,x3",3.3768534662951084,1.0794540763100637,4.153462815265826,9.11807817608438,2.2973993899850447,3.0393593920281265,1.0794540763100637,2.2973993899850447,iso_weber_fechner
4,0.1847315568344149,0.1938645489043107,0.813827670155021,0.42298418814422634,-0.13420192177837068,7.313920412374127,True,7.448122334152498,random,0.0,False,8,f3cdff23-57c3-4cbe-a381-43c067d4ade1,gaussian,5.792779,0,gradient_boosting,composite,learned,33.556288542841,"x0,x1,x2,x3",3.3768534662951084,1.0794540763100637,3.511055388073479,12.629133564157858,2.2973993899850447,3.1572833910394644,1.0794540763100637,2.2973993899850447,iso_weber_fechner
5,0.25592050515822606,0.5909028517654116,0.6042722960584558,0.6468580270601879,0.2959653959564409,-10.419187525386228,True,-10.71515292134267,random,0.0,False,8,f3cdff23-57c3-4cbe-a381-43c067d4ade1,gaussian,5.792779,0,gradient_boosting,composite,learned,33.556288542841,"x0,x1,x2,x3",3.3768534662951084,1.0794540763100637,3.0808880703386676,15.710021634496526,2.2973993899850447,3.142004326899305,1.0794540763100637,2.2973993899850447,iso_weber_fechner
6,0.9113563804485241,0.15020611196196842,0.3713871284423962,0.28462063751081257,0.26898489782956986,-2.574561016427131,True,-2.843545914256701,random,0.0,False,8,f3cdff23-57c3-4cbe-a381-43c067d4ade1,gaussian,5.792779,0,gradient_boosting,composite,learned,33.556288542841,"x0,x1,x2,x3",3.3768534662951084,1.0794540763100637,3.1078685684655385,18.817890202962065,2.2973993899850447,3.1363150338270107,1.0794540763100637,2.2973993899850447,iso_weber_fechner
7,0.016782052324450736,0.1815539373627295,0.3946685812986028,0.39331071008632423,-1.226895727281886,-3.708367541737558,True,-2.4814718144556718,random,0.0,False,8,f3cdff23-57c3-4cbe-a381-43c067d4ade1,gaussian,5.792779,0,gradient_boosting,composite,learned,33.556288542841,"x0,x1,x2,x3",3.3768534662951084,1.0794540763100637,4.603749193576994,23.42163939653906,2.2973993899850447,3.3459484852198655,1.0794540763100637,2.2973993899850447,iso_weber_fechner
8,0.616727944407001,0.45226652882714635,0.6073306675714749,0.2230599854133728,0.6081980496447762,-3.657055379484053,True,-4.265253429128829,random,0.0,False,8,f3cdff23-57c3-4cbe-a381-43c067d4ade1,gaussian,5.792779,0,gradient_boosting,composite,learned,33.556288542841,"x0,x1,x2,x3",3.3768534662951084,1.0794540763100637,2.7686554166503323,26.190294813189393,2.2973993899850447,3.273786851648674,1.0794540763100637,2.2973993899850447,iso_weber_fechner
9,0.13398713179937904,0.32928937671175385,0.09610843352814702,0.365839914667796,-1.3332279845330801,-12.146892416889582,True,-10.813664432356502,random,0.0,False,8,f3cdff23-57c3-4cbe-a381-43c067d4ade1,gaussian,5.792779,0,gradient_boosting,composite,learned,33.556288542841,"x0,x1,x2,x3",3.3768534662951084,1.0794540763100637,4.710081450828189,30.90037626401758,2.2973993899850447,3.433375140446398,1.0794540763100637,2.2973993899850447,iso_weber_fechner
10,0.46017930748995783,0.7189886438895141,0.8670248693354128,0.0518356525166741,-0.01477265997364766,4.978729057599276,True,4.993501717572924,random,0.0,False,8,f3cdff23-57c3-4cbe-a381-43c067d4ade1,gaussian,5.792779,0,gradient_boosting,composite,learned,33.556288542841,"x0,x1,x2,x3",3.3768534662951084,1.0794540763100637,3.391626126268756,34.292002390286335,2.2973993899850447,3.4292002390286336,1.0794540763100637,2.2973993899850447,iso_weber_fechner
