iteration,verticalPosition,verticalWidth,horizontalWidth,r,g,b,a,blinkFrequency,volume,objective_true,objective_observed,error_applied,error_magnitude,acquisition,fit_time_sec,seed,run_id,error_model,jitter_std,jitter_iteration,oracle_model,objective,y_opt,best_true_so_far,regret_inst_true,regret_cum_true,simple_regret_true,regret_avg_true,dataset
1,0.9780008548144876,0.6038409050395734,0.9142224426372654,0.5746410615410101,0.7564023082182825,0.5679598020102533,0.8445182398905655,0.9208738621561394,0.7127544987024883,4.516991666666666,4.516991666666666,False,0.0,greedy,0.0,10,138518a4-6eb5-45cf-b4f7-f41940a5b6a9,gaussian,0.05,20,extra_trees,composite,5.368851388888933,4.516991666666666,0.851859722222267,0.851859722222267,0.851859722222267,0.851859722222267,ehmi
2,0.9784630017266831,0.9126664531923991,0.669107656235788,0.7878802739722568,0.8766509323542384,0.9135519685123977,0.9667192354257907,0.5724973474681136,0.8727901055219687,4.893133333333331,4.893133333333331,False,0.0,greedy,0.0,10,138518a4-6eb5-45cf-b4f7-f41940a5b6a9,gaussian,0.05,20,extra_trees,composite,5.368851388888933,4.893133333333331,0.47571805555560154,1.3275777777778686,0.47571805555560154,0.6637888888889343,ehmi
3,0.5696756969339112,0.9532643780564634,0.6130572168372637,0.9266198749528032,0.6531589327660619,0.9849151841031609,0.7589171068084348,0.6612372793830307,0.6412167585823398,4.593193055555563,4.593193055555563,False,0.0,greedy,0.0,10,138518a4-6eb5-45cf-b4f7-f41940a5b6a9,gaussian,0.05,20,extra_trees,composite,5.368851388888933,4.893133333333331,0.7756583333333698,2.1032361111112383,0.47571805555560154,0.7010787037037461,ehmi
4,0.802932497909838,0.6668822283596691,0.8393243867540714,0.577212535230447,0.6248877596981416,0.9349471230280548,0.8001839102179595,0.6309915279852669,0.5747074502904941,4.132840277777783,4.132840277777783,False,0.0,greedy,0.0,10,138518a4-6eb5-45cf-b4f7-f41940a5b6a9,gaussian,0.05,20,extra_trees,composite,5.368851388888933,4.893133333333331,1.23601111111115,3.3392472222223883,0.47571805555560154,0.8348118055555971,ehmi
5,0.5683945747425947,0.6244604687957482,0.6914123332852036,0.8245395283122178,0.9187818800305307,0.8880159735052382,0.6697577876172094,0.5742843691361619,0.728509693346184,4.139520833333332,4.139520833333332,False,0.0,greedy,0.0,10,138518a4-6eb5-45cf-b4f7-f41940a5b6a9,gaussian,0.05,20,extra_trees,composite,5.368851388888933,4.893133333333331,1.2293305555556007,4.568577777777989,0.47571805555560154,0.9137155555555978,ehmi
6,1.0,0.9220570324672788,0.6660374537666478,0.7880904503051743,0.8935604931751907,0.9097577765039816,0.9844470071889359,0.5672054132205432,0.8937996766404659,4.875466666666665,4.875466666666665,False,0.0,greedy,0.328187600011006,10,138518a4-6eb5-45cf-b4f7-f41940a5b6a9,gaussian,0.05,20,extra_trees,composite,5.368851388888933,4.893133333333331,0.4933847222222676,5.061962500000257,0.47571805555560154,0.8436604166667094,ehmi
7,0.9891294186852403,0.9091679806749349,0.6708008980007052,0.7859867037350547,0.8743234074335087,0.9136691567790313,0.963811916313848,0.5731738766931971,0.8692654991537783,4.885918055555555,4.885918055555555,False,0.0,greedy,0.43238589994143695,10,138518a4-6eb5-45cf-b4f7-f41940a5b6a9,gaussian,0.05,20,extra_trees,composite,5.368851388888933,4.893133333333331,0.48293333333337785,5.5448958333336344,0.47571805555560154,0.7921279761905192,ehmi
8,0.9852252691701141,0.9086515813349308,0.6708072941852847,0.7866654550664619,0.8713954292451807,0.9143872170260368,0.9611615233717397,0.5742476246884329,0.8660079168649543,4.889737500000001,4.889737500000001,False,0.0,greedy,0.5072464999975637,10,138518a4-6eb5-45cf-b4f7-f41940a5b6a9,gaussian,0.05,20,extra_trees,composite,5.368851388888933,4.893133333333331,0.47911388888893214,6.024009722222567,0.47571805555560154,0.7530012152778208,ehmi
9,0.9746925791288914,0.9060626281560765,0.6717065030885973,0.786531489081983,0.8664834007574759,0.9155405824667199,0.9562595150302469,0.57568646629902,0.8599673800832083,4.86468888888889,4.86468888888889,False,0.0,greedy,0.370225099963136,10,138518a4-6eb5-45cf-b4f7-f41940a5b6a9,gaussian,0.05,20,extra_trees,composite,5.368851388888933,4.893133333333331,0.5041625000000431,6.52817222222261,0.47571805555560154,0.7253524691358455,ehmi
10,1.0,0.9162441200977565,0.6673416386267418,0.7888757358384141,0.885666888308072,0.91106876602152,0.9734026839301483,0.5706539664226244,0.8834183252837781,4.881466666666666,4.881466666666666,False,0.0,greedy,0.6345964999636635,10,138518a4-6eb5-45cf-b4f7-f41940a5b6a9,gaussian,0.05,20,extra_trees,composite,5.368851388888933,4.893133333333331,0.4873847222222665,7.015556944444876,0.47571805555560154,0.7015556944444876,ehmi
11,1.0,0.9141439279228126,0.6698279540379432,0.784364679893807,0.8847230785111478,0.9117256782667347,0.9760195737442879,0.5687909598836203,0.8819526263215719,4.877140277777778,4.877140277777778,False,0.0,greedy,0.43518740008585155,10,138518a4-6eb5-45cf-b4f7-f41940a5b6a9,gaussian,0.05,20,extra_trees,composite,5.368851388888933,4.893133333333331,0.4917111111111545,7.507268055556031,0.47571805555560154,0.6824789141414573,ehmi
12,1.0,0.9169722498178989,0.6641363755838605,0.7969244723326915,0.8797301252445028,0.9111199593628296,0.9617387236551931,0.5769610088984529,0.8773506981472028,4.888883333333334,4.888883333333334,False,0.0,greedy,0.47560030000749975,10,138518a4-6eb5-45cf-b4f7-f41940a5b6a9,gaussian,0.05,20,extra_trees,composite,5.368851388888933,4.893133333333331,0.47996805555559874,7.9872361111116295,0.47571805555560154,0.6656030092593025,ehmi
13,1.0,0.9227887383702104,0.6506346020451764,0.8267220963471272,0.874817845410162,0.9054612519584434,0.9288470803055406,0.5977344662428536,0.8744014858455492,4.891890277777778,4.891890277777778,False,0.0,greedy,0.5429335000226274,10,138518a4-6eb5-45cf-b4f7-f41940a5b6a9,gaussian,0.05,20,extra_trees,composite,5.368851388888933,4.893133333333331,0.47696111111115513,8.464197222222785,0.47571805555560154,0.6510920940171373,ehmi
14,1.0,0.9227330790178336,0.643281192915404,0.845392746573064,0.8709880735444014,0.8998552451235614,0.9031222915643915,0.6138664018770682,0.871174988866566,4.924708333333331,4.924708333333331,False,0.0,greedy,0.42447950004134327,10,138518a4-6eb5-45cf-b4f7-f41940a5b6a9,gaussian,0.05,20,extra_trees,composite,5.368851388888933,4.924708333333331,0.4441430555556023,8.908340277778386,0.4441430555556023,0.6363100198413133,ehmi
15,1.0,0.9143518333413173,0.6159221098567511,0.9194990820738453,0.8834113774764205,0.8564552802098919,0.7993004388485553,0.6886739761044898,0.8894415767445856,5.029152777777786,5.029152777777786,False,0.0,greedy,0.568714699940756,10,138518a4-6eb5-45cf-b4f7-f41940a5b6a9,gaussian,0.05,20,extra_trees,composite,5.368851388888933,5.029152777777786,0.33969861111114685,9.248038888889532,0.33969861111114685,0.6165359259259688,ehmi
16,1.0,0.9006620168485387,0.6014688914079128,0.9634290025084332,0.9248390197426806,0.8061111045575836,0.7377801345767602,0.7442603851298786,0.9384561398555576,5.132194444444444,5.132194444444444,False,0.0,greedy,1.0228878000052646,10,138518a4-6eb5-45cf-b4f7-f41940a5b6a9,gaussian,0.05,20,extra_trees,composite,5.368851388888933,5.132194444444444,0.23665694444448881,9.48469583333402,0.23665694444448881,0.5927934895833763,ehmi
17,1.0,0.8895753281095645,0.5832710243165867,1.0,0.9900695912295099,0.7399493975809114,0.6785008992309439,0.8081160396091147,1.0,5.180729166666669,5.180729166666669,False,0.0,greedy,0.6207012999802828,10,138518a4-6eb5-45cf-b4f7-f41940a5b6a9,gaussian,0.05,20,extra_trees,composite,5.368851388888933,5.180729166666669,0.1881222222222636,9.672818055556284,0.1881222222222636,0.5689892973856638,ehmi
18,1.0,0.8892557285985221,0.5803756348429092,1.0,0.9993540201258838,0.7314177884884403,0.672300366076991,0.8158144321624421,1.0,5.196544642857147,5.196544642857147,False,0.0,greedy,0.4859170999843627,10,138518a4-6eb5-45cf-b4f7-f41940a5b6a9,gaussian,0.05,20,extra_trees,composite,5.368851388888933,5.196544642857147,0.17230674603178553,9.84512480158807,0.17230674603178553,0.5469513778660039,ehmi
19,1.0,0.8919171285992576,0.5708735761097096,1.0,1.0,0.7082821042576757,0.6618453658673608,0.8338968197262213,1.0,5.221391865079377,5.221391865079377,False,0.0,greedy,0.531893500010483,10,138518a4-6eb5-45cf-b4f7-f41940a5b6a9,gaussian,0.05,20,extra_trees,composite,5.368851388888933,5.221391865079377,0.14745952380955618,9.992584325397626,0.14745952380955618,0.5259254908104014,ehmi
20,1.0,0.908613532423075,0.5346973948634058,0.9641245182958404,0.954278976795371,0.6315185530732684,0.6510988662646973,0.8803956340736202,0.9287175209332432,5.287930555555582,5.287930555555582,False,0.0,greedy,0.5444249999709427,10,138518a4-6eb5-45cf-b4f7-f41940a5b6a9,gaussian,0.05,20,extra_trees,composite,5.368851388888933,5.287930555555582,0.08092083333335065,10.073505158730978,0.08092083333335065,0.5036752579365489,ehmi
21,1.0,0.9138152738946842,0.5203537746705069,0.9385597211697625,0.9166498925888007,0.5970417418559314,0.6582570466852888,0.8927522237124879,0.8821439440309055,5.279909722222247,5.307092650718852,True,0.02718292849660488,greedy,0.770495199947618,10,138518a4-6eb5-45cf-b4f7-f41940a5b6a9,gaussian,0.05,20,extra_trees,composite,5.368851388888933,5.287930555555582,0.08894166666668557,10.162446825397662,0.08092083333335065,0.4839260393046506,ehmi
22,1.0,0.9131721150329136,0.5135332556580232,0.9182696052710272,0.8746346140722865,0.5716431073259803,0.6797357102744757,0.8900573096384878,0.8464645906498154,5.267333333333357,5.405103318470449,True,0.13776998513709174,greedy,0.7875362999038771,10,138518a4-6eb5-45cf-b4f7-f41940a5b6a9,gaussian,0.05,20,extra_trees,composite,5.368851388888933,5.287930555555582,0.10151805555557569,10.263964880953239,0.08092083333335065,0.4665438582251472,ehmi
23,1.0,0.8873105014822399,0.5086293950948545,0.8651550690154115,0.7004416172109018,0.5,0.8424365519597479,0.8228224078294654,0.7729556891354181,5.142491666666667,5.222257212123987,True,0.07976554545731938,greedy,0.5974434999516234,10,138518a4-6eb5-45cf-b4f7-f41940a5b6a9,gaussian,0.05,20,extra_trees,composite,5.368851388888933,5.287930555555582,0.22635972222226552,10.490324603175505,0.08092083333335065,0.45610106970328285,ehmi
24,1.0,0.9051772484436524,0.5104886257760182,0.8983465363842166,0.8457437034540449,0.5035143154078193,0.7265345092192675,0.8819883895875366,0.839932810712402,5.243838888888909,5.271085812193653,True,0.0272469233047433,greedy,0.693951900000684,10,138518a4-6eb5-45cf-b4f7-f41940a5b6a9,gaussian,0.05,20,extra_trees,composite,5.368851388888933,5.287930555555582,0.1250125000000235,10.615337103175529,0.08092083333335065,0.4423057126323137,ehmi
25,1.0,0.9217641996225325,0.5,0.8529617917895368,0.7704356004425487,0.6058141469412335,0.6450845434573267,0.906397560125961,0.6857080422714861,5.209665277777796,5.204018076846186,True,-0.005647200931610189,greedy,0.7361138999694958,10,138518a4-6eb5-45cf-b4f7-f41940a5b6a9,gaussian,0.05,20,extra_trees,composite,5.368851388888933,5.287930555555582,0.15918611111113723,10.774523214286667,0.08092083333335065,0.4309809285714667,ehmi
26,1.0,0.9098214770451158,0.5086974514795999,0.9506001315504276,0.8389612467597912,0.6037527853854483,0.6746436224733732,0.8960273726401383,0.8498411256898374,5.304312500000029,5.348416844254914,True,0.04410434425488489,greedy,0.42328930005896837,10,138518a4-6eb5-45cf-b4f7-f41940a5b6a9,gaussian,0.05,20,extra_trees,composite,5.368851388888933,5.304312500000029,0.06453888888890358,10.839062103175571,0.06453888888890358,0.4168870039682912,ehmi
27,1.0,0.9104464751986231,0.5048388805933561,0.960127059933927,0.8341807180119987,0.6043776563535033,0.6584035570782941,0.909743366335815,0.8473014098172177,5.322715277777814,5.3647204050978115,True,0.042005127319997435,greedy,0.6112474000547081,10,138518a4-6eb5-45cf-b4f7-f41940a5b6a9,gaussian,0.05,20,extra_trees,composite,5.368851388888933,5.322715277777814,0.04613611111111915,10.88519821428669,0.04613611111111915,0.4031554894180256,ehmi
28,1.0,0.9092823824643684,0.5,0.991043999134733,0.8080123038875712,0.6073167080339432,0.6209905958402305,0.9464091940452554,0.8419061467939791,5.354006944444487,5.295746899837126,True,-0.0582600446073615,greedy,0.5479559000814334,10,138518a4-6eb5-45cf-b4f7-f41940a5b6a9,gaussian,0.05,20,extra_trees,composite,5.368851388888933,5.354006944444487,0.01484444444444577,10.900042658731136,0.01484444444444577,0.3892872378118263,ehmi
29,1.0,0.9128899403127901,0.5102910990553057,0.8818564882032331,0.8586900951891681,0.6135209687783838,0.7847364891408497,0.796871042335749,0.8466069696267068,5.119741666666662,5.111070276143715,True,-0.008671390522946826,greedy,0.7817283000331372,10,138518a4-6eb5-45cf-b4f7-f41940a5b6a9,gaussian,0.05,20,extra_trees,composite,5.368851388888933,5.354006944444487,0.24910972222227112,11.149152380953407,0.01484444444444577,0.3844535303777037,ehmi
30,1.0,0.9207249926093708,0.5481799297447378,0.9686987085930743,0.7927240299712124,0.5,0.6787898500865969,0.9501743062980249,0.8417663086413648,5.318759722222259,5.315126420769717,True,-0.0036333014525417213,greedy,1.2618067999137565,10,138518a4-6eb5-45cf-b4f7-f41940a5b6a9,gaussian,0.05,20,extra_trees,composite,5.368851388888933,5.354006944444487,0.05009166666667397,11.19924404762008,0.01484444444444577,0.37330813492066933,ehmi
31,1.0,0.8867629498193993,0.5,0.922050644892643,0.8567515063405827,0.6453441404453142,0.6606520831735796,0.8648570184801694,0.8342787190306656,5.267268055555573,5.118579757357535,True,-0.1486882981980374,greedy,1.0271638999693096,10,138518a4-6eb5-45cf-b4f7-f41940a5b6a9,gaussian,0.05,20,extra_trees,composite,5.368851388888933,5.354006944444487,0.10158333333335978,11.30082738095344,0.01484444444444577,0.36454281874043354,ehmi
32,1.0,0.9305883718775134,0.5569158140146611,1.0,0.6639521297498677,0.5537264449584302,0.76708866650443,0.9081599821878099,0.8176666601393964,5.26970555555558,5.227397749405184,True,-0.04230780615039667,greedy,0.9139314000494778,10,138518a4-6eb5-45cf-b4f7-f41940a5b6a9,gaussian,0.05,20,extra_trees,composite,5.368851388888933,5.354006944444487,0.09914583333335258,11.399973214286792,0.01484444444444577,0.35624916294646225,ehmi
33,1.0,0.9190740159242975,0.5312144394598197,0.9700864781797679,0.8046941328306964,0.5533271897405713,0.6992295889890018,0.9110901962066928,0.8552967529690789,5.313305555555589,5.288616547420173,True,-0.024689008135415746,greedy,0.8838845000136644,10,138518a4-6eb5-45cf-b4f7-f41940a5b6a9,gaussian,0.05,20,extra_trees,composite,5.368851388888933,5.354006944444487,0.055545833333344063,11.455519047620136,0.01484444444444577,0.34713694083697383,ehmi
34,1.0,0.9106516582230714,0.5944655948437364,1.0,0.9588700582742274,0.5,0.6851130927595132,1.0,1.0,5.259875000000037,5.17983918171127,True,-0.0800358182887671,greedy,0.937508900067769,10,138518a4-6eb5-45cf-b4f7-f41940a5b6a9,gaussian,0.05,20,extra_trees,composite,5.368851388888933,5.354006944444487,0.10897638888889549,11.56449543650903,0.01484444444444577,0.34013221872085386,ehmi
